TimeElapsed,optimgain,TimestepsSoFar,entloss,ev_tdlam_before,meankl,EpLenMean,EpRewMean,entropy,EpTrueRewMean,EpisodesSoFar,EpThisIter,surrgain
527.1907660961151,0.23283789,238557,0.0,0.7760732173919678,0.012102648,83.4,54.250633,23.485126,405.54138057244813,1329,13,0.23283789
533.8778471946716,0.22791877,241608,0.0,0.856699526309967,0.010960136,81.025,52.44392,23.482355,390.6372500058987,1342,13,0.22791877
540.4959633350372,0.24021348,244707,0.0,0.8110915720462799,0.010953781,78.55,51.155857,23.498846,376.99256104088596,1355,13,0.24021348
547.2196054458618,0.23592564,247668,0.0,0.8179783970117569,0.010788629,81.125,56.565258,23.48023,396.34587657632585,1366,11,0.23592564
553.8536906242371,0.36763734,250956,0.0,0.8377094268798828,0.0121200625,81.5,54.443,23.478765,399.17988393948093,1380,14,0.36763734
560.5146253108978,0.2936756,253935,0.0,0.7809641510248184,0.011525162,82.875,55.662865,23.479471,413.43229226196297,1392,12,0.2936756
567.1548137664795,0.24384472,256968,0.0,0.7950222492218018,0.011487002,81.375,52.929726,23.484068,402.50226786560523,1404,12,0.24384472
573.8901562690735,0.27600652,260196,0.0,0.7750062942504883,0.011047866,83.0,55.159687,23.483465,409.96142488747046,1417,13,0.27600652
580.4389760494232,0.24699193,263280,0.0,0.7680295705795288,0.012821718,83.675,54.726696,23.489239,410.2500200404787,1429,12,0.24699193
587.04003739357,0.24245241,266478,0.0,0.7353681921958923,0.011748292,83.85,53.160645,23.496588,410.18701153882773,1442,13,0.24245241
593.6917357444763,0.2950302,269427,0.0,0.7935276329517365,0.0116257835,82.65,53.94221,23.493635,404.9332275235307,1454,12,0.2950302
600.416775226593,0.2319229,272508,0.0,0.8229106068611145,0.012223674,82.55,54.707825,23.501043,403.7558664351523,1466,12,0.2319229
607.0971949100494,0.30513716,275394,0.0,0.8019355237483978,0.012958363,83.8,57.693134,23.499105,406.6580980195798,1477,11,0.30513716
613.7302188873291,0.23333204,278496,0.0,0.7996194064617157,0.012176102,81.15,56.6522,23.492205,394.3113285648378,1491,14,0.23333204
620.352324962616,0.28488165,281379,0.0,0.8466620147228241,0.0119979195,77.825,56.09889,23.49235,384.87580359605306,1504,13,0.28488165
627.0554275512695,0.27727607,284610,0.0,0.8537351042032242,0.012582727,76.8,55.354156,23.504084,384.86233639016007,1517,13,0.27727607
633.6284017562866,0.26468876,287592,0.0,0.8416749089956284,0.012199571,77.675,55.636192,23.496418,389.0210515070886,1530,13,0.26468876
640.2228410243988,0.3100502,290841,0.0,0.7202096283435822,0.011979761,84.4,63.821327,23.48812,423.80448384047605,1541,11,0.3100502
647.0957560539246,0.230266,293916,0.0,0.839634045958519,0.011680283,84.025,60.886078,23.49372,420.07717367726457,1554,13,0.230266
653.734673500061,0.28983924,297033,0.0,0.8686900734901428,0.013425936,88.225,64.408295,23.488531,441.8224072905584,1565,11,0.28983924
660.2878890037537,0.23603895,299991,0.0,0.8291786313056946,0.012381274,86.1,59.55421,23.481916,427.4012667509549,1577,12,0.23603895
666.9027497768402,0.2805686,303039,0.0,0.812881126999855,0.011605917,91.05,64.70294,23.47664,454.67217394297387,1586,9,0.2805686
673.5046117305756,0.26134259,305601,0.0,0.721264511346817,0.012368674,92.775,66.57293,23.463785,464.41282334745455,1596,10,0.26134259
680.4520735740662,0.26073366,308811,0.0,0.8443246483802795,0.012634862,92.525,68.29014,23.464334,463.5990651220495,1608,12,0.26073366
687.2444014549255,0.31981683,311811,0.0,0.791295200586319,0.012717669,94.55,68.45967,23.462223,476.3814355885994,1618,10,0.31981683
693.9222514629364,0.24117595,314694,0.0,0.8531662821769714,0.0119679775,87.9,62.808704,23.462667,439.754683567143,1630,12,0.24117595
700.7819616794586,0.3496015,317919,0.0,0.8633307218551636,0.012709342,89.625,64.84419,23.46364,448.3227513961534,1642,12,0.3496015
707.5928826332092,0.25387394,320916,0.0,0.8257458209991455,0.012520885,89.925,64.43375,23.458185,449.2690660218079,1653,11,0.25387394
714.3643498420715,0.25207886,323817,0.0,0.7975224405527115,0.012549215,85.525,60.842308,23.441587,421.9805438231788,1665,12,0.25207886
