TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
470070,644.325,1681.4068670763718,-0.08823943138122559,0.010378748,1,1681.4068670763718,543,0.0,0.050240755,556.0657789707184,2.8642251,0.050240755
472143,633.475,1653.3515199608512,0.044015586376190186,0.010138603,2,1653.3515199608512,545,0.0,0.044384375,559.4962737560272,2.8604655,0.044384375
475143,633.475,1660.9137381688586,0.1974596381187439,0.01010615,1,1660.9137381688586,546,0.0,0.046223044,563.0389535427094,2.8411338,0.046223044
478143,633.475,1673.7265116457445,-0.16830801963806152,0.009991303,1,1673.7265116457445,547,0.0,0.04591857,566.5441272258759,2.8740566,0.04591857
480417,632.925,1681.1728434388526,0.9343517795205116,0.01017277,1,1681.1728434388526,548,0.0,0.07217511,570.0344862937927,2.9037774,0.07217511
485826,671.55,1800.1951838319594,0.823346272110939,0.01042072,2,1800.1951838319594,550,0.0,0.048068307,573.5760090351105,2.9253848,0.048068307
488187,666.225,1792.823785499988,0.9610226303339005,0.009162131,1,1792.823785499988,551,0.0,0.06513579,577.1359105110168,2.9168403,0.06513579
491187,666.225,1799.1600153024149,-0.0400315523147583,0.009969054,1,1799.1600153024149,552,0.0,0.042795658,580.749190568924,2.9337869,0.042795658
494115,640.625,1737.9385207946968,0.85474893450737,0.010510048,2,1737.9385207946968,554,0.0,0.051488124,584.2332646846771,2.8756819,0.051488124
498363,622.825,1698.8694189619687,0.9701530020684004,0.010354929,3,1698.8694189619687,557,0.0,0.057557203,587.8167812824249,2.8915613,0.057557203
501579,642.9,1764.4733399927159,0.9428607113659382,0.009447405,2,1764.4733399927159,559,0.0,0.05742968,591.4614112377167,2.865806,0.05742968
504579,647.15,1777.5086183674491,-0.05831742286682129,0.009766808,1,1777.5086183674491,560,0.0,0.059914555,595.1910908222198,2.8510218,0.059914555
508692,638.8,1752.9580760232734,0.47737473249435425,0.010031998,3,1752.9580760232734,563,0.0,0.05704224,598.7424938678741,2.819125,0.05704224
512145,634.6,1745.4288728542597,0.764649823307991,0.009263522,2,1745.4288728542597,565,0.0,0.046608895,602.3914830684662,2.8296304,0.046608895
514800,619.6,1708.302075230306,0.9261554330587387,0.009804754,2,1708.302075230306,567,0.0,0.0508933,605.9845721721649,2.8149998,0.0508933
516801,611.275,1686.0816551123467,0.200361967086792,0.010065181,1,1686.0816551123467,568,0.0,0.067937806,609.5317840576172,2.8530478,0.067937806
522018,636.625,1758.8304337667942,0.7237090170383453,0.009217407,2,1758.8304337667942,570,0.0,0.043955438,612.9279942512512,2.8970954,0.043955438
524886,647.075,1790.60639504011,0.9675330556929111,0.009037294,2,1790.60639504011,572,0.0,0.056408077,616.4343407154083,2.8568413,0.056408077
529605,658.25,1830.1042997776603,0.7156830430030823,0.0097608715,2,1830.1042997776603,574,0.0,0.057634752,620.0149006843567,2.8836367,0.057634752
532341,677.7,1891.934258538259,0.9538228921592236,0.009891907,1,1891.934258538259,575,0.0,0.05625067,623.6270320415497,2.8072212,0.05625067
535341,695.775,1945.0330202961704,0.7018397748470306,0.009701241,1,1945.0330202961704,576,0.0,0.055731956,627.2181715965271,2.8297927,0.055731956
537915,667.225,1869.9191504136193,0.959267295897007,0.010369906,2,1869.9191504136193,578,0.0,0.057304397,630.7176361083984,2.8092978,0.057304397
540882,668.425,1873.9798590915948,0.9653617963194847,0.009992512,1,1873.9798590915948,579,0.0,0.05938326,634.2760245800018,2.776304,0.05938326
543456,664.875,1863.581980877425,0.9704695548862219,0.009997655,1,1863.581980877425,580,0.0,0.0564825,637.9168508052826,2.7724812,0.0564825
546456,664.875,1862.9892627599243,-0.11394762992858887,0.012526154,1,1862.9892627599243,581,0.0,0.051736034,641.5895373821259,2.7291567,0.051736034
549456,686.55,1926.2937193630655,0.020309388637542725,0.01059073,1,1926.2937193630655,582,0.0,0.053787883,645.2276091575623,2.6842368,0.053787883
552456,686.55,1926.197150968436,-0.03780782222747803,0.009292688,1,1926.197150968436,583,0.0,0.044447728,648.7718579769135,2.6961372,0.044447728
555456,697.675,1960.7195468893653,-0.027515411376953125,0.009672182,1,1960.7195468893653,584,0.0,0.037084207,652.2679100036621,2.7213354,0.037084207
558456,719.275,2022.0103266600624,0.009519636631011963,0.010751185,1,2022.0103266600624,585,0.0,0.035898343,655.8522219657898,2.679385,0.035898343
561456,719.275,2021.809616069145,0.008851349353790283,0.011926806,1,2021.809616069145,586,0.0,0.038821734,659.4556999206543,2.7316504,0.038821734
565554,709.475,1987.0412159857071,0.6823633015155792,0.008970606,2,1987.0412159857071,588,0.0,0.05068022,663.0494134426117,2.7567136,0.05068022
568554,709.475,1988.1581672454406,-0.03277695178985596,0.010389758,1,1988.1581672454406,589,0.0,0.046196274,666.6778380870819,2.7697551,0.046196274
569241,695.125,1940.847925693383,0.013038814067840576,0.010014365,1,1940.847925693383,590,0.0,0.059122805,670.2401833534241,2.7666924,0.059122805
571857,672.25,1872.4775529921121,0.957990687340498,0.009476911,2,1872.4775529921121,592,0.0,0.04527035,673.8677685260773,2.7605617,0.04527035
574857,680.875,1890.376608368152,0.01282888650894165,0.00992169,1,1890.376608368152,593,0.0,0.042567857,677.412273645401,2.7809365,0.042567857
577710,679.475,1887.1392075026065,0.9373600408434868,0.00921089,2,1887.1392075026065,595,0.0,0.053390853,680.9597864151001,2.8399055,0.053390853
580710,696.6,1938.308537174556,0.1961572766304016,0.009763632,1,1938.308537174556,596,0.0,0.053591605,684.5300624370575,2.8364365,0.053591605
582885,689.925,1918.971732785493,0.7267022132873535,0.009360362,2,1918.971732785493,598,0.0,0.056746807,688.0444276332855,2.8940349,0.056746807
584850,693.925,1928.631102726417,0.5103952586650848,0.010158667,1,1928.631102726417,599,0.0,0.05670475,691.5547235012054,2.879914,0.05670475
587850,693.925,1927.1368088051076,0.01008296012878418,0.010503536,1,1927.1368088051076,600,0.0,0.043497276,695.1541948318481,2.9529414,0.043497276
590850,693.925,1926.1273918402148,0.008437931537628174,0.010402854,1,1926.1273918402148,601,0.0,0.04676021,698.7309463024139,2.9024055,0.04676021
593850,713.0,1980.4660823021834,-0.055750250816345215,0.009231934,1,1980.4660823021834,602,0.0,0.043376632,702.2751009464264,2.892092,0.043376632
596850,734.65,2042.3235102280355,0.01605522632598877,0.009119142,1,2042.3235102280355,603,0.0,0.03632998,705.8058009147644,2.9288914,0.03632998
