EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,surrgain,EpRewMean,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,TimeElapsed,entropy,optimgain
12,0.013105722,2201,468.2008177695573,0.26296285,14.29758,0.0,89.525,481692,0.8019433170557022,4540.837515115738,23.141586,0.26296285
10,0.014303049,2211,480.6221970752784,0.27412254,15.704535,0.0,90.925,484704,0.802052304148674,4569.473487615585,23.13959,0.27412254
11,0.011674497,2222,492.22650341942636,0.22731292,17.084269,0.0,93.625,487854,0.8395024836063385,4597.345045566559,23.135866,0.22731292
11,0.011752615,2233,493.29874770997975,0.23313487,17.786755,0.0,94.4,490986,0.8856239914894104,4626.472807884216,23.129173,0.23313487
11,0.01359703,2244,506.3052238541989,0.2938767,17.973526,0.0,97.5,494247,0.782998651266098,4654.532736778259,23.135029,0.2938767
11,0.011952032,2255,488.42055224217165,0.27789083,16.626186,0.0,93.625,497160,0.6924842596054077,4683.999658346176,23.13443,0.27789083
11,0.013142562,2266,484.8870887895513,0.27665132,16.389399,0.0,92.475,500247,0.7787330150604248,4710.9698832035065,23.125832,0.27665132
10,0.01246904,2276,497.50914934420445,0.25395328,16.437033,0.0,94.925,503256,0.7959194481372833,4740.762105464935,23.127596,0.25395328
9,0.013694814,2285,504.0916737611111,0.2996834,16.589237,0.0,96.225,506139,0.7699194401502609,4768.832626342773,23.125847,0.2996834
10,0.014603387,2295,522.1259019305055,0.3438943,17.235931,0.0,100.025,509163,0.8286758959293365,4797.671251535416,23.122557,0.3438943
12,0.013280831,2307,503.85474647344535,0.28553787,17.19475,0.0,96.3,512133,0.7725580930709839,4825.044606924057,23.127068,0.28553787
11,0.0126870535,2318,503.53298796652854,0.25013232,17.77885,0.0,96.775,515394,0.8580953627824783,4853.789882898331,23.118965,0.25013232
10,0.013640328,2328,500.47022887205713,0.29793614,17.511076,0.0,95.325,518352,0.8115760684013367,4883.3636927604675,23.11248,0.29793614
9,0.012979628,2337,526.1855338797412,0.30229783,18.613388,0.0,99.8,521592,0.7611060291528702,4911.370940923691,23.116575,0.30229783
10,0.013638924,2347,546.5891598125703,0.2527169,19.054169,0.0,103.525,524556,0.8368768692016602,4939.65918970108,23.111042,0.2527169
10,0.013709014,2357,559.3909245092786,0.3459078,18.210983,0.0,105.35,527790,0.8374949842691422,4968.034368276596,23.114857,0.3459078
9,0.014433386,2366,577.0702962181106,0.28456488,17.668945,0.0,108.65,530757,0.7803712487220764,4997.1188061237335,23.112745,0.28456488
12,0.013212494,2378,532.3255192626536,0.29864702,16.491253,0.0,100.45,533940,0.7013962268829346,5024.775007724762,23.125795,0.29864702
9,0.013780196,2387,538.7037822536806,0.30153343,16.119251,0.0,102.175,536817,0.6866129338741302,5053.348034143448,23.117174,0.30153343
11,0.0038415277,2398,510.55150104920375,0.1378289,16.412731,0.0,96.925,539661,0.7805826514959335,5081.7894587516785,23.11753,0.1378289
11,0.01394741,2409,494.119788586702,0.33587357,16.41625,0.0,95.45,543096,0.6776320934295654,5110.713037014008,23.107027,0.33587357
12,0.013945571,2421,493.5040412031056,0.2737236,15.906076,0.0,95.925,546318,0.7497424185276031,5137.476522445679,23.109875,0.2737236
11,0.014147895,2432,481.8762494459115,0.25867012,14.634211,0.0,93.15,549246,0.7932359278202057,5166.477952241898,23.112041,0.25867012
10,0.012886498,2442,481.514357898833,0.2908596,15.8470335,0.0,93.15,552378,0.756660059094429,5194.917444944382,23.106413,0.2908596
12,0.01425258,2454,486.54261756196377,0.28686994,16.573063,0.0,93.2,555483,0.746301919221878,5223.27782201767,23.109146,0.28686994
12,0.014344092,2466,471.37596117304275,0.25750452,18.202906,0.0,90.275,558495,0.8568083643913269,5251.305513620377,23.106493,0.25750452
10,0.01398027,2476,467.54232900352616,0.27557448,17.45316,0.0,89.875,561441,0.850378230214119,5279.4986572265625,23.100435,0.27557448
11,0.013608118,2487,469.49977713493917,0.27249506,16.748856,0.0,88.85,564477,0.7974493950605392,5308.371427774429,23.10056,0.27249506
