TimeElapsed,EpThisIter,EpRewMean,EpisodesSoFar,surrgain,EpLenMean,meankl,TimestepsSoFar,entropy,EpTrueRewMean,ev_tdlam_before,optimgain,entloss
2722.203719139099,10,77.240944,4573,0.1458607,116.775,0.003953157,388809,23.490458,586.9290372166662,0.869080662727356,0.1458607,0.0
2729.2979843616486,10,74.44902,4583,0.14448863,111.975,0.0038267605,389830,23.489569,558.9537614344625,0.8955521881580353,0.14448863,0.0
2736.484515428543,8,73.65031,4591,0.15432191,110.85,0.0043276767,390779,23.488546,548.246410489301,0.8557650297880173,0.15432191,0.0
2743.587745666504,9,74.9906,4600,0.1650838,115.425,0.0049436996,391904,23.489508,565.7547533171049,0.8814911842346191,0.1650838,0.0
2750.772082090378,10,74.84039,4610,0.23318836,114.1,0.00489862,392998,23.488592,558.44616441174,0.9081896767020226,0.23318836,0.0
2757.9906799793243,10,75.55207,4620,0.14655516,114.0,0.004009176,394036,23.487305,562.3378220442728,0.9049748033285141,0.14655516,0.0
2765.211067676544,8,75.634964,4628,0.1662746,115.125,0.0045646513,394928,23.486837,569.062435764045,0.8980099186301231,0.1662746,0.0
2772.361752986908,9,74.736984,4637,0.15124519,112.975,0.004225675,395950,23.488276,562.3929816870577,0.8815985545516014,0.15124519,0.0
2779.5501132011414,9,71.73999,4646,0.1657346,109.55,0.0042808084,396915,23.485613,544.6384471425214,0.8786808624863625,0.1657346,0.0
2786.678211927414,9,72.6366,4655,0.1553575,111.775,0.004284008,397943,23.485613,563.6448061425065,0.8214146643877029,0.1553575,0.0
2793.911156654358,8,73.248024,4663,0.15173393,113.8,0.004265453,398995,23.483725,572.4959431577265,0.8780656680464745,0.15173393,0.0
2801.0773782730103,8,75.537346,4671,0.1602942,118.975,0.003989881,400062,23.481466,594.1093346912987,0.8848908022046089,0.1602942,0.0
2808.2775502204895,9,75.29555,4680,0.1537719,120.9,0.004496738,401026,23.483416,600.0199894216832,0.8547993749380112,0.1537719,0.0
2815.423867225647,9,76.03176,4689,0.17112675,121.825,0.0048213853,402068,23.482904,608.7686871453667,0.8847632706165314,0.17112675,0.0
2822.5747470855713,9,72.98501,4698,0.15915093,116.825,0.0044397986,403091,23.482111,582.8781221382313,0.8676700741052628,0.15915093,0.0
2829.7019629478455,10,68.16861,4708,0.18423963,110.125,0.004683203,404128,23.484686,551.1717700264071,0.8883146792650223,0.18423963,0.0
2836.8420839309692,10,68.28019,4718,0.15125969,109.85,0.004324983,405171,23.484884,552.0272392409594,0.8873948380351067,0.15125969,0.0
2843.9453222751617,9,69.867485,4727,0.1486632,109.425,0.004032921,406191,23.485025,553.3731047673416,0.8295282572507858,0.1486632,0.0
2851.1721267700195,8,72.61168,4735,0.15238185,113.9,0.004430262,407240,23.48493,577.1943282267255,0.8681896179914474,0.15238185,0.0
2858.293081998825,8,77.422066,4743,0.18518765,119.925,0.004874301,408332,23.48517,611.862796613203,0.6769418120384216,0.18518765,0.0
2865.8078360557556,10,78.780014,4753,0.16838628,119.0,0.0041765673,409407,23.484442,613.9676847929261,0.8163877874612808,0.16838628,0.0
2872.9906890392303,10,75.11752,4763,0.15839547,115.9,0.0041958294,410447,23.484064,599.5571146537728,0.8655847907066345,0.15839547,0.0
2880.239675283432,8,76.3974,4771,0.15475877,117.65,0.004214471,411352,23.48342,600.6866298508642,0.8549379408359528,0.15475877,0.0
