EpLenMean,entloss,EpTrueRewMean,meankl,EpRewMean,surrgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,optimgain,EpisodesSoFar,TimeElapsed
381.025,0.0,880.9682381783092,0.008113204,241.81381,0.09610112,2,245625,0.8831182718276978,7.4559894,0.09610112,364,362.06362557411194
373.25,0.0,877.8042397922603,0.0076789446,243.8521,0.124508366,3,248931,0.9484622925519943,7.4283457,0.124508366,367,366.4959623813629
374.525,0.0,876.3585108387375,0.007833496,241.9768,0.0883771,3,252324,0.9220861718058586,7.3989825,0.0883771,370,370.9056558609009
369.225,0.0,878.3805320092533,0.00727572,242.32108,0.11392017,2,254889,0.9131080880761147,7.39766,0.11392017,372,375.3783314228058
366.7,0.0,874.3773215767421,0.0077209272,240.45964,0.08328189,3,258150,0.8822454214096069,7.4139414,0.08328189,375,379.8133578300476
361.425,0.0,863.1263038308452,0.00801583,237.78516,0.106621,3,261024,0.9199317768216133,7.43018,0.106621,378,384.1851861476898
364.025,0.0,864.2384465443416,0.008110564,236.40198,0.08955725,2,263280,0.9104728698730469,7.4261017,0.08955725,380,388.53287529945374
360.475,0.0,851.072361469508,0.0077098915,233.3813,0.093314916,3,265836,0.8271254599094391,7.4157705,0.093314916,383,392.8600404262543
366.025,0.0,877.7099449431238,0.008501929,240.1948,0.09054679,3,269634,0.9388874247670174,7.4161506,0.09054679,386,397.21426939964294
367.875,0.0,887.3365804557413,0.006923672,243.67007,0.11123058,2,271728,0.8813758864998817,7.403256,0.11123058,388,401.62772512435913
369.375,0.0,894.0771441620176,0.0077375527,243.4502,0.08750703,3,275463,0.9377162978053093,7.4072394,0.08750703,391,406.0390191078186
368.775,0.0,901.588815328358,0.008361565,243.34863,0.102395914,3,279135,0.9202353209257126,7.435133,0.102395914,394,410.4097890853882
372.25,0.0,912.5600664962197,0.008032788,246.67403,0.08510287,2,281676,0.8630188852548599,7.4330487,0.08510287,396,414.8036847114563
367.375,0.0,891.9698444573405,0.0076088137,241.07877,0.07629384,2,283734,0.840900331735611,7.420702,0.07629384,398,419.1816463470459
366.425,0.0,892.7071390690647,0.008534694,242.29013,0.11628691,2,286143,0.915772907435894,7.430066,0.11628691,400,423.60773062705994
374.375,0.0,915.3106957451548,0.0077391644,250.49971,0.09903133,3,289383,0.9083272814750671,7.447401,0.09903133,403,428.0538275241852
378.65,0.0,909.5695552860454,0.008070542,249.675,0.09485124,2,292506,0.8835810944437981,7.454164,0.09485124,405,432.44983291625977
382.925,0.0,913.9855086182331,0.0076335706,250.19437,0.10754779,3,295731,0.8779326230287552,7.4359784,0.10754779,408,436.86723017692566
387.75,0.0,931.4150253768487,0.008078219,255.13863,0.09081715,3,299877,0.8580295890569687,7.4552126,0.09081715,411,441.2453007698059
394.475,0.0,948.5477978003831,0.008667109,259.57626,0.09448544,2,303279,0.9033960700035095,7.4575186,0.09448544,413,445.84183073043823
399.5,0.0,945.5604461724797,0.0078122313,260.7997,0.10626389,2,306090,0.8860797211527824,7.455501,0.10626389,415,450.22604846954346
418.575,0.0,993.9311115887373,0.00863798,273.83,0.107524715,2,310206,0.870780423283577,7.4426756,0.107524715,417,454.5450475215912
416.5,0.0,987.9654866971734,0.008065605,273.93695,0.09763629,3,313260,0.874043881893158,7.4402943,0.09763629,420,458.9586238861084
434.175,0.0,1024.4249469826561,0.007961549,283.4085,0.09782359,3,317937,0.9337558150291443,7.4411135,0.09782359,423,463.36151146888733
441.575,0.0,1044.5840173353615,0.009000176,287.52606,0.09067577,2,321282,0.9323454797267914,7.4499035,0.09067577,425,467.78439688682556
446.375,0.0,1047.0536165457536,0.008434116,288.16837,0.09540525,1,323199,0.916744202375412,7.423768,0.09540525,426,472.15190863609314
441.7,0.0,1036.351861435801,0.008522438,287.3476,0.091711774,3,326364,0.9033593386411667,7.437682,0.091711774,429,476.56888127326965
435.5,0.0,1008.4629430813172,0.008877941,282.7531,0.10457827,4,330312,0.8153115212917328,7.433914,0.10457827,433,480.9611349105835
432.025,0.0,988.6098241260064,0.009162146,279.16925,0.11025593,2,332826,0.8945515304803848,7.3886113,0.11025593,435,485.35489439964294
428.3,0.0,989.2959586149998,0.00841739,284.16202,0.09328284,4,336156,0.9168052598834038,7.3970957,0.09328284,439,489.68559074401855
432.725,0.0,995.4194531129772,0.008010995,286.56354,0.09551364,3,340197,0.8810367211699486,7.3903356,0.09551364,442,494.08375334739685
