EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
443,318498,0.09458389,702.925,0.09458389,1806.925297027124,1,0.0,7.4027677,0.8994467481970787,1806.925297027124,436.3487322330475,0.00804168
447,322206,0.08853531,684.225,0.08853531,1772.6591971724204,4,0.0,7.3911877,0.8440157771110535,1772.6591971724204,440.45776891708374,0.008799825
449,325797,0.12918824,666.4,0.12918824,1747.2927316458743,2,0.0,7.37279,0.8405210971832275,1747.2927316458743,444.5989661216736,0.008709503
450,328797,0.079974264,666.4,0.079974264,1758.1347308447112,1,0.0,7.390272,0.2892516851425171,1758.1347308447112,448.5950698852539,0.008657917
452,331209,0.09973766,658.725,0.09973766,1745.4769179689124,2,0.0,7.390807,0.9033513739705086,1745.4769179689124,452.6052544116974,0.008863046
455,334413,0.098299265,641.375,0.098299265,1719.9266299399956,3,0.0,7.391171,0.8563254326581955,1719.9266299399956,456.653692483902,0.009045629
456,336687,0.07864855,639.55,0.07864855,1710.8939012753385,1,0.0,7.4053307,0.8704728931188583,1710.8939012753385,460.7554793357849,0.009380458
458,339327,0.08380683,638.875,0.08380683,1711.1436471357465,2,0.0,7.3878336,0.8323991000652313,1711.1436471357465,464.798232793808,0.008113834
459,342327,0.06490569,644.625,0.06490569,1734.0742435548723,1,0.0,7.393311,0.25496935844421387,1734.0742435548723,468.91128373146057,0.00840311
461,344961,0.10849723,635.7,0.10849723,1731.980584777058,2,0.0,7.3828135,0.5954045653343201,1731.980584777058,472.9890944957733,0.008510603
462,347961,0.09639302,649.125,0.09639302,1770.6841142022408,1,0.0,7.36171,-0.05630385875701904,1770.6841142022408,477.00225496292114,0.008468632
463,350157,0.09509046,655.575,0.09509046,1796.356251023309,1,0.0,7.333268,0.9162597954273224,1796.356251023309,480.9784755706787,0.008142116
465,352971,0.09172107,645.375,0.09172107,1761.9598402341867,2,0.0,7.3221307,0.8822675049304962,1761.9598402341867,485.01293754577637,0.008882072
466,355971,0.06640966,645.375,0.06640966,1767.5786132639012,1,0.0,7.312618,-0.01793968677520752,1767.5786132639012,489.06496262550354,0.009212494
