EpRewMean,EpLenMean,EpThisIter,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,entloss,meankl,entropy,surrgain,EpTrueRewMean,optimgain
470.98077,875.0,1,138897,190.22680950164795,123,-0.018290281295776367,0.0,0.0072981967,4.3244896,0.032935623,901.827681961979,0.032935623
466.59253,875.0,1,141897,194.51735830307007,124,-0.03726840019226074,0.0,0.0066773626,4.310203,0.022779748,901.426046976708,0.022779748
477.39078,897.925,1,144897,198.70862102508545,125,0.0028057098388671875,0.0,0.0057287705,4.259428,0.034725413,924.4718222083327,0.034725413
484.90594,916.25,1,147897,202.9574363231659,126,-0.027190804481506348,0.0,0.0058879945,4.291443,0.03201589,941.9398059133775,0.03201589
480.73956,916.25,1,150897,207.20990800857544,127,0.002756178379058838,0.0,0.006240066,4.2489085,0.036205925,941.3044758396466,0.036205925
477.16934,916.25,1,153897,211.53559470176697,128,-0.002260565757751465,0.0,0.0063979193,4.2206087,0.029340975,941.327978576539,0.029340975
473.71817,916.125,1,156882,215.75080609321594,129,0.11130768060684204,0.0,0.0066017276,4.1970434,0.044793576,939.8454864079565,0.044793576
470.70712,916.125,1,159882,219.99372744560242,130,0.004413902759552002,0.0,0.005959599,4.1685176,0.033959053,939.3231022616189,0.033959053
468.3252,916.125,1,162882,224.22724032402039,131,-0.045951247215270996,0.0,0.005307207,4.1837444,0.043859385,939.1881707302422,0.043859385
447.31195,881.675,2,164748,228.48078989982605,133,0.6022491455078125,0.0,0.0066744313,4.183351,0.046183486,902.7090491348329,0.046183486
453.0207,895.425,1,167748,232.72540092468262,134,0.03309297561645508,0.0,0.0059815506,4.171929,0.038851798,916.311997540997,0.038851798
451.5952,895.425,1,170748,236.9829978942871,135,-0.03294074535369873,0.0,0.0058122575,4.1857285,0.04646087,916.092184683801,0.04646087
450.11978,895.425,1,173748,241.2070415019989,136,-0.026635289192199707,0.0,0.0072624837,4.154512,0.032336287,916.2398372955664,0.032336287
455.5306,907.8,1,176748,245.47263932228088,137,0.25229138135910034,0.0,0.005234896,4.1521664,0.040840887,928.3865433463483,0.040840887
454.1491,907.8,1,179748,249.72691917419434,138,-0.0066519975662231445,0.0,0.0075722337,4.1740117,0.026826557,928.3343219199423,0.026826557
452.7658,907.8,1,182748,253.94405961036682,139,-0.02719557285308838,0.0,0.0066151023,4.094392,0.035634413,928.2631411675897,0.035634413
454.92007,914.575,1,185748,258.1213974952698,140,-0.0070781707763671875,0.0,0.009701613,4.129328,0.037319344,934.3775722738667,0.037319344
454.0161,914.575,1,188748,262.4154534339905,141,-0.0003732442855834961,0.0,0.006778731,4.104033,0.031307124,934.5711452255075,0.031307124
447.1789,904.875,2,192708,266.64005494117737,143,0.41279250383377075,0.0,0.0069317287,4.0895753,0.047708333,923.6176972257111,0.047708333
446.14532,904.875,1,195708,270.8390254974365,144,0.013751506805419922,0.0,0.006258734,4.0701523,0.057428375,923.247848878731,0.057428375
445.15332,904.875,1,198708,275.0612168312073,145,-0.005621075630187988,0.0,0.0074845348,4.0603337,0.0320243,922.9917341554985,0.0320243
444.29678,904.875,1,201708,279.2277910709381,146,-0.27615320682525635,0.0,0.0061555514,4.098244,0.037977107,922.3507322540343,0.037977107
443.53214,904.875,1,204708,283.405659198761,147,-0.0022362470626831055,0.0,0.0069742305,4.0763164,0.04191733,921.9405841290964,0.04191733
442.68686,904.875,1,207708,287.64666533470154,148,-0.012489914894104004,0.0,0.0066995313,4.1122823,0.036294803,921.5485547534179,0.036294803
438.3951,897.75,2,212853,291.8598663806915,150,-0.017773747444152832,0.0,0.0071395487,4.092566,0.04314112,914.1714160618652,0.04314112
438.12738,897.75,1,215853,296.04698491096497,151,-0.038184165954589844,0.0,0.0074160947,4.0814824,0.038899504,913.9280841181265,0.038899504
440.34253,903.3,1,218853,300.2657175064087,152,-1.33514404296875e-05,0.0,0.009269029,4.1012497,0.033600118,918.7030548487771,0.033600118
439.68195,903.3,1,221853,304.5044684410095,153,-0.0008976459503173828,0.0,0.0064446903,4.108894,0.03396353,918.1780977449362,0.03396353
427.38068,879.05,2,224943,308.7714846134186,155,0.13915669918060303,0.0,0.008665653,4.1118183,0.066001505,892.42566196882,0.066001505
424.78247,874.85,1,227439,312.97178196907043,156,0.04646313190460205,0.0,0.0075620124,4.06942,0.045281854,887.381629793621,0.045281854
424.17285,874.85,1,230439,317.20678424835205,157,-0.0004929304122924805,0.0,0.009173743,4.09854,0.030363062,887.0904399074486,0.030363062
423.49152,874.85,1,233439,321.52826142311096,158,-0.0061070919036865234,0.0,0.0071692416,4.094109,0.03370346,886.7161876158807,0.03370346
423.0915,874.85,1,236439,325.73582458496094,159,-0.010836362838745117,0.0,0.0070888386,4.0756855,0.04331681,886.3214659162622,0.04331681
432.03864,894.75,1,239439,330.00590562820435,160,-0.004101991653442383,0.0,0.008777263,4.1039424,0.039669544,905.590486290787,0.039669544
440.80063,912.85,1,242439,334.2228798866272,161,-0.047499775886535645,0.0,0.008947102,4.0786724,0.033350278,923.4823734189442,0.033350278
440.1214,912.85,1,245439,338.4036066532135,162,-0.004854917526245117,0.0,0.0091506075,4.060219,0.036317825,922.7631682905901,0.036317825
439.61353,912.85,1,248439,342.5745210647583,163,-0.03829061985015869,0.0,0.0074748406,4.0434246,0.04393962,921.9619105732634,0.04393962
436.0648,906.025,1,250620,346.74722146987915,164,0.02826380729675293,0.0,0.007893578,4.0488577,0.061390553,914.5010527053544,0.061390553
435.66846,906.025,1,253620,350.96675729751587,165,-0.005881905555725098,0.0,0.008127263,4.034813,0.03394864,914.1899333384943,0.03394864
435.24878,906.025,1,256620,355.19646859169006,166,-0.0002541542053222656,0.0,0.006828664,4.0459046,0.030596767,913.8777426517121,0.030596767
429.97192,895.175,1,258318,359.3233411312103,167,0.5878041684627533,0.0,0.0069657243,4.042357,0.06965521,902.4657583474178,0.06965521
429.60458,895.175,1,261318,363.4895577430725,168,-0.10424578189849854,0.0,0.007860434,4.0253925,0.0495701,902.2526977478261,0.0495701
429.44403,895.3,1,264318,367.7099874019623,169,-0.06880521774291992,0.0,0.0075599337,4.049721,0.05066931,902.7961355010486,0.05066931
429.09833,895.3,1,267318,371.93581533432007,170,-0.02588796615600586,0.0,0.0068349647,4.055687,0.03687811,902.7106399371081,0.03687811
429.77603,895.3,1,270318,376.1222584247589,171,-0.044675230979919434,0.0,0.007935839,4.062951,0.03438896,902.1140343467305,0.03438896
439.11273,912.45,1,273318,380.2942521572113,172,0.000887453556060791,0.0,0.007160526,4.08445,0.032927,919.4175388480683,0.032927
446.9651,929.75,1,276318,384.4997055530548,173,-0.00019276142120361328,0.0,0.008682697,4.0899105,0.029833416,937.2062264330937,0.029833416
446.6793,929.75,1,279318,388.7855360507965,174,-0.0014166831970214844,0.0,0.007878461,4.111938,0.037180074,936.617117755922,0.037180074
447.9087,929.75,1,282318,393.0182662010193,175,-0.029104948043823242,0.0,0.008522551,4.1561513,0.037650038,936.554977808606,0.037650038
447.05313,927.8,1,285084,397.3765459060669,176,0.009514212608337402,0.0,0.006985238,4.157957,0.049730256,933.4963953209814,0.049730256
446.07098,926.05,1,287874,401.6499032974243,177,0.07582670450210571,0.0,0.0078665335,4.177763,0.07388921,931.4175867353142,0.07388921
445.94882,926.05,1,290874,405.88679671287537,178,0.08839958906173706,0.0,0.009795291,4.1658998,0.051276598,931.3784549863856,0.051276598
441.29678,916.175,2,295689,410.1152095794678,180,-0.0759056806564331,0.0,0.007108896,4.1843495,0.045859173,920.1480691967366,0.045859173
438.80444,911.7,1,298152,414.29583501815796,181,0.08492738008499146,0.0,0.008059629,4.175965,0.0590116,914.7553979161079,0.0590116
433.35858,899.225,1,299655,418.5163629055023,182,0.10054188966751099,0.0,0.006795835,4.1919017,0.045553062,902.102323617621,0.045553062
437.36816,906.85,2,304530,422.6720128059387,184,-0.02398693561553955,0.0,0.0074234167,4.173895,0.045259543,908.8295261691328,0.045259543
429.4376,889.35,2,308430,426.91232323646545,186,0.3671627640724182,0.0,0.008426497,4.1763015,0.05640976,890.9290280576039,0.05640976
429.67987,889.35,1,311430,431.3993856906891,187,-0.10912823677062988,0.0,0.010877244,4.169951,0.045219846,890.7223182835887,0.045219846
422.29004,873.275,2,315501,435.68684220314026,189,0.17871373891830444,0.0,0.009273845,4.1623607,0.062889606,873.7033355048525,0.062889606
