EpThisIter,EpLenMean,TimeElapsed,EpisodesSoFar,surrgain,meankl,EpRewMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,entloss,optimgain
12,79.55,464.84008407592773,1081,0.21172352,0.01074123,65.28276,391.0508447753926,66154,23.510498,0.8470136225223541,0.0,0.21172352
12,79.1,471.81499767303467,1093,0.22633341,0.011083996,67.13224,385.36334333136546,67113,23.511232,0.8247524201869965,0.0,0.22633341
12,83.3,478.8346519470215,1105,0.20755847,0.010483183,70.30558,405.0740045839728,68151,23.508059,0.8693757206201553,0.0,0.20755847
10,85.4,485.8718626499176,1115,0.23007664,0.011465185,69.83427,412.24493143537603,69115,23.524164,0.8343623578548431,0.0,0.23007664
13,86.625,492.8267068862915,1128,0.24167398,0.0112191085,71.18604,417.6142943316157,70161,23.535887,0.8386303782463074,0.0,0.24167398
13,84.55,499.82978224754333,1141,0.21356848,0.010155944,69.6569,406.72336681784253,71137,23.527826,0.86423659324646,0.0,0.21356848
12,81.35,506.8400731086731,1153,0.22182395,0.010393641,67.473465,396.48297674651945,72189,23.528387,0.8719678372144699,0.0,0.22182395
14,78.775,514.1313519477844,1167,0.21469226,0.010049422,65.554115,383.05534497933553,73248,23.529379,0.8670586794614792,0.0,0.21469226
13,80.475,521.1177253723145,1180,0.22568244,0.011292423,72.12407,395.5489600103818,74276,23.521746,0.8653430193662643,0.0,0.22568244
13,78.775,528.1706171035767,1193,0.21918751,0.012241422,72.4459,388.7963308809001,75340,23.512144,0.8921421691775322,0.0,0.21918751
14,79.275,535.1819541454315,1207,0.21015705,0.011617492,69.697075,387.6671630142837,76419,23.515787,0.8578457981348038,0.0,0.21015705
14,77.55,542.2280156612396,1221,0.23239449,0.0108807385,66.10488,378.59597933580244,77497,23.497477,0.8739139288663864,0.0,0.23239449
12,78.4,549.3334543704987,1233,0.22247355,0.0110165905,66.66753,379.1927157424848,78476,23.501299,0.8644102215766907,0.0,0.22247355
13,78.65,556.4721820354462,1246,0.2270168,0.011057036,68.158714,387.0215637570385,79498,23.503157,0.8349378257989883,0.0,0.2270168
12,80.775,563.528079032898,1258,0.2248421,0.011104971,67.317055,390.67509354912033,80522,23.495378,0.8653668463230133,0.0,0.2248421
13,81.225,570.6287853717804,1271,0.1894768,0.011660853,64.72542,393.30827236103596,81526,23.492695,0.8529008030891418,0.0,0.1894768
12,83.025,577.6852903366089,1283,0.2116005,0.011200487,63.81953,397.9317367430829,82552,23.483953,0.8734548687934875,0.0,0.2116005
13,81.1,584.7890875339508,1296,0.2183689,0.011158915,60.29786,395.9808779686514,83599,23.472734,0.9027116969227791,0.0,0.2183689
13,81.975,591.8654754161835,1309,0.26246583,0.011365961,60.681263,403.8145051798737,84648,23.467772,0.8248818814754486,0.0,0.26246583
13,81.175,598.9061119556427,1322,0.26603654,0.0108781755,59.392555,404.8657710903401,85717,23.474054,0.8495472967624664,0.0,0.26603654
11,84.5,605.996134519577,1333,0.26352167,0.01067546,59.957012,418.44394249279446,86709,23.46631,0.8406341224908829,0.0,0.26352167
12,84.625,613.107311964035,1345,0.23539084,0.012199916,58.48048,413.34485632131236,87741,23.463137,0.8326063901185989,0.0,0.23539084
11,87.4,620.2243175506592,1356,0.29591566,0.012135449,58.027172,425.35615594536995,88771,23.47809,0.7980528622865677,0.0,0.29591566
12,89.6,627.2705192565918,1368,0.2676152,0.013168059,56.745422,433.33820790163827,89766,23.468266,0.8616141527891159,0.0,0.2676152
11,89.725,634.2656750679016,1379,0.29447737,0.012976614,55.760384,434.87812806613584,90744,23.472002,0.8550812900066376,0.0,0.29447737
13,84.65,641.3759706020355,1392,0.21926174,0.01205554,52.35846,409.82341424415347,91741,23.46435,0.8091513216495514,0.0,0.21926174
13,82.975,648.4107692241669,1405,0.34080476,0.011770009,50.947002,406.2408030264358,92831,23.460203,0.82231006026268,0.0,0.34080476
