TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
745509,0.003915624,0.14851654,0.89459478110075,62.38056,0.14851654,11,0.0,3111,1594.9002285003662,23.256266,483.4925915759999,95.775
748665,0.0039778883,0.14792767,0.9185422360897064,58.688072,0.14792767,12,0.0,3123,1601.5075075626373,23.254461,463.1844811354742,91.775
751587,0.004010523,0.15265751,0.8841609507799149,59.134056,0.15265751,10,0.0,3133,1608.1463696956635,23.252851,468.1868192907571,93.425
754542,0.0040664542,0.15823895,0.8422317355871201,57.026733,0.15823895,11,0.0,3144,1614.87615275383,23.252462,457.1958282501878,90.3
757752,0.004183259,0.14277849,0.8920163512229919,58.06629,0.14277849,11,0.0,3155,1621.6640186309814,23.253355,469.3680638168815,93.05
760824,0.004264589,0.15615737,0.8743989020586014,58.354076,0.15615737,11,0.0,3166,1628.3164944648743,23.253912,475.76468959369794,92.8
763737,0.0044163424,0.15523306,0.8021184802055359,61.518665,0.15523306,10,0.0,3176,1634.9986643791199,23.2536,481.7954536080689,93.925
766806,0.014328737,0.31760824,0.8518856167793274,61.440956,0.31760824,11,0.0,3187,1641.5489993095398,23.251299,479.9749336790783,94.3
769908,0.0039433017,0.15620609,0.8842062056064606,61.63144,0.15620609,11,0.0,3198,1648.284470319748,23.251688,479.0022554508223,94.05
773070,0.004069498,0.16665882,0.8520205914974213,60.64102,0.16665882,11,0.0,3209,1654.978396654129,23.248472,483.1568017553556,95.575
775860,0.0043705907,0.1470647,0.8614643216133118,57.85163,0.1470647,10,0.0,3219,1661.646437883377,23.24925,476.12698035967094,94.15
778932,0.0041250773,0.15374146,0.8675704449415207,59.296593,0.15374146,10,0.0,3229,1668.4136662483215,23.249691,488.61493004808074,95.95
782136,0.0039080023,0.15222454,0.8639216423034668,65.27643,0.15222454,10,0.0,3239,1675.2543115615845,23.253397,507.0934906567178,99.825
785163,0.013926168,0.2810609,0.8582396656274796,63.83954,0.2810609,11,0.0,3250,1682.0060412883759,23.25242,497.4198420988241,98.525
788166,0.0041731154,0.16095251,0.8352221250534058,64.574936,0.16095251,11,0.0,3261,1688.6225106716156,23.251703,498.399815088282,97.85
791268,0.0041849557,0.15652901,0.7845019698143005,66.08492,0.15652901,10,0.0,3271,1695.2736055850983,23.250711,487.27487924948355,96.55
794424,0.0040603243,0.17089742,0.8539524227380753,64.764694,0.17089742,10,0.0,3281,1701.931118965149,23.247236,493.3601740590977,96.925
797529,0.004838176,0.15614873,0.8460384160280228,67.15373,0.15614873,10,0.0,3291,1708.6287081241608,23.244867,516.0766835620155,100.85
800682,0.0041380003,0.15182751,0.885596938431263,67.26573,0.15182751,11,0.0,3302,1715.3697774410248,23.244364,515.1112409677497,101.85
803565,0.0044097314,0.1378019,0.824866384267807,66.101974,0.1378019,9,0.0,3311,1721.973476409912,23.243166,516.1917264742849,102.475
806433,0.0041086683,0.1531499,0.8875103816390038,68.46792,0.1531499,9,0.0,3320,1728.7002217769623,23.244135,519.6877039220783,104.075
809376,0.0038109678,0.14794181,0.8537416756153107,68.63246,0.14794181,9,0.0,3329,1735.500118970871,23.24465,510.4314771672347,102.8
812214,0.0042264927,0.15208372,0.8742764294147491,69.1371,0.15208372,10,0.0,3339,1742.273868560791,23.242985,511.8058934183015,102.625
815223,0.01452712,0.31962022,0.8583307266235352,66.9595,0.31962022,11,0.0,3350,1749.0829513072968,23.245934,503.49502067355735,100.4
818106,0.0040756217,0.15363386,0.8615171760320663,61.192455,0.15363386,12,0.0,3362,1755.717698097229,23.243324,460.9307417785223,91.0
821130,0.003908122,0.14981066,0.8464111536741257,60.415382,0.14981066,9,0.0,3371,1762.339844942093,23.243917,472.7496593377181,93.275
824061,0.003952927,0.16212323,0.8492780327796936,61.10026,0.16212323,10,0.0,3381,1769.028203010559,23.243816,474.28610026392437,93.875
827016,0.0039005228,0.15131277,0.8633909374475479,63.094765,0.15131277,9,0.0,3390,1775.631989955902,23.23903,494.559132478539,98.275
830142,0.0038654273,0.14547071,0.8615517616271973,65.78758,0.14547071,10,0.0,3400,1782.2968187332153,23.240152,524.2333904096635,105.35
833229,0.0038169357,0.14631794,0.8841415420174599,65.32677,0.14631794,10,0.0,3410,1788.962643623352,23.239763,511.6726926321238,102.875
836298,0.012937279,0.27103353,0.8824467658996582,62.884605,0.27103353,11,0.0,3421,1795.643437385559,23.242006,500.1819325744376,101.975
839328,0.0040669013,0.15728067,0.8908860087394714,60.243347,0.15728067,10,0.0,3431,1802.2854707241058,23.242432,492.00583742054295,99.65
