EpRewMean,EpTrueRewMean,TimeElapsed,EpisodesSoFar,optimgain,entropy,TimestepsSoFar,entloss,ev_tdlam_before,EpThisIter,meankl,surrgain,EpLenMean
18.245636,-1.1133740307337903,6.062236309051514,46,0.058250643,8.530349,3120,0.0,0.5600906014442444,46,0.00754007,0.058250643,22.5
25.394037,1.5922787254056407,10.51937985420227,73,0.06559537,8.443295,6243,0.0,0.5336904227733612,27,0.0074246516,0.06559537,33.25
34.014244,5.868155444996975,14.875970840454102,91,0.064601205,8.354914,9165,0.0,0.5145992338657379,18,0.0076358765,0.064601205,45.85
46.939384,12.832366088670971,19.235278129577637,100,0.06474646,8.285478,12228,0.0,0.6985850930213928,9,0.0068023456,0.06474646,63.275
58.14154,19.704772249700802,23.594692707061768,110,0.059688836,8.233532,15531,0.0,0.7852808684110641,10,0.006604334,0.059688836,80.7
66.24849,25.188770432073397,28.00085139274597,117,0.05955335,8.234729,18477,0.0,0.8545827567577362,7,0.0059449393,0.05955335,95.2
73.569824,31.396405616142353,32.35960674285889,126,0.065518975,8.200747,21195,0.0,0.8222973197698593,9,0.0068337684,0.065518975,108.45
80.16968,42.431745195244744,36.72138714790344,133,0.065165564,8.154786,24333,0.0,0.8646413385868073,7,0.0054091625,0.065165564,121.05
82.222755,51.671586874704076,41.03106212615967,138,0.06580362,8.141251,27192,0.0,0.8162835389375687,5,0.005827043,0.06580362,127.925
93.04883,74.00750378529462,45.44011735916138,141,0.06299088,8.087635,30114,0.0,0.7680846005678177,3,0.006133903,0.06299088,146.075
97.53966,96.30442959290312,49.834113121032715,147,0.06864622,8.112378,33240,0.0,0.8773161619901657,6,0.006290771,0.06864622,153.575
104.08174,122.21746672785385,54.12454605102539,152,0.06404581,8.159412,35793,0.0,0.9428786523640156,5,0.007022516,0.06404581,163.2
108.43317,149.03125723565205,58.526164293289185,157,0.05722715,8.166137,38967,0.0,0.9194574505090714,5,0.0060741147,0.05722715,170.75
114.3813,160.52586872582046,62.86070680618286,160,0.062574506,8.114394,42000,0.0,0.7777601927518845,3,0.006450143,0.062574506,188.95
121.514915,185.19622703976012,67.25052738189697,164,0.059231848,8.069565,45453,0.0,0.8615117073059082,4,0.0069001587,0.059231848,208.45
126.35271,210.38468794177257,71.56873083114624,167,0.07284096,8.064468,48312,0.0,0.8024833649396896,3,0.006867287,0.07284096,223.175
133.03961,244.2784576970001,75.91208505630493,171,0.062342755,8.081484,51453,0.0,0.8656497299671173,4,0.0056162197,0.062342755,233.85
130.44086,251.67823273686037,80.32455539703369,176,0.05989854,8.067501,54651,0.0,0.936870276927948,5,0.0067035826,0.05989854,238.875
125.822464,263.13469755912445,84.70661282539368,180,0.06311703,8.068791,57003,0.0,0.9459990710020065,4,0.0063855154,0.06311703,231.775
122.04584,270.4774988057528,89.10301685333252,185,0.059948646,8.118043,61182,0.0,0.9465533643960953,5,0.0060140034,0.059948646,239.2
124.778854,285.80235645899614,93.49175691604614,189,0.069727995,8.122451,65532,0.0,0.894707441329956,4,0.006812511,0.069727995,261.65
124.58523,296.6191252804897,97.86951732635498,194,0.05993866,8.158876,69345,0.0,0.9250737503170967,5,0.005643394,0.05993866,270.25
112.27818,287.2978617391583,102.23721623420715,201,0.076274544,8.1087055,72597,0.0,0.7529441565275192,7,0.007274084,0.076274544,243.125
113.497025,299.7620448439402,106.65017676353455,206,0.07467735,8.085326,77112,0.0,0.8686291575431824,5,0.005718656,0.07467735,249.425
102.798256,283.2528046688788,111.01902651786804,213,0.07701584,8.076967,80202,0.0,0.9609157033264637,7,0.0069326432,0.07701584,226.875
99.558334,284.738838923398,115.35343337059021,219,0.07479797,8.086411,83244,0.0,0.95830138027668,6,0.005616085,0.07479797,222.675
96.3933,285.57069633692566,119.69467496871948,225,0.08040184,8.075576,86490,0.0,0.944100346416235,6,0.007101873,0.08040184,210.9
85.22726,262.4450817220939,124.08628416061401,231,0.085418336,8.07637,89229,0.0,0.9687044620513916,6,0.006431935,0.085418336,177.3
85.38798,268.3320832286866,128.41345763206482,235,0.08573487,8.084583,91464,0.0,0.8300094753503799,4,0.005661751,0.08573487,177.4
83.17139,268.5235451329471,132.7692129611969,240,0.070943706,8.034805,93921,0.0,0.9472989961504936,5,0.0061054397,0.070943706,181.275
75.53633,246.53534429974198,137.16610383987427,244,0.07523799,8.017394,95784,0.0,0.9120412096381187,4,0.0070522665,0.07523799,161.775
74.70853,252.59145626856176,141.50600385665894,249,0.05817552,8.030319,98628,0.0,0.9435911290347576,5,0.0062388238,0.05817552,168.375
77.98107,265.852018765863,145.8584704399109,252,0.08111429,8.073917,101511,0.0,0.9582190550863743,3,0.00510436,0.08111429,181.975
79.023094,272.57893427173195,150.14488911628723,257,0.09116761,8.071163,104634,0.0,0.9164914712309837,5,0.0069724,0.09116761,186.925
78.318726,272.2277722425273,154.49226021766663,262,0.088597365,8.072403,107346,0.0,0.9367080926895142,5,0.005767514,0.088597365,186.075
78.93087,273.55289167444204,158.90638971328735,267,0.061206814,8.082201,110019,0.0,0.9208920300006866,5,0.0066082356,0.061206814,188.85
78.30161,275.0009585093978,163.30599784851074,273,0.086966895,8.063171,113196,0.0,0.9252541214227676,6,0.0074852817,0.086966895,188.0
80.62331,287.9062590543026,167.68349504470825,279,0.07601322,8.044934,116514,0.0,0.9345566555857658,6,0.006320701,0.07601322,191.75
84.38794,304.80202510006995,172.1310269832611,285,0.079504386,8.032238,119799,0.0,0.9573307149112225,6,0.0067256754,0.079504386,195.275
85.254715,308.3546513996986,176.5785207748413,290,0.08234268,8.033277,122799,0.0,0.9741684440523386,5,0.0065668705,0.08234268,197.0
84.80514,312.8822431423294,180.95801448822021,294,0.055752255,8.0103,126822,0.0,0.9202995300292969,4,0.006588092,0.055752255,202.975
83.58208,309.9581918210945,185.33914184570312,296,0.08685016,8.000748,128010,0.0,0.9461102969944477,2,0.006767476,0.08685016,198.075
87.14961,327.78112450773864,189.78756189346313,299,0.078058876,7.984451,131307,0.0,0.9639494344592094,3,0.0069785235,0.078058876,214.075
90.067924,339.76755967671033,194.18042516708374,303,0.07450347,7.9828033,134235,0.0,0.964577704668045,4,0.0067396904,0.07450347,219.825
96.82701,366.97710962533256,198.59500670433044,306,0.08173104,7.9593964,138027,0.0,0.9379602633416653,3,0.007812464,0.08173104,238.375
101.21194,383.83899754118005,203.0118305683136,309,0.12410335,7.9545317,140736,0.0,0.9575661905109882,3,0.006923767,0.12410335,249.05
107.37459,403.11163605989253,207.4437346458435,313,0.09074457,7.9450645,144528,0.0,0.9224885627627373,4,0.0066732103,0.09074457,261.1
108.105,404.2319066171139,211.83878087997437,316,0.06797858,7.9595375,147453,0.0,0.9383422210812569,3,0.0068178526,0.06797858,267.825
114.238014,425.96823961979374,216.22564005851746,319,0.09146786,7.9421268,150474,0.0,0.7888789474964142,3,0.0063568717,0.09146786,283.0
119.001755,444.6432336339948,220.65527081489563,322,0.12510794,7.953442,153450,0.0,0.9215619266033173,3,0.006005966,0.12510794,295.35
123.59792,457.2255366253695,225.0419900417328,326,0.095883675,7.9757085,156777,0.0,0.934581458568573,4,0.0077018538,0.095883675,302.425
128.54073,477.8693839019453,229.47385144233704,329,0.08897179,7.970767,160095,0.0,0.902007594704628,3,0.0069927284,0.08897179,316.675
131.69868,493.08649000242985,233.86478281021118,331,0.09009846,7.9600334,163266,0.0,0.9537289217114449,2,0.0075139636,0.09009846,323.675
135.20181,500.49119811636467,238.30965328216553,334,0.078640535,7.9566774,166005,0.0,0.9016325920820236,3,0.0068287672,0.078640535,326.525
140.40515,519.6797328408791,242.7195177078247,336,0.08025555,7.942384,169230,0.0,0.9352305829524994,2,0.007251228,0.08025555,343.5
139.54102,518.0434415281285,247.09457302093506,339,0.08023656,7.9357176,171990,0.0,0.8263661712408066,3,0.0069452496,0.08023656,339.025
144.04677,536.8552544472674,251.50024890899658,341,0.078529686,7.918705,175254,0.0,0.9309376329183578,2,0.0073086545,0.078529686,355.175
141.23447,531.0647345986232,255.8606116771698,345,0.09568593,7.918946,178803,0.0,0.9392815791070461,4,0.0071814023,0.09568593,345.825
147.45158,548.7065582931493,260.297651052475,348,0.13478222,7.9205437,182784,0.0,0.8137201219797134,3,0.0069266437,0.13478222,359.825
152.99692,565.2162947377799,264.64841413497925,351,0.13649833,7.9130745,186390,0.0,0.7072156667709351,3,0.007532987,0.13649833,363.625
150.75352,559.4592291048339,269.05757212638855,355,0.10390474,7.8985476,189834,0.0,0.7962124943733215,4,0.0069852667,0.10390474,359.9
151.75336,571.2227143684203,273.4398226737976,357,0.09921001,7.9011807,192084,0.0,0.9029756709933281,2,0.007964688,0.09921001,365.875
153.3125,580.1863305883242,277.85903549194336,359,0.082970075,7.9033957,195204,0.0,0.8351746797561646,2,0.006474044,0.082970075,372.75
154.04373,578.7549796357519,282.267329454422,362,0.09081796,7.93108,197763,0.0,0.6235295236110687,3,0.0073261047,0.09081796,369.275
158.50972,588.8658147192771,286.65046977996826,364,0.13178223,7.931534,200217,0.0,0.4950239658355713,2,0.006941837,0.13178223,375.075
161.92612,592.4484269902597,291.01827788352966,368,0.11626122,7.927059,204303,0.0,0.8419387191534042,4,0.0069213933,0.11626122,373.05
167.751,590.6976334665869,295.32378220558167,371,0.095621385,7.913453,207357,0.0,0.6190176904201508,3,0.0072886515,0.095621385,367.425
166.27792,578.921276755114,299.71979212760925,375,0.1128617,7.9247427,211065,0.0,0.8430227041244507,4,0.007677425,0.1128617,356.825
161.7485,558.3733055066868,304.0821328163147,378,0.08836734,7.91991,213129,0.0,0.788357675075531,3,0.008011829,0.08836734,349.2
159.16402,548.068549898974,308.3902359008789,381,0.07961134,7.9185786,216201,0.0,0.6558167040348053,3,0.007578453,0.07961134,341.225
161.33179,554.2016572754525,312.7029824256897,384,0.084635675,7.9189606,219375,0.0,0.8933038637042046,3,0.0063552577,0.084635675,346.15
167.74129,575.557134491828,317.10286140441895,386,0.08847331,7.920178,223287,0.0,0.47980940341949463,2,0.008090862,0.08847331,353.975
165.41081,562.4618055421206,321.4894802570343,389,0.10797895,7.915115,225558,0.0,0.828686997294426,3,0.0072793686,0.10797895,348.7
