entropy,optimgain,TimestepsSoFar,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,surrgain,entloss,EpLenMean,ev_tdlam_before,EpRewMean,meankl
7.9721675,0.09820314,234627,1,912.0602655195526,408,472.86902689933777,0.09820314,0.0,613.775,0.9618801139295101,912.0602655195526,0.006941581
7.963195,0.07619636,235629,1,915.4678902662172,409,479.0669090747833,0.07619636,0.0,614.975,0.747469425201416,915.4678902662172,0.008564716
7.9601593,0.10474598,239073,2,927.9067703982303,411,485.2764208316803,0.10474598,0.0,620.55,0.9019219130277634,927.9067703982303,0.008294915
7.949817,0.11344979,242202,3,921.2398316435061,414,491.4685173034668,0.11344979,0.0,604.875,0.8336310982704163,921.2398316435061,0.007928456
7.9467916,0.10852498,245745,2,951.5619252936685,416,497.7152373790741,0.10852498,0.0,622.625,0.9402300529181957,951.5619252936685,0.0067689996
7.91835,0.10188191,248565,2,958.4303517892146,418,503.9694449901581,0.10188191,0.0,616.125,0.9659979455173016,958.4303517892146,0.007196464
7.9190054,0.08208575,250857,1,975.9564435013484,419,510.218416929245,0.08208575,0.0,620.075,0.9228588491678238,975.9564435013484,0.006740245
7.916431,0.12885395,252348,1,990.0478624081786,420,516.4508471488953,0.12885395,0.0,623.35,0.9052963629364967,990.0478624081786,0.007952728
7.910336,0.09446418,257130,2,1006.7013013908199,422,522.6918952465057,0.09446418,0.0,617.125,0.5097858011722565,1006.7013013908199,0.0070791855
7.913819,0.2686661,259644,1,1033.7426292361001,423,528.9284734725952,0.2686661,0.0,631.675,0.7135429084300995,1033.7426292361001,0.007187442
7.904598,0.0792061,262644,1,1049.4204258405007,424,535.1708381175995,0.0792061,0.0,631.675,0.10818648338317871,1049.4204258405007,0.007584434
7.9045377,0.08938627,267447,2,1084.7961263532218,426,541.4085540771484,0.08938627,0.0,651.35,0.6777608394622803,1084.7961263532218,0.008002855
7.9116964,0.07618408,270447,1,1089.1227865466774,427,547.5997321605682,0.07618408,0.0,651.35,-0.11399471759796143,1089.1227865466774,0.007414218
7.884824,0.0788755,273447,1,1096.88534060813,428,553.8227620124817,0.0788755,0.0,651.35,-0.014658927917480469,1096.88534060813,0.0074759745
7.8782353,0.11113442,275883,1,1115.8173880117022,429,560.0662648677826,0.11113442,0.0,655.1,0.8423580378293991,1115.8173880117022,0.0073296293
7.879593,0.10640321,277515,1,1104.005619575478,430,566.3244495391846,0.10640321,0.0,645.675,0.9315948784351349,1104.005619575478,0.007898957
7.8770137,0.07751067,280515,1,1107.1747589064119,431,572.6041071414948,0.07751067,0.0,645.675,0.030342042446136475,1107.1747589064119,0.0062503396
7.862789,0.09088969,283242,1,1139.4600284552694,432,578.9123768806458,0.09088969,0.0,662.75,0.3902168273925781,1139.4600284552694,0.00721596
7.84259,0.0913523,286242,1,1170.5406171266725,433,585.1882572174072,0.0913523,0.0,674.4,0.40314072370529175,1170.5406171266725,0.0067586834
7.8419194,0.14607814,288189,1,1173.054322416614,434,591.4457025527954,0.14607814,0.0,673.075,0.8761650174856186,1173.054322416614,0.007558767
7.844784,0.0877678,291189,1,1207.9843014886574,435,597.7234921455383,0.0877678,0.0,689.475,-0.1753857135772705,1207.9843014886574,0.0079813935
7.8133698,0.10538052,293469,1,1230.6958638937836,436,603.9651985168457,0.10538052,0.0,698.525,0.7290613353252411,1230.6958638937836,0.0077480804
7.8127475,0.092043556,295263,2,1188.9109774652231,438,610.1726331710815,0.092043556,0.0,663.475,0.8154978007078171,1188.9109774652231,0.007407304
7.8267784,0.09567599,298815,2,1202.8558337759098,440,616.3800382614136,0.09567599,0.0,671.175,0.881635032594204,1202.8558337759098,0.0076255687
7.8099246,0.094274186,301815,1,1218.3266054097064,441,622.549234867096,0.094274186,0.0,681.475,0.21508538722991943,1218.3266054097064,0.008261446
7.803463,0.086352155,304950,2,1213.606552043041,443,629.1680769920349,0.086352155,0.0,680.375,0.8410884737968445,1213.606552043041,0.007268706
7.8071747,0.09687288,307956,2,1184.459610908465,445,635.4335052967072,0.09687288,0.0,659.75,0.8095859587192535,1184.459610908465,0.007980365
7.7997284,0.12295465,310854,1,1201.512150003066,446,641.7526268959045,0.12295465,0.0,658.9,0.8238579034805298,1201.512150003066,0.007322129
7.820251,0.11450362,313188,2,1195.0641144646895,448,648.0521986484528,0.11450362,0.0,654.675,0.8363621085882187,1195.0641144646895,0.0076497635
7.799085,0.07327361,316188,1,1229.154472465286,449,654.3497974872589,0.07327361,0.0,671.325,-0.004109621047973633,1229.154472465286,0.008930255
7.8004155,0.06956269,320649,2,1247.8882298719072,451,660.6617274284363,0.06956269,0.0,679.8,0.43568503856658936,1247.8882298719072,0.007561115
7.8024874,0.10007787,323298,1,1272.4990722699058,452,667.0231444835663,0.10007787,0.0,691.825,0.7208926975727081,1272.4990722699058,0.0075304685
7.8133535,0.090544865,325638,2,1278.5368666706586,454,673.3972382545471,0.090544865,0.0,695.3,0.9272138923406601,1278.5368666706586,0.007797588
7.82471,0.085749455,331164,2,1322.9297653022527,456,679.6598052978516,0.085749455,0.0,711.825,0.43781036138534546,1322.9297653022527,0.008312812
7.8404503,0.15368855,333240,1,1335.0339624891399,457,685.9507052898407,0.15368855,0.0,720.55,0.9017208591103554,1335.0339624891399,0.008474457
7.8516884,0.07395601,336240,1,1354.8947337014154,458,692.1946268081665,0.07395601,0.0,730.625,0.045209527015686035,1354.8947337014154,0.00815258
7.852108,0.07630336,339240,1,1374.9536836167058,459,698.4533438682556,0.07630336,0.0,736.525,0.12148690223693848,1374.9536836167058,0.008102469
7.8778677,0.071665004,342240,1,1386.973515818884,460,704.6858563423157,0.071665004,0.0,749.1,0.008412659168243408,1386.973515818884,0.008023318
7.8823733,0.0690504,345240,1,1386.802019681942,461,710.9545049667358,0.0690504,0.0,749.1,0.05702584981918335,1386.802019681942,0.008655544
7.8707128,0.0952139,348240,1,1406.7888728943035,462,717.199298620224,0.0952139,0.0,759.25,0.575607031583786,1406.7888728943035,0.006967388
7.8616977,0.12887235,350817,1,1406.5129232694112,463,723.4123165607452,0.12887235,0.0,759.775,0.8400378078222275,1406.5129232694112,0.008212425
7.869202,0.14421481,354525,2,1386.3016676833238,465,729.655654668808,0.14421481,0.0,740.675,0.7609065622091293,1386.3016676833238,0.008571622
7.881484,0.07612942,357525,1,1400.2835298350271,466,735.8887493610382,0.07612942,0.0,750.65,0.03704863786697388,1400.2835298350271,0.008515816
7.8684654,0.107779264,361308,2,1397.4380778697587,468,742.1075332164764,0.107779264,0.0,732.175,0.9072953164577484,1397.4380778697587,0.0086358655
7.86,0.08694345,364911,2,1379.3792184834933,470,748.3893702030182,0.08694345,0.0,728.3,0.7632446587085724,1379.3792184834933,0.007976875
7.8547487,0.10217509,367374,1,1386.4717284666087,471,754.6254935264587,0.10217509,0.0,723.825,0.8609844744205475,1386.4717284666087,0.00825933
7.855334,0.12408928,371448,2,1378.613712640688,473,760.8127143383026,0.12408928,0.0,710.05,0.8655261695384979,1378.613712640688,0.007796234
7.869519,0.08785735,375120,2,1351.8954479669464,475,767.0864865779877,0.08785735,0.0,699.425,0.6524839699268341,1351.8954479669464,0.007240303
7.869373,0.085361354,379722,2,1364.633930536896,477,773.315390586853,0.085361354,0.0,706.375,0.7801861763000488,1364.633930536896,0.0077434583
7.8758397,0.06983193,382722,1,1409.316568611997,478,779.526878118515,0.06983193,0.0,728.825,0.11391741037368774,1409.316568611997,0.0077399043
7.874512,0.14887458,384867,1,1414.991303086804,479,785.7892551422119,0.14887458,0.0,730.225,0.9058922380208969,1414.991303086804,0.007518998
7.8636937,0.120679885,388323,2,1415.1263581094568,481,791.9950242042542,0.120679885,0.0,720.9,0.864876851439476,1415.1263581094568,0.007820586
7.85315,0.10154537,390093,1,1407.727016856761,482,798.170937538147,0.10154537,0.0,711.525,0.9153229519724846,1407.727016856761,0.007242036
7.857789,0.087428,393093,1,1461.5869698617826,483,804.3595652580261,0.087428,0.0,734.525,-0.07353353500366211,1461.5869698617826,0.008407839
7.865356,0.09232764,396093,1,1480.7478534122588,484,810.5135819911957,0.09232764,0.0,744.25,0.08752667903900146,1480.7478534122588,0.0090020215
7.8538327,0.10618147,398439,1,1504.3747832212946,485,816.6681373119354,0.10618147,0.0,754.025,0.7883421629667282,1504.3747832212946,0.009300455
7.8566403,0.11024445,401439,1,1506.6263998286508,486,822.8770024776459,0.11024445,0.0,754.875,0.039797842502593994,1506.6263998286508,0.009500857
7.856449,0.11208758,405360,2,1528.4480255832618,488,829.1615469455719,0.11208758,0.0,768.1,0.8727610856294632,1528.4480255832618,0.007762621
7.860367,0.091614574,408360,1,1537.3311910928708,489,835.3826341629028,0.091614574,0.0,768.1,-0.05826878547668457,1537.3311910928708,0.008290667
7.859128,0.11593019,412146,2,1541.3905794870504,491,841.6178269386292,0.11593019,0.0,762.475,0.744481235742569,1541.3905794870504,0.008652039
7.8618803,0.10676288,415458,2,1518.843515373272,493,847.9126214981079,0.10676288,0.0,752.175,0.8037792444229126,1518.843515373272,0.008108742
7.850537,0.10827769,419439,2,1527.0569469465295,495,854.2550625801086,0.10827769,0.0,756.675,0.89421396702528,1527.0569469465295,0.007720355
7.8518105,0.08904788,423078,2,1502.3891271191483,497,860.5664956569672,0.08904788,0.0,748.65,0.5349997878074646,1502.3891271191483,0.007858363
7.852413,0.09142703,427506,2,1480.0101550546794,499,866.8791027069092,0.09142703,0.0,735.55,0.5578813552856445,1480.0101550546794,0.008141747
7.8475804,0.11730614,430899,3,1412.040183762137,502,873.1843934059143,0.11730614,0.0,688.825,0.8559364825487137,1412.040183762137,0.007741984
7.842774,0.10063335,433899,1,1433.1053287421914,503,879.4675903320312,0.10063335,0.0,692.35,-0.006580352783203125,1433.1053287421914,0.00786853
