EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
82.7,351795,12,0.9295886904001236,0.25583026,1780,646.307345867157,0.012873518,23.430647,0.25583026,0.0,416.0743647800442,416.0743647800442
83.825,354813,12,0.8964674919843674,0.25835937,1792,651.9374287128448,0.01286273,23.42853,0.25835937,0.0,421.5355866259273,421.5355866259273
81.65,358050,14,0.9237716272473335,0.23915246,1806,657.550222158432,0.013458873,23.427572,0.23915246,0.0,410.76506100205853,410.76506100205853
84.45,361158,11,0.9012061879038811,0.26502448,1817,663.2030861377716,0.013118032,23.424053,0.26502448,0.0,425.22109196220424,425.22109196220424
79.025,364131,14,0.8901169970631599,0.251325,1831,668.821539402008,0.013774513,23.42798,0.251325,0.0,397.30646062480207,397.30646062480207
85.0,367170,10,0.8879024088382721,0.27161968,1841,674.4821124076843,0.013098875,23.430353,0.27161968,0.0,424.2734774646933,424.2734774646933
87.625,370089,11,0.9128145575523376,0.2971708,1852,680.2149887084961,0.013700739,23.434061,0.2971708,0.0,433.7156781103475,433.7156781103475
86.025,373224,13,0.9147865176200867,0.26999372,1865,685.9286880493164,0.013356957,23.43099,0.26999372,0.0,424.9198328788334,424.9198328788334
89.325,376410,11,0.8853893429040909,0.30067998,1876,691.6645600795746,0.013200446,23.42431,0.30067998,0.0,440.58504258645087,440.58504258645087
84.725,379407,13,0.8929093778133392,0.25681418,1889,697.3389778137207,0.013538236,23.425777,0.25681418,0.0,417.16414150812227,417.16414150812227
83.125,382377,12,0.9376998767256737,0.32376206,1901,703.1169741153717,0.013223617,23.427084,0.32376206,0.0,405.3737106774914,405.3737106774914
81.875,385353,12,0.8923470750451088,0.31739378,1913,708.753301858902,0.014468614,23.425865,0.31739378,0.0,400.06927311379786,400.06927311379786
82.825,388353,11,0.8839576244354248,0.28936166,1924,714.4139750003815,0.0134577155,23.427732,0.28936166,0.0,408.96329021718475,408.96329021718475
93.625,391581,9,0.8366786539554596,0.35089153,1933,720.0922605991364,0.013900146,23.429926,0.35089153,0.0,462.9475710090351,462.9475710090351
96.7,394479,10,0.8639549314975739,0.32278162,1943,725.7805733680725,0.014073002,23.425112,0.32278162,0.0,480.24455619129884,480.24455619129884
100.0,397575,11,0.9330520704388618,0.30020362,1954,731.4218227863312,0.014089394,23.421808,0.30020362,0.0,498.90446601366875,498.90446601366875
98.125,400539,11,0.9226983413100243,0.2913258,1965,737.0424842834473,0.014416132,23.423891,0.2913258,0.0,489.7938709622551,489.7938709622551
90.65,403593,11,0.8790955170989037,0.29547793,1976,742.6779415607452,0.0124272695,23.429037,0.29547793,0.0,448.2556707306518,448.2556707306518
94.45,406440,9,0.8565314263105392,0.15226978,1985,748.4316158294678,0.0038464395,23.425274,0.15226978,0.0,472.770392738549,472.770392738549
92.425,409296,11,0.9231645241379738,0.2964744,1996,754.0740036964417,0.014208971,23.424555,0.2964744,0.0,464.3383813042586,464.3383813042586
92.5,412365,11,0.8809618204832077,0.14359754,2007,759.8131966590881,0.0037838474,23.420149,0.14359754,0.0,465.59117834891487,465.59117834891487
95.35,415578,11,0.8889436274766922,0.3035683,2018,765.5333271026611,0.013798423,23.418879,0.3035683,0.0,486.4110667923584,486.4110667923584
91.9,418494,11,0.8403385579586029,0.14386982,2029,771.2058568000793,0.0038417322,23.416681,0.14386982,0.0,464.75885429686497,464.75885429686497
92.525,421728,12,0.8639886230230331,0.14446871,2041,776.9083354473114,0.0038898764,23.410727,0.14446871,0.0,470.73710718288385,470.73710718288385
87.25,425001,13,0.8893895372748375,0.13056724,2054,782.5630226135254,0.004071875,23.408686,0.13056724,0.0,439.75832759674313,439.75832759674313
88.825,428067,11,0.8908724784851074,0.13866623,2065,788.2770402431488,0.003855879,23.409502,0.13866623,0.0,446.21224561056806,446.21224561056806
89.75,430980,10,0.9053181782364845,0.15310198,2075,793.9433679580688,0.0043418473,23.40827,0.15310198,0.0,451.396139870931,451.396139870931
93.275,434181,11,0.9239478409290314,0.27842572,2086,799.6375496387482,0.014885128,23.405025,0.27842572,0.0,472.90763555144747,472.90763555144747
93.6,437268,12,0.8798305690288544,0.40057206,2098,805.5039582252502,0.014903032,23.40716,0.40057206,0.0,470.56669881091887,470.56669881091887
