optimgain,EpTrueRewMean,entloss,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,meankl,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpRewMean
0.060748816,158.48395987244183,0.0,8.116458,0.060748816,190,49647,0.006649294,197.725,0.9615702740848064,5,66.93611240386963,200.05574
0.06357305,165.4718087435016,0.0,8.130186,0.06357305,193,52614,0.0053750724,211.575,0.866336852312088,3,70.97953128814697,209.127
0.06456259,193.03234357724006,0.0,8.138439,0.06456259,198,55887,0.006780995,216.125,0.9272092953324318,5,75.02871656417847,212.7461
0.06787094,199.53188186047356,0.0,8.093625,0.06787094,199,57069,0.006940796,218.85,0.7391799092292786,1,79.05474638938904,213.71085
0.06055223,203.68182471831364,0.0,8.061085,0.06055223,203,59619,0.006796525,218.225,0.9180952906608582,4,83.06519508361816,208.77707
0.06661406,229.64927564699747,0.0,8.038769,0.06661406,208,62682,0.006595843,222.875,0.9570484347641468,5,87.0422248840332,214.2231
0.06798975,233.1626049619837,0.0,8.055774,0.06798975,212,65940,0.0068400735,228.225,0.9777646735310555,4,91.00821709632874,215.54912
0.062055387,230.91371117705103,0.0,8.000794,0.062055387,216,69111,0.0061804214,230.975,0.9574266374111176,4,95.14918875694275,213.32698
0.06605592,268.36623237303104,0.0,8.008716,0.06605592,221,72435,0.0067886524,238.325,0.9807748291641474,5,99.21807479858398,222.65947
0.06858453,283.85337189044765,0.0,7.9963503,0.06858453,226,75447,0.0065756673,234.575,0.9697517734020948,5,103.39292764663696,218.82378
0.071460135,306.9152230421275,0.0,8.06432,0.071460135,231,79788,0.006140485,245.375,0.9739832431077957,5,107.55766081809998,225.77426
0.069525704,312.1189929107144,0.0,8.084119,0.069525704,236,82758,0.006953773,232.125,0.9428808651864529,5,111.66935133934021,214.33061
0.067136206,315.46802065204065,0.0,8.110522,0.067136206,238,85062,0.0063167596,243.125,0.7964321374893188,2,115.71399760246277,220.66142
0.06040242,315.32696126261453,0.0,8.116393,0.06040242,241,88389,0.00726787,249.025,0.9215877503156662,3,119.81503462791443,224.07954
0.06674166,324.912825111676,0.0,8.073793,0.06674166,245,91278,0.006750142,252.65,0.9775159191340208,4,123.87600612640381,224.42603
0.059003785,326.17210688213834,0.0,8.053112,0.059003785,248,95457,0.0059363125,273.125,0.9355261102318764,3,127.8453733921051,234.39993
0.07393576,344.2660601190752,0.0,8.047229,0.07393576,251,98427,0.0068497984,278.25,0.9664701484143734,3,131.86671614646912,238.51982
0.0669642,346.1038838343585,0.0,8.023377,0.0669642,253,100647,0.006820529,282.6,0.9134175255894661,2,135.90400290489197,239.79135
0.06061246,342.8573457443475,0.0,8.009262,0.06061246,254,101661,0.006742096,285.525,0.8744012713432312,1,139.98562932014465,240.17416
0.054807294,352.4791025146366,0.0,7.992855,0.054807294,257,106062,0.0062875617,303.5,0.8147598803043365,3,144.03283405303955,250.4434
0.069193184,363.02618834163724,0.0,7.993405,0.069193184,261,110955,0.006527643,321.0,0.928608812391758,4,148.12194442749023,261.19284
0.056158267,364.99676042546423,0.0,7.983944,0.056158267,264,113889,0.0071196845,327.975,0.9362923130393028,3,152.153706073761,264.75186
0.07772778,367.2853356904137,0.0,7.9931498,0.07772778,267,116811,0.0064017116,330.225,0.9229005128145218,3,156.26586318016052,265.84198
0.07267189,374.3179893646805,0.0,8.00201,0.07267189,270,120276,0.0064615235,342.5,0.9054483324289322,3,160.27291011810303,273.6783
0.08247083,389.15195486687753,0.0,7.997071,0.08247083,271,123276,0.00780946,362.4,0.11252409219741821,1,164.3656861782074,285.5049
0.10298306,413.8660953624235,0.0,8.008298,0.10298306,274,126624,0.0066061146,376.75,0.8951169177889824,3,168.40105557441711,298.50958
0.06479576,411.7769843997154,0.0,7.9964476,0.06479576,276,129006,0.006230454,385.4,0.9198258593678474,2,172.49775552749634,301.96915
0.09641723,418.7040816684756,0.0,7.9912105,0.09641723,278,132159,0.0072682737,392.475,0.9207921847701073,2,176.48909950256348,305.3016
0.14198819,433.4197819772633,0.0,8.035717,0.14198819,279,134457,0.0065456205,399.7,0.8076967746019363,1,180.56936836242676,311.37546
0.081630565,460.94398533776,0.0,8.043472,0.081630565,281,138207,0.0066296672,415.15,0.44269704818725586,2,184.60904383659363,323.34586
0.08712707,469.7671919535367,0.0,8.032348,0.08712707,284,141654,0.006665376,425.1,0.9225399270653725,3,188.73587107658386,331.57
0.06607315,492.7316617807187,0.0,8.033707,0.06607315,286,146004,0.006725247,440.4,0.6320742666721344,2,192.83955264091492,342.19232
0.05716851,513.1239504983727,0.0,8.020434,0.05716851,289,150531,0.0065094745,448.55,0.7609549462795258,3,196.89144921302795,347.93854
