EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,optimgain,EpLenMean,entloss,TimeElapsed,entropy,EpThisIter,TimestepsSoFar,EpRewMean,surrgain,meankl
548,1332.9381562107872,0.8056571632623672,0.098000556,447.075,0.0,1148.5094759464264,7.259647,2,556284,481.72998,0.098000556,0.010238407
549,1376.0139175602042,-0.006995558738708496,0.09765205,458.7,0.0,1154.8774869441986,7.2579336,1,559284,491.1704,0.09765205,0.009764185
551,1410.4506600787122,0.7561180740594864,0.14848208,466.625,0.0,1161.186842918396,7.2656293,2,561795,501.4501,0.14848208,0.009462379
553,1517.3819664576447,0.5538491904735565,0.0874793,494.225,0.0,1167.5299241542816,7.268629,2,566517,532.40906,0.0874793,0.008643492
556,1450.0956297121543,0.6262604892253876,0.104389675,471.95,0.0,1173.9281957149506,7.272718,3,570723,506.95352,0.104389675,0.008696098
557,1457.2326766764802,0.4733514189720154,0.12440858,472.475,0.0,1180.1931352615356,7.279432,1,572007,510.34067,0.12440858,0.00945219
559,1371.2862317847746,0.8916571736335754,0.12416735,447.35,0.0,1186.5233471393585,7.267443,2,574680,483.5561,0.12416735,0.008864524
561,1371.4607080547576,0.755000427365303,0.14818358,446.6,0.0,1192.897535085678,7.272884,2,577794,484.99738,0.14818358,0.009066573
562,1430.174770569053,0.2669905424118042,0.09740628,460.875,0.0,1199.1709580421448,7.22028,1,580794,500.70087,0.09740628,0.010757923
564,1559.781820062378,0.46429872512817383,0.09791157,493.15,0.0,1205.4664962291718,7.2191195,2,585771,534.73895,0.09791157,0.009855822
566,1624.403484495297,0.4919784665107727,0.1043391,510.95,0.0,1211.8011462688446,7.223251,2,589419,551.73584,0.1043391,0.009113592
569,1733.7291045162062,0.7654642313718796,0.10776845,539.025,0.0,1218.1504216194153,7.234819,3,595026,578.13916,0.10776845,0.009921888
572,1766.080254952313,0.8113828301429749,0.11190184,547.45,0.0,1224.4924669265747,7.248902,3,598230,587.3744,0.11190184,0.008877613
574,1830.9519643383487,0.8223144710063934,0.11160156,570.375,0.0,1230.878408908844,7.250912,2,603132,607.9881,0.11160156,0.009338719
576,1892.3757906426345,0.7837169319391251,0.11400482,585.15,0.0,1237.2825758457184,7.253236,2,606222,625.38196,0.11400482,0.009097589
577,1904.9157649118074,0.78630031645298,0.17310712,587.075,0.0,1243.6454536914825,7.2883296,1,608241,627.4385,0.17310712,0.009434124
579,1970.2630481580723,0.89231788367033,0.10560236,608.1,0.0,1250.273782491684,7.2633824,2,612246,648.8581,0.10560236,0.0092338165
580,1937.204475601516,0.5729012191295624,0.09356582,598.25,0.0,1256.60404920578,7.2766566,1,614064,637.88043,0.09356582,0.010448754
581,2015.4616445365987,-0.007739543914794922,0.0972583,618.775,0.0,1262.9164996147156,7.2683883,1,617064,658.08386,0.0972583,0.00931929
582,2025.2382418206967,0.7409683167934418,0.14894493,621.3,0.0,1269.2016432285309,7.275497,1,619383,660.15356,0.14894493,0.010619661
583,2017.9514089496029,0.37972360849380493,0.08405128,621.3,0.0,1276.1137359142303,7.2551847,1,622383,656.7752,0.08405128,0.009158998
584,2049.7753849299306,0.7632174491882324,0.12665957,628.9,0.0,1282.9342336654663,7.258119,1,624951,665.2287,0.12665957,0.009559551
585,2097.2125131387165,0.5611624419689178,0.092687964,640.975,0.0,1289.721673488617,7.270207,1,626910,677.9621,0.092687964,0.009472943
586,2052.8531764534955,0.9213485270738602,0.11773695,628.275,0.0,1296.5587298870087,7.2552047,1,628386,665.2389,0.11773695,0.0088023655
587,2022.876123603349,0.92723149061203,0.12039884,625.225,0.0,1303.7357950210571,7.2791753,1,630558,660.5641,0.12039884,0.008498069
588,2035.0143148116872,0.7218046486377716,0.097889416,626.9,0.0,1310.7468338012695,7.2237716,1,631512,665.5226,0.097889416,0.009099491
589,2022.185696998121,0.5888936519622803,0.0989737,626.9,0.0,1318.024657011032,7.233458,1,634512,662.7401,0.0989737,0.009306879
591,1995.3484573536298,0.8429341614246368,0.11387067,621.3,0.0,1325.1783273220062,7.2472405,2,636351,655.67554,0.11387067,0.010856222
592,2007.8584583608783,0.7564338445663452,0.09381936,621.3,0.0,1332.2747223377228,7.2639775,1,639351,655.10254,0.09381936,0.010183063
594,1987.5414215317953,0.6276858448982239,0.10737993,617.375,0.0,1339.3094491958618,7.2611823,2,643602,648.7591,0.10737993,0.009125212
596,2039.9911046740253,0.906332939863205,0.09166078,630.675,0.0,1346.4728827476501,7.2603154,2,646404,666.22205,0.09166078,0.008883423
