EpThisIter,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,EpRewMean,ev_tdlam_before,entropy,EpisodesSoFar,entloss,optimgain,TimeElapsed,meankl
6,630.325,754.0401911686938,0.06509615,169611,233.86938,0.827865794301033,4.232855,165,0.0,0.06509615,248.27040362358093,0.008975717
10,406.55,531.5388498334999,0.047462977,172542,190.92744,0.9651819504797459,4.217828,175,0.0,0.047462977,252.56805515289307,0.00848831
9,253.375,380.9032557497795,0.06608461,175539,160.15219,0.837369292974472,4.2311387,184,0.0,0.06608461,256.88834524154663,0.008576425
10,131.25,252.10000388848238,0.0627397,178431,112.6582,0.8079954534769058,4.242133,194,0.0,0.0627397,261.1746184825897,0.008518647
7,107.925,224.9399697716912,0.069451496,181362,91.935936,0.7363857626914978,4.241204,201,0.0,0.069451496,265.48065733909607,0.008889822
6,120.925,251.2505728134122,0.07701579,184650,94.83146,0.5130303204059601,4.251016,207,0.0,0.07701579,269.7091646194458,0.008613683
6,130.8,270.32623796020073,0.06887961,187527,97.464,0.06832021474838257,4.2603545,213,0.0,0.06887961,274.01435232162476,0.0070088995
6,137.075,287.1250787958708,0.07508779,190500,99.40532,0.6863325834274292,4.2706227,219,0.0,0.07508779,278.2946207523346,0.0077563436
6,151.675,314.59110920210304,0.07150415,194022,107.28345,0.8176180720329285,4.267883,225,0.0,0.07150415,282.54664731025696,0.00843988
6,165.475,345.6833912713323,0.07022923,197337,119.99487,0.8002806454896927,4.2634206,231,0.0,0.07022923,286.8425633907318,0.0075217616
5,185.675,382.5581050605475,0.06721257,201384,134.01608,0.7757991999387741,4.2615376,236,0.0,0.06721257,291.09802985191345,0.0094848275
5,203.825,425.9191875810954,0.06306931,205821,160.18222,0.7543922066688538,4.2626667,241,0.0,0.06306931,295.3830244541168,0.006858791
3,207.75,434.4964487230237,0.06428838,207975,159.59302,0.8141805827617645,4.2600026,244,0.0,0.06428838,299.63227224349976,0.0071416115
4,221.35,464.4627338125803,0.06796374,211914,168.01132,0.8293037712574005,4.2479587,248,0.0,0.06796374,303.9334099292755,0.007542356
4,228.55,478.8705381400474,0.059302416,214437,168.83398,0.5094977617263794,4.2381325,252,0.0,0.059302416,308.2065486907959,0.0074911923
2,245.5,518.7483321407965,0.063367344,217488,191.57867,0.6438047587871552,4.2258015,254,0.0,0.063367344,312.4649751186371,0.0077601876
3,262.3,543.0404243136484,0.068208754,220896,200.16211,-0.228235125541687,4.2262554,257,0.0,0.068208754,316.7243390083313,0.008041464
2,266.075,546.7635072128136,0.06009081,222429,199.90012,0.7842768579721451,4.211275,259,0.0,0.06009081,320.93376636505127,0.0082451105
3,280.225,583.3001676031408,0.04886456,225687,214.23108,-0.04310619831085205,4.200805,262,0.0,0.04886456,325.19816851615906,0.008528633
4,282.175,594.2272542953758,0.07356398,228561,218.60373,0.8272060006856918,4.186272,266,0.0,0.07356398,329.41237330436707,0.008396514
3,295.9,641.1296343930564,0.05797248,231843,241.88322,0.7309815287590027,4.1832905,269,0.0,0.05797248,333.66999530792236,0.00840413
3,297.825,657.135351830326,0.072927155,234441,249.96378,0.911747120320797,4.155068,272,0.0,0.072927155,337.93038845062256,0.008621343
4,306.125,704.2400760484686,0.065001026,238119,275.17288,0.8984205797314644,4.1709533,276,0.0,0.065001026,342.1381685733795,0.007792158
4,301.05,709.1625167732478,0.061721236,241341,274.6249,0.6097826659679413,4.1597624,280,0.0,0.061721236,346.34756898880005,0.008785397
4,305.925,732.9887044378845,0.06346192,244686,283.888,0.7119306921958923,4.143249,284,0.0,0.06346192,350.5357608795166,0.008157112
4,300.9,742.679119376938,0.068234734,248022,284.6294,0.7614484131336212,4.105286,288,0.0,0.068234734,354.80735182762146,0.009039022
3,314.8,796.644421558364,0.06366254,251652,306.0734,0.9193833917379379,4.069212,291,0.0,0.06366254,359.01680159568787,0.007971523
2,324.1,833.755812932779,0.0725176,254019,321.3283,0.9153994545340538,4.078766,293,0.0,0.0725176,363.2044014930725,0.00862725
3,314.4,854.7732758553663,0.074812874,258003,321.04865,0.9430531114339828,4.072717,296,0.0,0.074812874,367.4143285751343,0.008649212
2,326.3,914.0641246353689,0.06046644,260901,343.6485,0.9750575888901949,4.050234,298,0.0,0.06046644,371.6425063610077,0.008737287
2,336.85,960.9880802072023,0.061663583,263976,360.34174,0.9622935280203819,4.0458007,300,0.0,0.061663583,375.85203766822815,0.009458721
2,339.125,984.5023974413891,0.05753853,266382,367.79904,0.867764487862587,4.0572433,302,0.0,0.05753853,380.0619695186615,0.007969172
2,356.525,1050.2852491117442,0.05912645,269487,390.94873,0.9338205605745316,4.0216126,304,0.0,0.05912645,384.22600769996643,0.008768021
1,375.875,1118.7409120512962,0.04641494,272487,412.76758,0.12041366100311279,3.999611,305,0.0,0.04641494,388.4456436634064,0.00812226
1,388.625,1170.0591628980474,0.07142429,275196,426.4914,0.9840989150106907,3.9804058,306,0.0,0.07142429,392.6654546260834,0.008324126
2,392.4,1194.6844217436385,0.06456968,278256,426.62363,0.9729798417538404,3.9790936,308,0.0,0.06456968,396.9202642440796,0.008751806
2,403.625,1241.9301482833716,0.062128514,281097,438.34732,0.9012475311756134,4.0068283,310,0.0,0.062128514,401.1565592288971,0.008808348
4,407.975,1268.249807560002,0.056366995,284814,440.5788,0.810021311044693,3.9926438,314,0.0,0.056366995,405.3263318538666,0.01089224
4,401.475,1263.6030242057543,0.060072817,288291,427.99017,0.919828936457634,3.9838805,318,0.0,0.060072817,409.56112933158875,0.009643869
2,416.4,1324.1214591952844,0.056138035,291309,442.70206,0.9613505750894547,3.9669266,320,0.0,0.056138035,413.70701813697815,0.008641989
2,427.4,1369.4497061456318,0.06364289,294549,448.14777,0.9410900622606277,3.982031,322,0.0,0.06364289,417.8885819911957,0.009833159
1,443.825,1429.4514233921163,0.05564546,297549,457.61465,0.5783591568470001,3.9059463,323,0.0,0.05564546,422.1551020145416,0.009590384
1,459.425,1490.329967913927,0.054977097,299817,471.35614,0.9580734483897686,3.9443436,324,0.0,0.054977097,426.3580267429352,0.008782722
1,461.575,1506.9206731723757,0.07243161,301596,472.99307,0.9350607618689537,3.9098268,325,0.0,0.07243161,430.54884600639343,0.009883698
1,481.125,1579.0494746693018,0.06670999,304227,487.2501,0.9520760923624039,3.922554,326,0.0,0.06670999,435.0576717853546,0.009285186
1,490.55,1619.9190196184984,0.059678465,306222,494.61688,0.921784833073616,3.8669803,327,0.0,0.059678465,439.281640291214,0.00916216
2,501.325,1661.5319096711742,0.057827737,309054,501.2054,0.9779462423175573,3.835808,329,0.0,0.057827737,443.51907205581665,0.008863989
3,494.625,1649.705892322691,0.036837336,312468,484.7037,0.7431143224239349,3.8471148,332,0.0,0.036837336,447.78252840042114,0.007741059
2,509.775,1709.1093641046853,0.080630854,316722,489.461,0.9512050338089466,3.8544538,334,0.0,0.080630854,452.039927482605,0.009203431
3,507.425,1710.2246765429613,0.062197287,320538,477.5231,0.766661524772644,3.8347151,337,0.0,0.062197287,456.33020663261414,0.008659121
3,503.425,1710.1569242365117,0.05589152,324387,465.6264,0.9747885186225176,3.8102093,340,0.0,0.05589152,460.6298589706421,0.008027781
2,515.325,1762.4343881466461,0.07667451,328221,471.8846,0.9385580830276012,3.787651,342,0.0,0.07667451,464.86862421035767,0.0090679955
2,505.0,1729.9743246783105,0.063919686,330087,456.57782,0.978744849562645,3.7887557,344,0.0,0.063919686,469.12571930885315,0.00928865
4,455.825,1569.8442056430551,0.061369803,332955,404.4638,0.9503633975982666,3.7229009,348,0.0,0.061369803,473.48583817481995,0.009020463
3,445.025,1537.3298128743377,0.05894763,335670,389.97638,0.9751394502818584,3.7242064,351,0.0,0.05894763,477.8134081363678,0.009027941
2,458.475,1589.765551090358,0.060803425,338979,398.81577,0.9514581821858883,3.5778117,353,0.0,0.060803425,482.1135573387146,0.010235909
1,476.375,1654.552455425794,0.037912272,341979,409.99814,0.09310305118560791,3.5894854,354,0.0,0.037912272,486.39501094818115,0.009435747
2,491.275,1710.272149623374,0.045077123,345678,417.66904,0.7001003921031952,3.5870955,356,0.0,0.045077123,490.7218155860901,0.010087772
2,496.525,1733.7286131412839,0.06470245,347874,421.24496,0.9706724304705858,3.5418098,358,0.0,0.06470245,495.0047607421875,0.009225011
3,483.8,1695.06743893717,0.049223587,351234,412.35352,0.8072827905416489,3.5121393,361,0.0,0.049223587,499.30803871154785,0.009851185
2,463.75,1632.01417897064,0.057135604,353199,400.9298,0.9764344189316034,3.4473488,363,0.0,0.057135604,503.57899165153503,0.010315438
2,461.35,1628.6075610132616,0.051610626,356958,399.7464,0.9862212464213371,3.4701014,365,0.0,0.051610626,507.8947117328644,0.010227863
1,453.5,1601.8147272294086,0.06013426,358647,395.08664,0.9570681601762772,3.4525685,366,0.0,0.06013426,512.172123670578,0.010007475
