surrgain,entloss,EpThisIter,entropy,EpRewMean,TimeElapsed,TimestepsSoFar,optimgain,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpisodesSoFar
0.5186298,0.0,10,23.405695,405.04654763298356,562.0447947978973,306633,0.5186298,83.05,405.04654763298356,0.8893265724182129,0.014920656,1641
0.21254794,0.0,13,23.423649,405.5731368248359,567.9218244552612,309843,0.21254794,83.825,405.5731368248359,0.9056052193045616,0.011732651,1654
0.2904395,0.0,11,23.431818,409.33700971836805,573.625232219696,312666,0.2904395,84.825,409.33700971836805,0.8796589896082878,0.014901975,1665
0.24141863,0.0,12,23.44263,426.1167820725433,579.4548876285553,315993,0.24141863,87.125,426.1167820725433,0.9240240529179573,0.011255486,1677
0.2910672,0.0,11,23.43701,431.9735961880089,585.2269794940948,319119,0.2910672,88.7,431.9735961880089,0.8552325367927551,0.012608947,1688
0.24463,0.0,13,23.440496,430.46189808514174,590.979763507843,322182,0.24463,88.025,430.46189808514174,0.9147395640611649,0.012511398,1701
0.28758988,0.0,13,23.451237,398.35237039295316,596.7361583709717,325050,0.28758988,81.275,398.35237039295316,0.8906218186020851,0.0115077915,1714
0.22093496,0.0,11,23.452215,395.34547876204,602.5477576255798,327846,0.22093496,80.075,395.34547876204,0.9116206541657448,0.012080476,1725
0.250827,0.0,13,23.459208,380.86758030839627,608.2203054428101,330825,0.250827,77.675,380.86758030839627,0.8473005443811417,0.012477857,1738
0.25519377,0.0,12,23.461931,397.2409730779235,613.9817759990692,334023,0.25519377,81.825,397.2409730779235,0.9332235530018806,0.011353911,1750
0.23585863,0.0,10,23.454279,425.39406115418114,619.7141439914703,336990,0.23585863,87.65,425.39406115418114,0.8944127559661865,0.011028476,1760
0.25962585,0.0,14,23.43841,405.4701688017684,625.4877152442932,340125,0.25962585,83.775,405.4701688017684,0.9213899597525597,0.013442028,1774
0.2740302,0.0,11,23.437075,414.1032297312884,631.2079854011536,343095,0.2740302,84.875,414.1032297312884,0.8570878058671951,0.011768461,1785
0.2833236,0.0,10,23.441488,430.8803935089462,637.0522961616516,346113,0.2833236,88.275,430.8803935089462,0.8973516151309013,0.012741655,1795
0.24507576,0.0,13,23.4423,444.2903923650605,642.7649993896484,349404,0.24507576,89.475,444.2903923650605,0.9312029704451561,0.0122088995,1808
0.25119936,0.0,10,23.447245,465.16888475603184,648.5195348262787,352296,0.25119936,94.95,465.16888475603184,0.8852876648306847,0.012507087,1818
0.2407969,0.0,12,23.45296,437.73693249222543,654.3418650627136,355263,0.2407969,89.225,437.73693249222543,0.9433956891298294,0.012172554,1830
0.30711344,0.0,12,23.453592,424.374471110974,660.0588402748108,358308,0.30711344,86.225,424.374471110974,0.9237479865550995,0.014274391,1842
0.29203308,0.0,10,23.456049,428.5945975025089,665.9490041732788,361209,0.29203308,87.475,428.5945975025089,0.924814261496067,0.01294232,1852
0.2560603,0.0,12,23.455095,439.4589998152668,671.7845923900604,364443,0.2560603,88.7,439.4589998152668,0.9342022389173508,0.012232434,1864
0.27419356,0.0,11,23.460371,446.27930990608945,677.5441749095917,367431,0.27419356,90.625,446.27930990608945,0.9289203509688377,0.012423595,1875
0.26813376,0.0,12,23.45954,451.2596459646491,683.1950597763062,370536,0.26813376,90.975,451.2596459646491,0.9092881754040718,0.013322252,1887
0.24863021,0.0,12,23.457682,423.7282770702319,689.1184029579163,373602,0.24863021,86.025,423.7282770702319,0.9125721976161003,0.011934433,1899
0.25564733,0.0,12,23.453451,436.5807816956279,694.9551601409912,376866,0.25564733,88.45,436.5807816956279,0.9143389612436295,0.0120588625,1911
0.27602106,0.0,12,23.448969,444.0917437336373,700.7284359931946,379992,0.27602106,89.05,444.0917437336373,0.9354378432035446,0.013224224,1923
0.3374924,0.0,11,23.444332,439.32588581767794,706.4473598003387,383097,0.3374924,88.975,439.32588581767794,0.8849634528160095,0.011856578,1934
0.23978165,0.0,12,23.440653,439.95443631013075,712.2234101295471,386112,0.23978165,88.05,439.95443631013075,0.9276552572846413,0.012593736,1946
0.29498106,0.0,9,23.441912,468.942576859148,717.9748537540436,389118,0.29498106,94.1,468.942576859148,0.8804632276296616,0.013743615,1955
0.24555051,0.0,12,23.436346,452.52902584519904,723.6683442592621,392037,0.24555051,90.9,452.52902584519904,0.9245152547955513,0.012474592,1967
0.2877041,0.0,11,23.449713,447.11938178768776,729.3649945259094,395007,0.2877041,90.6,447.11938178768776,0.8749637603759766,0.01300835,1978
0.41864344,0.0,11,23.452168,441.57753771429987,735.1800661087036,397914,0.41864344,89.95,441.57753771429987,0.9373205527663231,0.013869732,1989
0.2399996,0.0,11,23.453533,425.953415987884,740.9778249263763,401088,0.2399996,87.875,425.953415987884,0.9349478259682655,0.011922925,2000
0.263301,0.0,12,23.449217,447.3750289082774,746.7225799560547,404235,0.263301,91.725,447.3750289082774,0.9292643144726753,0.011973737,2012
0.2442459,0.0,11,23.442137,450.6864570922168,752.5184526443481,407349,0.2442459,91.5,450.6864570922168,0.9333850368857384,0.012105381,2023
0.24320763,0.0,11,23.434332,440.5841855076231,758.2765772342682,410451,0.24320763,90.375,440.5841855076231,0.9459888003766537,0.011799951,2034
0.24876682,0.0,13,23.426352,441.22847167916825,763.9939105510712,413730,0.24876682,90.825,441.22847167916825,0.9210327193140984,0.013072748,2047
0.27213812,0.0,10,23.425531,441.28224408156655,769.6650016307831,416427,0.27213812,90.425,441.28224408156655,0.8751225769519806,0.013115328,2057
0.26625887,0.0,11,23.421564,429.2579875698931,775.4504945278168,419283,0.26625887,88.075,429.2579875698931,0.9082066714763641,0.013100324,2068
0.28689343,0.0,11,23.424053,436.8252646710942,781.2275192737579,422346,0.28689343,88.925,436.8252646710942,0.851134404540062,0.013611947,2079
0.2921192,0.0,12,23.42578,439.064251193175,787.0634319782257,425481,0.2921192,89.275,439.064251193175,0.9051317647099495,0.01207197,2091
0.3147499,0.0,12,23.429365,436.6489949393305,792.8190336227417,428616,0.3147499,88.7,436.6489949393305,0.8677881956100464,0.013820522,2103
0.3130731,0.0,12,23.419844,426.93368622723864,798.6288723945618,431733,0.3130731,86.425,426.93368622723864,0.8993077799677849,0.013125371,2115
0.29546565,0.0,10,23.419416,451.40967813118425,804.3247926235199,434868,0.29546565,91.25,451.40967813118425,0.9262288734316826,0.013039078,2125
0.27438354,0.0,9,23.408955,455.2740071705504,810.2912352085114,437571,0.27438354,92.05,455.2740071705504,0.8771852180361748,0.012874208,2134
0.26378846,0.0,10,23.40721,462.77328260963975,816.0691063404083,440325,0.26378846,94.35,462.77328260963975,0.8525464832782745,0.012634892,2144
0.27366406,0.0,11,23.403154,468.9470904990816,821.8193514347076,443274,0.27366406,96.175,468.9470904990816,0.9195710346102715,0.013478094,2155
0.23979871,0.0,12,23.407957,450.07496394246357,827.6907172203064,446322,0.23979871,91.15,450.07496394246357,0.9360703080892563,0.012723624,2167
0.2761586,0.0,12,23.411943,427.5330896074585,833.5690560340881,449382,0.2761586,85.7,427.5330896074585,0.9185524731874466,0.013863686,2179
0.25119293,0.0,13,23.412594,413.3743543803292,839.3052513599396,452532,0.25119293,83.85,413.3743543803292,0.9199511781334877,0.014113428,2192
0.265288,0.0,12,23.411215,411.744453369392,845.0268898010254,455718,0.265288,84.475,411.744453369392,0.9434621222317219,0.012471037,2204
0.27526206,0.0,11,23.408941,427.27592184615924,850.9149391651154,458793,0.27526206,87.5,427.27592184615924,0.9076860696077347,0.012167639,2215
0.2632712,0.0,12,23.413641,433.84124895169936,856.7945244312286,461979,0.2632712,88.325,433.84124895169936,0.9299172535538673,0.013383426,2227
0.27772343,0.0,12,23.413652,440.71685692731745,862.6024601459503,465273,0.27772343,89.775,440.71685692731745,0.9361105188727379,0.013222841,2239
0.3005759,0.0,11,23.416033,451.28514480147425,868.472030878067,468423,0.3005759,92.2,451.28514480147425,0.9350983574986458,0.014122808,2250
0.27933526,0.0,11,23.415058,455.612617462654,874.2206075191498,471501,0.27933526,92.15,455.612617462654,0.9278228059411049,0.014010403,2261
0.3212274,0.0,12,23.408209,462.5175880745195,880.0235664844513,474681,0.3212274,92.85,462.5175880745195,0.8979726135730743,0.0131046865,2273
0.29719442,0.0,11,23.407148,462.79217659576426,885.8215928077698,477774,0.29719442,93.375,462.79217659576426,0.9046251475811005,0.013737392,2284
0.24743056,0.0,11,23.399496,450.0508121578091,891.6056787967682,480846,0.24743056,91.5,450.0508121578091,0.8999378383159637,0.01393182,2295
0.2844209,0.0,12,23.40241,445.9243446222652,897.4395067691803,484101,0.2844209,90.175,445.9243446222652,0.9194387421011925,0.013425242,2307
0.33639178,0.0,12,23.395443,441.89965963760034,903.2239408493042,487104,0.33639178,90.275,441.89965963760034,0.9210393354296684,0.013594564,2319
0.2980975,0.0,11,23.393389,435.03709401266025,908.918393611908,490104,0.2980975,88.325,435.03709401266025,0.9213906154036522,0.013658063,2330
0.27879268,0.0,12,23.393063,427.2274747470823,914.6566963195801,493203,0.27879268,86.25,427.2274747470823,0.9397290013730526,0.014228079,2342
0.2913734,0.0,11,23.394354,447.2247484714334,920.5015666484833,496362,0.2913734,89.7,447.2247484714334,0.8970269113779068,0.014138511,2353
0.2914927,0.0,11,23.399149,448.10873594416233,926.2607786655426,499482,0.2914927,90.875,448.10873594416233,0.8755203634500504,0.013568979,2364
0.26531306,0.0,13,23.403502,445.01482275373803,932.0684969425201,502668,0.26531306,89.925,445.01482275373803,0.9464145861566067,0.013647893,2377
0.3001989,0.0,10,23.406313,445.1187733030921,937.8832635879517,505524,0.3001989,90.175,445.1187733030921,0.9438650049269199,0.013610674,2387
0.3764176,0.0,10,23.408186,462.15807252955193,943.694887638092,508620,0.3764176,93.5,462.15807252955193,0.9354262575507164,0.013998881,2397
0.28463495,0.0,11,23.408041,461.1815049350292,949.4382445812225,511659,0.28463495,92.5,461.1815049350292,0.9128465503454208,0.014000533,2408
0.27769393,0.0,12,23.40594,471.9825835310852,955.1716191768646,514944,0.27769393,94.925,471.9825835310852,0.8891909122467041,0.014053363,2420
0.314132,0.0,9,23.403814,492.95105264893107,961.0195310115814,518019,0.314132,99.05,492.95105264893107,0.9238182753324509,0.014189425,2429
0.23630843,0.0,11,23.402098,469.9655301376113,966.8892178535461,520947,0.23630843,95.3,469.9655301376113,0.9071381837129593,0.013903469,2440
0.27843964,0.0,12,23.398676,459.86308787463656,972.6021206378937,523977,0.27843964,94.125,459.86308787463656,0.9335321485996246,0.013920333,2452
0.3780759,0.0,10,23.40159,462.3171664957228,978.2906806468964,526938,0.3780759,94.2,462.3171664957228,0.9124274104833603,0.014969883,2462
0.24654947,0.0,11,23.404116,448.8035855711837,984.0050790309906,530151,0.24654947,92.275,448.8035855711837,0.8925335630774498,0.013085807,2473
0.13199437,0.0,12,23.404032,443.49774615542435,989.855996131897,533106,0.13199437,90.4,443.49774615542435,0.918447457253933,0.0040277587,2485
0.5463242,0.0,11,23.400213,441.9438236177277,995.5853488445282,536010,0.5463242,90.15,441.9438236177277,0.944544855505228,0.0040515,2496
