EpisodesSoFar,optimgain,EpThisIter,TimestepsSoFar,EpRewMean,entropy,ev_tdlam_before,EpLenMean,surrgain,TimeElapsed,meankl,EpTrueRewMean,entloss
44,0.06349991,44,1018,21.307545,8.505059,0.4388750195503235,23.2,0.06349991,6.159482479095459,0.007945501,-0.4577504260270744,0.0
74,0.065460764,30,2047,27.705883,8.491942,0.5225769281387329,32.4,0.065460764,10.69298768043518,0.007193003,2.573952927027956,0.0
97,0.056657188,23,3091,34.83196,8.435503,0.5572890043258667,40.2,0.056657188,15.004558324813843,0.006846969,2.952501682761252,0.0
113,0.061774928,16,4113,45.65253,8.358951,0.6645371615886688,52.025,0.061774928,19.275616884231567,0.0065735737,4.600569174425206,0.0
124,0.06014628,11,5138,54.51432,8.328315,0.818682074546814,63.8,0.06014628,23.575254917144775,0.0063082553,6.936295402355495,0.0
132,0.064404905,8,6181,69.746376,8.303287,0.7795466333627701,82.65,0.064404905,27.81941509246826,0.005801116,9.001389805100242,0.0
140,0.07186043,8,7223,83.16697,8.2922325,0.8477644622325897,99.95,0.07186043,32.163779973983765,0.0065302965,12.215408641932779,0.0
146,0.06079441,6,8319,97.5032,8.277896,0.8700063228607178,118.525,0.06079441,36.90085482597351,0.0059711654,17.34617021949761,0.0
153,0.059547406,7,9304,106.01241,8.297611,0.9180981516838074,129.775,0.059547406,41.11099982261658,0.006031746,20.07513575373718,0.0
160,0.07306929,7,10543,117.86359,8.31807,0.8670148402452469,143.15,0.07306929,45.359832763671875,0.0059480965,35.92934231866242,0.0
165,0.075383306,5,11596,130.87749,8.306949,0.8233997225761414,158.425,0.075383306,49.62089467048645,0.0062594805,51.052591526210705,0.0
169,0.060290642,4,12505,140.63852,8.312547,0.8884822875261307,169.95,0.060290642,53.897539138793945,0.0060408455,78.4247034479408,0.0
174,0.062854744,5,13506,147.38249,8.284179,0.9267061874270439,177.2,0.062854744,58.19839882850647,0.0060362853,90.81456164333366,0.0
178,0.0672998,4,14474,157.50179,8.320615,0.8346061557531357,189.45,0.0672998,62.48713517189026,0.0060584825,110.51228641222349,0.0
183,0.059933253,5,15542,162.74702,8.251705,0.8513980060815811,196.1,0.059933253,66.79091906547546,0.0053865705,130.03530432824488,0.0
188,0.06672609,5,16477,163.2001,8.259702,0.9104349911212921,196.65,0.06672609,71.10436606407166,0.0064702393,137.60472369095797,0.0
190,0.062285498,2,17468,177.56046,8.265491,0.8649444580078125,215.9,0.062285498,75.40533399581909,0.0069480906,151.3633478866383,0.0
194,0.063770615,4,18490,181.64743,8.208551,0.905383974313736,221.275,0.063770615,79.7463231086731,0.0060177357,169.61519753060657,0.0
197,0.06578843,3,19026,184.51031,8.185287,0.9117217510938644,226.05,0.06578843,84.05468726158142,0.006420538,172.52972157629242,0.0
200,0.062706456,3,20572,201.9343,8.149063,0.9343529790639877,250.725,0.062706456,88.3365957736969,0.0068879733,189.12729921712253,0.0
