EpRewMean,EpisodesSoFar,entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,optimgain,meankl
153.34978,701,0.0,6.823605,1501.9311951278094,0.1168945,560907,493.675,0.8976543918251991,3,4542.895844697952,0.1168945,0.009688721
155.14462,702,0.0,6.806106,1521.6547674798173,0.10893729,563031,501.225,0.8182801306247711,1,4568.128211736679,0.10893729,0.0096952515
158.12448,703,0.0,6.7759695,1553.907983967731,0.09980446,566031,511.375,0.5603037774562836,1,4593.70051407814,0.09980446,0.010726627
163.17117,704,0.0,6.7884636,1611.7718340467475,0.101493604,569031,528.025,-0.26341140270233154,1,4618.303476333618,0.101493604,0.009860646
163.56071,707,0.0,6.754413,1601.0673254490089,0.10465633,573249,528.65,0.9728838354349136,3,4644.256095409393,0.10465633,0.009443218
166.1658,708,0.0,6.77708,1630.0533147473707,0.15414451,575289,537.85,0.9433396346867085,1,4669.119143486023,0.15414451,0.010374868
165.71875,710,0.0,6.7561717,1630.0397234617437,0.123370565,578814,534.7,0.9310489520430565,2,4694.96147608757,0.123370565,0.011170715
171.33339,712,0.0,6.7730412,1666.924331608143,0.12318249,584172,551.875,0.5460420846939087,2,4719.955372571945,0.12318249,0.009232826
170.45651,715,0.0,6.7489386,1665.8677255001962,0.102019355,588834,546.65,0.6660982370376587,3,4745.309126853943,0.102019355,0.010856051
171.6042,716,0.0,6.7824636,1693.3955191877442,0.122586705,591762,546.05,0.8316413164138794,1,4770.8063979148865,0.122586705,0.009950883
168.34724,718,0.0,6.775566,1659.7943626368753,0.12669715,594243,534.475,0.8854624629020691,2,4796.4116151332855,0.12669715,0.009923592
171.78186,720,0.0,6.7430387,1685.1518627597736,0.107081376,598065,547.125,0.9074985906481743,2,4821.181788682938,0.107081376,0.010121775
169.93033,722,0.0,6.726753,1673.0909636262065,0.1015653,601395,544.375,0.8015296012163162,2,4846.526721715927,0.1015653,0.009253017
174.09338,723,0.0,6.719711,1715.0906862980733,0.08508374,604395,563.05,0.4390433430671692,1,4871.730758905411,0.08508374,0.008710603
177.78766,724,0.0,6.715755,1754.4565619849734,0.096854806,607395,571.1,0.19745713472366333,1,4897.319855928421,0.096854806,0.009918076
177.44624,725,0.0,6.7061467,1754.458192782832,0.09568516,608238,571.55,0.9212413057684898,1,4922.306119918823,0.09568516,0.009316601
178.51323,727,0.0,6.6617618,1754.210270191537,0.12716806,611130,572.025,0.6874429881572723,2,4947.773269414902,0.12716806,0.010269856
176.2804,728,0.0,6.6516104,1732.2620426950161,0.11894062,611472,565.575,0.7642485350370407,1,4972.997094631195,0.11894062,0.010461011
175.70882,730,0.0,6.614987,1727.5300085068025,0.12306729,613260,565.525,0.6449959874153137,2,4999.267733812332,0.12306729,0.010583812
180.4611,731,0.0,6.616813,1781.5955913178282,0.090632126,616260,581.05,0.06748414039611816,1,5023.730452775955,0.090632126,0.011676257
184.3282,732,0.0,6.645833,1823.7377339484278,0.08361168,619260,595.9,-0.17388916015625,1,5049.062886953354,0.08361168,0.009509018
177.27238,736,0.0,6.635696,1748.92824390972,0.12838113,623208,573.45,0.8585110008716583,4,5074.363273382187,0.12838113,0.011018245
174.92876,738,0.0,6.6066465,1719.6337120114877,0.11272521,625143,567.925,0.7166129052639008,2,5101.059787988663,0.11272521,0.010335679
173.56284,739,0.0,6.5826025,1694.520944576845,0.14238277,627267,566.475,0.7034452259540558,1,5125.507334470749,0.14238277,0.009981197
182.18172,741,0.0,6.5939174,1788.153849566534,0.082295865,632211,594.2,0.6531012952327728,2,5151.404163599014,0.082295865,0.010669281
176.16953,743,0.0,6.608247,1722.4406130429234,0.11294715,635175,576.2,0.8790683746337891,2,5176.581116437912,0.11294715,0.010274725
169.38701,744,0.0,6.624969,1647.2084921142553,0.12180252,635511,554.0,0.8507772386074066,1,5202.399183273315,0.12180252,0.010689982
167.74165,746,0.0,6.592757,1639.663345787142,0.12601784,638094,547.7,0.7709417790174484,2,5227.065471172333,0.12601784,0.009523652
163.86102,749,0.0,6.574856,1594.892337532739,0.10214107,640935,539.5,0.880726657807827,3,5253.263206958771,0.10214107,0.010440463
162.5695,751,0.0,6.559253,1591.0414939595507,0.10512129,645927,534.275,0.7392271459102631,2,5277.797438383102,0.10512129,0.010750576
162.93184,752,0.0,6.541836,1602.6572840811182,0.10640853,648273,534.175,0.8954436257481575,1,5304.050048828125,0.10640853,0.009673104
162.94656,753,0.0,6.54152,1594.9891153239587,0.08598468,651273,534.175,0.2716020345687866,1,5329.040044784546,0.08598468,0.009578141
158.86137,756,0.0,6.5075116,1545.7847622180568,0.115109585,654162,520.0,0.930652916431427,3,5354.080663442612,0.115109585,0.0098788235
161.9515,757,0.0,6.444421,1585.2816146835132,0.08366409,657162,531.325,-0.12473094463348389,1,5379.628548383713,0.08366409,0.01015553
161.49149,758,0.0,6.4704447,1584.1686017458287,0.12358524,658191,532.9,0.7830369472503662,1,5405.335530042648,0.12358524,0.010252439
163.50705,759,0.0,6.4387655,1619.8359230938963,0.075285584,661191,539.675,0.03971385955810547,1,5430.919414520264,0.075285584,0.010904342
167.86917,760,0.0,6.4828496,1671.3563899601345,0.11563656,664191,551.05,0.19322794675827026,1,5455.354912281036,0.11563656,0.010894576
167.18483,761,0.0,6.536233,1663.152502740281,0.12799722,666408,550.8,0.8559541404247284,1,5481.506258487701,0.12799722,0.010828588
161.82596,763,0.0,6.571186,1598.474823212205,0.13765176,668352,532.975,0.8614144027233124,2,5506.595751285553,0.13765176,0.010314569
160.84006,764,0.0,6.5821347,1587.5922213635263,0.11848317,671295,532.5,0.6937334835529327,1,5532.550485372543,0.11848317,0.00983222
166.50883,765,0.0,6.6338987,1649.0648756801147,0.08870392,674295,550.475,-0.11360299587249756,1,5557.148938894272,0.08870392,0.009482135
171.56514,766,0.0,6.6491666,1703.8955984956403,0.096748374,676842,564.275,0.9062489420175552,1,5582.69942855835,0.096748374,0.009079685
170.93886,768,0.0,6.6537747,1708.784588469393,0.10423342,679338,565.55,0.8635294288396835,2,5607.945647239685,0.10423342,0.009288976
170.51611,770,0.0,6.6067543,1696.5817484513504,0.11218921,681138,565.65,0.8160269409418106,2,5634.129573345184,0.11218921,0.010555778
169.28548,771,0.0,6.609864,1686.6881878624313,0.0748266,684138,565.65,-0.03647768497467041,1,5658.324563503265,0.0748266,0.009676247
169.40742,772,0.0,6.6246986,1699.4287654256914,0.089660965,687138,565.65,-0.01621067523956299,1,5684.469017744064,0.089660965,0.009751379
166.94258,774,0.0,6.590401,1674.869853725179,0.11250182,689112,559.8,0.7991405725479126,2,5709.455314159393,0.11250182,0.01046378
171.90799,775,0.0,6.5570145,1734.9343223039018,0.09306908,692112,577.5,0.06649529933929443,1,5735.412859678268,0.09306908,0.009814696
176.82263,777,0.0,6.5883703,1780.695581473002,0.13430436,695160,595.425,0.9024128839373589,2,5759.7872796058655,0.13430436,0.010435927
178.59195,779,0.0,6.57508,1816.5610364925083,0.14160618,699015,597.9,0.8840759918093681,2,5785.936064958572,0.14160618,0.012074457
174.29465,780,0.0,6.610229,1769.990001005894,0.16152649,700425,584.65,0.740896075963974,1,5811.545623064041,0.16152649,0.009348026
169.68492,782,0.0,6.6316066,1723.63477623769,0.10671803,702402,570.675,0.8816670849919319,2,5837.23539853096,0.10671803,0.009162597
173.98642,783,0.0,6.622334,1780.7891533099482,0.07661156,705402,585.225,-0.11963498592376709,1,5862.057100772858,0.07661156,0.009961099
180.35251,784,0.0,6.612145,1855.2216525965068,0.08959748,708402,607.425,0.6578113734722137,1,5887.495923757553,0.08959748,0.009379344
182.37263,786,0.0,6.5930285,1885.6566053836382,0.10315368,712044,616.25,0.6826940178871155,2,5913.032809972763,0.10315368,0.0108177345
186.99873,788,0.0,6.634414,1943.308455405048,0.11139661,715509,631.7,0.6241500079631805,2,5938.404935359955,0.11139661,0.011411505
185.00684,790,0.0,6.6083455,1924.478930099359,0.13479498,719250,627.625,0.731746256351471,2,5962.819363832474,0.13479498,0.010086605
184.36797,791,0.0,6.618287,1924.6177579627736,0.10756618,721017,625.75,0.8260688930749893,1,5988.559644460678,0.10756618,0.010592724
184.5184,792,0.0,6.652432,1930.8516269462045,0.10509126,723705,628.6,0.894581027328968,1,6014.534845113754,0.10509126,0.010048207
183.68307,793,0.0,6.6765833,1934.9051981257314,0.08850203,726705,628.6,0.09639102220535278,1,6039.562608718872,0.08850203,0.011166591
