TimestepsSoFar,entloss,meankl,EpRewMean,EpisodesSoFar,ev_tdlam_before,optimgain,TimeElapsed,entropy,surrgain,EpTrueRewMean,EpThisIter,EpLenMean
838041,0.0,0.01436758,111.92251,3336,0.8801438882946968,0.28567103,1556.6531898975372,23.276922,0.28567103,580.8993849928718,9,115.475
841131,0.0,0.004033436,108.64923,3346,0.9015563428401947,0.15635382,1562.273883342743,23.27614,0.15635382,573.2701451282784,10,114.6
844071,0.0,0.01471298,105.301834,3355,0.9063916057348251,0.3015817,1567.801307439804,23.28029,0.3015817,557.284705956505,9,111.275
847251,0.0,0.0042436738,108.3988,3364,0.9030779227614403,0.16106823,1573.388670682907,23.279299,0.16106823,563.4448555056846,9,112.575
850476,0.0,0.004065008,103.49496,3375,0.9249488487839699,0.2017475,1578.9531738758087,23.278566,0.2017475,532.5983419230987,11,106.6
853047,0.0,0.0040947804,108.03795,3382,0.8830587193369865,0.16141868,1584.4882941246033,23.275126,0.16141868,556.5123388927077,7,110.95
856152,0.0,0.004277733,113.67466,3390,0.9079953208565712,0.15409106,1590.0738019943237,23.276857,0.15409106,589.5721122747354,8,116.725
859572,0.0,0.0040121563,110.630875,3400,0.9007455483078957,0.1539084,1595.5758333206177,23.276628,0.1539084,574.5799012949067,10,113.225
862683,0.0,0.0049034385,116.12921,3408,0.8599021434783936,0.17532302,1601.1593914031982,23.277098,0.17532302,605.6006270671335,8,118.175
865518,0.0,0.004346821,119.74663,3416,0.8678443878889084,0.14851193,1606.7592928409576,23.275656,0.14851193,625.4327358138082,8,122.25
868614,0.0,0.004257123,123.87527,3424,0.8784382492303848,0.17121732,1612.400464773178,23.277834,0.17121732,633.7790016523379,8,124.15
871827,0.0,0.004309761,117.451645,3434,0.849809855222702,0.15941548,1617.9132862091064,23.277826,0.15941548,600.741580733363,10,117.775
875070,0.0,0.0042901733,114.959435,3444,0.9097433090209961,0.15766934,1623.5805735588074,23.27564,0.15766934,592.3762834260568,10,115.9
877830,0.0,0.004524315,110.29012,3452,0.9071788266301155,0.15286869,1629.273285150528,23.27492,0.15286869,576.5971568673164,8,112.6
880980,0.0,0.0042916103,116.6813,3459,0.8975903391838074,0.15012252,1634.7776353359222,23.273943,0.15012252,617.3990687352505,7,119.825
884196,0.0,0.004810935,111.962425,3468,0.9232699573040009,0.15410052,1640.3318102359772,23.27619,0.15410052,598.7966149190534,9,116.875
887283,0.0,0.0042242287,117.09355,3477,0.932475134730339,0.15521209,1645.9311881065369,23.274836,0.15521209,619.8443872929926,9,120.8
890343,0.0,0.004390038,117.38137,3486,0.9148074612021446,0.16714719,1651.4562149047852,23.273905,0.16714719,622.2113328965418,9,121.4
893370,0.0,0.0041989377,112.84819,3496,0.8966218456625938,0.14418125,1656.954534292221,23.274334,0.14418125,580.0547442784626,10,114.125
896154,0.0,0.0040308246,111.20791,3504,0.8903326019644737,0.15825665,1662.441593170166,23.274149,0.15825665,571.4108526349655,8,111.55
899265,0.0,0.004064579,111.0742,3512,0.8934098333120346,0.14885786,1667.9870154857635,23.271223,0.14885786,573.2787704462565,8,112.625
902130,0.0,0.0041669505,111.77462,3521,0.9082282334566116,0.15269576,1673.62300157547,23.272638,0.15269576,569.8444030947617,9,112.275
905526,0.0,0.004141318,114.83791,3530,0.9110361337661743,0.15430796,1679.3321611881256,23.27425,0.15430796,590.2806058424479,9,116.9
908382,0.0,0.0048436546,114.19651,3539,0.8801687806844711,0.18061732,1684.91912317276,23.274004,0.18061732,586.7141629703218,9,116.35
911529,0.0,0.0043340507,113.496704,3547,0.8806697204709053,0.15734053,1690.5421652793884,23.274105,0.15734053,587.9711844825208,8,117.775
914898,0.0,0.004442515,114.52612,3557,0.8721193671226501,0.15754427,1696.0260968208313,23.271889,0.15754427,594.2574960544028,10,118.075
918060,0.0,0.004026713,115.5875,3565,0.901283748447895,0.16720608,1701.5240228176117,23.272459,0.16720608,608.2294184372497,8,121.325
921084,0.0,0.004735697,116.15816,3572,0.887870118021965,0.1810349,1707.0095989704132,23.273443,0.1810349,620.8698633155141,7,123.675
924432,0.0,0.0041721063,117.13094,3581,0.9182950630784035,0.14380667,1712.84748005867,23.278301,0.14380667,624.8187882154914,9,124.1
927135,0.0,0.004346432,119.47087,3588,0.8621209859848022,0.14808074,1718.453426361084,23.277346,0.14808074,635.7479079182934,7,126.425
929961,0.0,0.004814338,120.715355,3597,0.907644510269165,0.17111823,1724.0875914096832,23.279135,0.17111823,632.1027012158173,9,125.525
933021,0.0,0.0044852886,115.47206,3606,0.8951795473694801,0.1707458,1729.7735879421234,23.280844,0.1707458,608.6818065537362,9,118.725
936306,0.0,0.0042103203,112.37517,3616,0.8909078165888786,0.15913057,1735.4619352817535,23.282537,0.15913057,586.2804891350568,10,114.0
939366,0.0,0.004076461,113.60411,3624,0.8904190510511398,0.15386125,1741.0275521278381,23.28351,0.15386125,602.9773182626559,8,116.225
942576,0.0,0.0040774336,109.13202,3634,0.8868528828024864,0.14648172,1746.4833133220673,23.284918,0.14648172,593.853134953978,10,113.325
945915,0.0,0.004239343,115.04478,3642,0.8815554827451706,0.17671993,1751.9808588027954,23.283024,0.17671993,625.4118113550651,8,119.925
948888,0.0,0.0052208398,112.381424,3650,0.8834850862622261,0.17033766,1757.3941986560822,23.282473,0.17033766,623.4482499586051,8,119.1
952017,0.0,0.004483928,111.84375,3659,0.8678887784481049,0.1583879,1763.006268978119,23.281672,0.1583879,626.4689173441222,9,119.475
954990,0.0,0.0044739707,112.19214,3667,0.897182047367096,0.1758542,1768.4192295074463,23.280191,0.1758542,625.7992828306699,8,119.725
957783,0.0,0.003940275,116.331055,3675,0.9067671522498131,0.15296686,1773.910574913025,23.279234,0.15296686,639.66934210717,8,123.15
960885,0.0,0.0043289308,113.70957,3683,0.8477353602647781,0.1575284,1779.3569309711456,23.285643,0.1575284,636.9866548376607,8,121.7
963771,0.0,0.004456765,116.64131,3690,0.8617694675922394,0.1664087,1784.8173668384552,23.286871,0.1664087,644.632258764712,7,124.025
967164,0.0,0.004403875,120.54543,3699,0.848043218255043,0.15113501,1790.4204967021942,23.284662,0.15113501,659.2727190486446,9,126.225
970356,0.0,0.0039133383,118.594986,3709,0.8920730277895927,0.13687688,1795.9582118988037,23.282713,0.13687688,640.3710569805922,10,123.875
973623,0.0,0.0042177797,114.35303,3718,0.8879950270056725,0.15866485,1801.4370079040527,23.281412,0.15866485,605.6924628138768,9,117.7
976674,0.0,0.0043067858,121.19039,3725,0.8902710825204849,0.15130544,1806.9770257472992,23.282248,0.15130544,632.0823789843746,7,124.35
979764,0.0,0.003962327,112.0895,3734,0.9061915874481201,0.15579665,1812.5243833065033,23.282473,0.15579665,589.1774694666319,9,116.525
983073,0.0,0.004382729,117.52721,3742,0.8859246224164963,0.15733457,1818.157875776291,23.280767,0.15733457,625.1695802623399,8,123.25
986130,0.0,0.0039950926,120.34834,3751,0.8299862891435623,0.15928723,1823.7761375904083,23.279314,0.15928723,630.7951251658571,9,123.6
988695,0.0,0.004431272,122.83286,3757,0.8410160392522812,0.15904519,1829.4136757850647,23.27928,0.15904519,653.9949283761358,6,128.225
991857,0.0,0.003946459,121.482376,3765,0.8952378779649734,0.13992935,1835.2482678890228,23.278303,0.13992935,647.7873635603103,8,126.525
995091,0.0,0.0039996975,125.11401,3773,0.8646916896104813,0.14201206,1841.1618468761444,23.276617,0.14201206,670.859172827498,8,131.075
998175,0.0,0.003897236,120.01034,3782,0.910865068435669,0.15176591,1848.3079540729523,23.274172,0.15176591,635.668925104668,9,125.85
1001232,0.0,0.004307474,117.37466,3791,0.8697876781225204,0.14636552,1854.6375424861908,23.273275,0.14636552,638.285667736036,9,125.85
