surrgain,entropy,EpThisIter,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,TimestepsSoFar,TimeElapsed,entloss,optimgain,meankl,EpRewMean
0.052037347,1.24467,1,554,2018.808789035723,0.9501993544399738,570.925,880194,1208.0496232509613,0.0,0.052037347,0.010184152,483.86386
0.033466987,1.2504777,1,555,2076.5742351708004,-0.047692179679870605,586.875,883194,1212.3116748332977,0.0,0.033466987,0.010868874,495.63593
0.047275484,1.2397369,1,556,2093.870240695988,0.9754375647753477,591.825,884991,1216.5431289672852,0.0,0.047275484,0.010577582,499.03595
0.057799496,1.2151796,1,557,2114.5623927025895,0.9876193879172206,598.125,887388,1220.7786927223206,0.0,0.057799496,0.011249729,503.4047
0.07372624,1.2107844,1,558,2083.1666135369624,0.9820248205214739,590.025,888621,1225.011946439743,0.0,0.07372624,0.010341681,496.82315
0.03688112,1.2086014,1,559,2084.031133950497,0.00537717342376709,590.025,891621,1229.2632801532745,0.0,0.03688112,0.010569848,496.063
0.056243606,1.1798769,1,560,2085.5934496509426,0.978893306106329,590.025,894621,1233.5315606594086,0.0,0.056243606,0.010387773,496.99738
0.04069017,1.1759801,2,562,2115.7963616570605,0.6714746654033661,594.95,898683,1237.7618885040283,0.0,0.04069017,0.0118213,500.99933
0.0411514,1.1345534,2,564,2162.911121162188,0.7256037294864655,608.75,902586,1242.0054762363434,0.0,0.0411514,0.01000583,510.15997
0.0356054,1.1274805,1,565,2216.3406982266974,0.02981424331665039,623.9,905586,1246.2221398353577,0.0,0.0356054,0.010292654,521.1351
0.038276106,1.1335973,1,566,2214.6965132455225,0.03298228979110718,623.9,908586,1250.3936054706573,0.0,0.038276106,0.010263391,520.4105
0.045151964,1.1677872,2,568,2255.516861927422,0.6556350588798523,635.925,912057,1254.6132981777191,0.0,0.045151964,0.01047783,527.10925
0.04062179,1.1683288,1,569,2271.9180347377014,0.10469293594360352,641.2,915057,1258.830359697342,0.0,0.04062179,0.011261841,530.0001
0.042428624,1.1557221,1,570,2345.0385935204868,-0.000843048095703125,661.05,918057,1263.0836799144745,0.0,0.042428624,0.010748489,544.338
0.05250564,1.1669983,3,573,2253.757035276299,0.9838670771569014,634.075,922947,1267.2993261814117,0.0,0.05250564,0.009664491,529.22906
0.06318855,1.1503605,1,574,2249.7701059292167,0.9527794495224953,632.075,925707,1271.576218366623,0.0,0.06318855,0.010740143,530.4863
0.037337605,1.1321868,1,575,2247.8516370664242,0.01460641622543335,632.075,928707,1275.8558394908905,0.0,0.037337605,0.010189895,529.1323
0.05191265,1.1352485,3,578,2283.3128834090508,0.9837095402181149,640.175,932727,1280.0958471298218,0.0,0.05191265,0.011229044,537.3452
0.061409548,1.1557832,2,580,2331.9864323271713,0.9881480997428298,652.3,936891,1284.6294372081757,0.0,0.061409548,0.011133751,546.4065
0.03818673,1.1050347,1,581,2409.9783669099766,0.03936368227005005,672.625,939891,1288.888785123825,0.0,0.03818673,0.009595513,562.49695
0.055926315,1.1063136,1,582,2418.1137336209495,0.9792560562491417,674.275,942039,1293.1010301113129,0.0,0.055926315,0.010699945,563.7646
0.061391816,1.1350541,1,583,2459.970405330919,0.9871013648808002,684.45,943929,1297.3857340812683,0.0,0.061391816,0.011441652,572.95544
0.050875712,1.0935805,1,584,2531.2402935234195,0.3668099045753479,704.1,946929,1301.6894743442535,0.0,0.050875712,0.011474276,588.2436
0.041711025,1.1000924,2,586,2493.1728714547944,0.895196944475174,694.225,949017,1305.9107794761658,0.0,0.041711025,0.0108272955,579.5939
0.04907731,1.1337432,1,587,2541.686801628259,0.9584741666913033,707.525,951351,1310.1335353851318,0.0,0.04907731,0.010726093,589.5143
0.06322008,1.1400131,2,589,2519.0622536888645,0.9814071822911501,698.775,954402,1314.3814191818237,0.0,0.06322008,0.010843485,584.9168
0.04120676,1.1534783,1,590,2518.5505458915545,0.2452608346939087,698.775,957402,1318.6550846099854,0.0,0.04120676,0.011118535,584.2452
0.07745472,1.162928,1,591,2584.13393982031,0.9459484480321407,715.525,960015,1322.9055008888245,0.0,0.07745472,0.010984767,598.8073
0.035260268,1.1400608,2,593,2633.899282792157,0.7370427548885345,727.575,964503,1327.16690659523,0.0,0.035260268,0.01041073,609.7948
0.03306312,1.1758331,1,594,2634.3646824702964,0.04869323968887329,727.575,967503,1331.4460363388062,0.0,0.03306312,0.009782689,608.9344
