entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,498.07382,395,0.072861925,3.193087,2068.712555185261,611.375,0.9644399210810661,0.009610398,497640,2,0.072861925,676.2938618659973
0.0,503.81836,398,0.049165986,3.2111487,2073.9685474372104,613.625,0.803767666220665,0.009268537,501960,3,0.049165986,680.5399250984192
0.0,495.80005,401,0.06330216,3.2053814,2033.338432481311,601.025,0.9483993723988533,0.009308353,505536,3,0.06330216,684.783949136734
0.0,486.14227,403,0.062126555,3.1947231,1990.514215201349,589.025,0.6988507807254791,0.009981651,508956,2,0.062126555,688.9986078739166
0.0,486.91376,404,0.05602081,3.1942136,1991.4595464236813,588.075,0.9576075151562691,0.009954531,509871,1,0.05602081,693.253844499588
0.0,484.0595,406,0.07445252,3.1988142,1973.2121886327745,582.1,0.9813993163406849,0.009708729,512709,2,0.07445252,697.5152771472931
0.0,474.74738,407,0.073870964,3.1659617,1930.2416681440845,568.45,0.9830977879464626,0.010078827,514071,1,0.073870964,701.8038058280945
0.0,482.33194,409,0.06499984,3.1825962,1969.1964937414646,579.875,0.9817758742719889,0.010078356,518217,2,0.06499984,706.0348184108734
0.0,492.10382,410,0.042260587,3.2222824,2010.2209167578246,592.625,0.008882701396942139,0.009476675,521217,1,0.042260587,710.2932798862457
0.0,494.03998,411,0.03603494,3.2926025,2021.615581711781,597.625,0.03129863739013672,0.0094875395,524217,1,0.03603494,714.5214035511017
0.0,495.279,412,0.048382405,3.3289793,2023.8998698563205,597.625,0.7386929988861084,0.008617902,527217,1,0.048382405,718.7692623138428
0.0,504.2049,414,0.057887714,3.2649229,2061.6887748842078,608.325,0.9849019953981042,0.009505958,530415,2,0.057887714,722.9661045074463
0.0,517.63885,415,0.061697233,3.216362,2122.5019769332403,627.425,-0.12877261638641357,0.012291176,533415,1,0.061697233,727.2427871227264
0.0,516.5875,416,0.053045485,3.2002566,2120.8309404792503,627.425,0.002071559429168701,0.009009628,536415,1,0.053045485,731.4336745738983
0.0,529.9585,417,0.044837672,3.1885705,2178.205753531146,645.45,0.0384291410446167,0.010766095,539415,1,0.044837672,735.7034540176392
0.0,543.85046,418,0.047182687,3.1405566,2239.1118355533536,664.55,-0.013280510902404785,0.008897204,542415,1,0.047182687,739.868659734726
