entropy,entloss,surrgain,optimgain,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,TimeElapsed,EpTrueRewMean,EpLenMean
23.446226,0.0,0.16998327,0.16998327,11,2453,535062,459.9844540673149,0.003877478,0.9261571988463402,1574.6874377727509,459.9844540673149,93.825
23.448061,0.0,0.15093897,0.15093897,11,2464,538239,468.8493657522562,0.0037837354,0.9074373692274094,1582.5722501277924,468.8493657522562,95.4
23.445799,0.0,0.1498189,0.1498189,11,2475,541308,468.3482783513047,0.0038133282,0.9364502504467964,1589.192137479782,468.3482783513047,94.325
23.453348,0.0,0.2708152,0.2708152,12,2487,544413,456.7700012337453,0.014309219,0.9112643897533417,1595.1069810390472,456.7700012337453,92.3
23.452642,0.0,0.26295775,0.26295775,11,2498,547302,445.26981729337876,0.01430015,0.9306647330522537,1600.8290846347809,445.26981729337876,90.725
23.460855,0.0,0.32763442,0.32763442,11,2509,550452,440.06930042358897,0.014241876,0.9070766419172287,1606.3871278762817,440.06930042358897,89.4
23.458967,0.0,0.38658792,0.38658792,10,2519,553287,448.8307616942819,0.014311384,0.9126244261860847,1611.9823515415192,448.8307616942819,91.1
23.456133,0.0,0.28660682,0.28660682,9,2528,556518,488.3207446145815,0.014325742,0.9246750622987747,1617.5432868003845,488.3207446145815,98.6
23.444601,0.0,0.27956045,0.27956045,12,2540,559740,490.52602828785285,0.014416158,0.9192758724093437,1623.1588251590729,490.52602828785285,98.875
23.443846,0.0,0.1726506,0.1726506,10,2550,562785,500.3457018932305,0.0041210465,0.9016987383365631,1628.6823544502258,500.3457018932305,100.875
23.447931,0.0,0.3009284,0.3009284,11,2561,565992,486.2658213520526,0.014418768,0.9109243229031563,1634.3349514007568,486.2658213520526,98.55
23.443684,0.0,0.28290096,0.28290096,12,2573,569121,469.2161449572219,0.014798268,0.9234408959746361,1639.9714341163635,469.2161449572219,94.65
23.446451,0.0,0.34022352,0.34022352,11,2584,572310,480.23143762466117,0.014942352,0.8560219556093216,1645.6248846054077,480.23143762466117,95.875
23.44578,0.0,0.29900813,0.29900813,10,2594,575439,463.18969287521,0.013798636,0.9255702197551727,1651.197440624237,463.18969287521,93.6
23.446798,0.0,0.30529004,0.30529004,10,2604,578550,491.5676281778701,0.013827521,0.8950057849287987,1656.8135364055634,491.5676281778701,99.225
23.441568,0.0,0.3006245,0.3006245,11,2615,581637,498.11722931643874,0.013720327,0.9136519953608513,1662.428819179535,498.11722931643874,100.925
23.44189,0.0,0.32449582,0.32449582,9,2624,584931,512.8446500262128,0.014126191,0.8774843290448189,1667.9669182300568,512.8446500262128,105.175
23.443378,0.0,0.17513686,0.17513686,10,2634,588405,526.5614992192089,0.0038551432,0.9107290282845497,1673.8020493984222,526.5614992192089,108.05
23.4424,0.0,0.33937776,0.33937776,11,2645,591378,509.1658736533083,0.013934376,0.9095866903662682,1679.4472465515137,509.1658736533083,104.225
23.442705,0.0,0.43344903,0.43344903,11,2656,594492,500.87751376930447,0.014793141,0.9200829491019249,1685.1433477401733,500.87751376930447,103.35
23.446539,0.0,0.32810658,0.32810658,11,2667,597774,480.35734167473765,0.014891369,0.8950437530875206,1690.8089089393616,480.35734167473765,98.175
23.444887,0.0,0.13531436,0.13531436,12,2679,600825,461.2163320736316,0.0037970077,0.8898277059197426,1696.40642952919,461.2163320736316,93.4
23.445723,0.0,0.16754325,0.16754325,11,2690,604068,462.3905686371824,0.003873819,0.9074341207742691,1702.111037015915,462.3905686371824,93.35
23.446125,0.0,0.15357026,0.15357026,11,2701,607089,461.97940833429874,0.004178566,0.9205391854047775,1707.7801451683044,461.97940833429874,92.775
23.447346,0.0,0.28064218,0.28064218,11,2712,610095,465.62224807687244,0.014931863,0.9317654669284821,1713.4829542636871,465.62224807687244,93.0
23.443827,0.0,0.26452765,0.26452765,11,2723,613176,462.3735927906515,0.013883884,0.9090484529733658,1719.2825434207916,462.3735927906515,92.425
23.44338,0.0,0.17735721,0.17735721,11,2734,616077,456.0470462325834,0.003809197,0.920897364616394,1724.9538197517395,456.0470462325834,91.85
23.444578,0.0,0.15584202,0.15584202,9,2743,618984,465.4162904401657,0.0039152405,0.8943522348999977,1730.8335349559784,465.4162904401657,93.825
23.44385,0.0,0.26985878,0.26985878,12,2755,622191,465.03771136285576,0.0148063805,0.8955840691924095,1736.5184578895569,465.03771136285576,93.75
23.449953,0.0,0.32059905,0.32059905,10,2765,625200,470.15053299055,0.014472233,0.9072421193122864,1742.1583466529846,470.15053299055,94.525
23.44776,0.0,0.15424109,0.15424109,10,2775,628464,500.4309355984822,0.0041537946,0.9200474247336388,1747.8862154483795,500.4309355984822,100.875
23.444891,0.0,0.13405527,0.13405527,12,2787,631776,487.35684908938373,0.003923377,0.9085176512598991,1753.62246799469,487.35684908938373,98.25
23.447104,0.0,0.31532863,0.31532863,9,2796,634602,498.79499760758426,0.014884219,0.8897349014878273,1759.3537690639496,498.79499760758426,100.7
23.447592,0.0,0.14487675,0.14487675,10,2806,637617,494.5847493612793,0.0038382863,0.8971487656235695,1765.0884516239166,494.5847493612793,99.625
23.445086,0.0,0.15150143,0.15150143,11,2817,640629,472.5195205038249,0.004361897,0.915566086769104,1770.7251596450806,472.5195205038249,95.8
23.445868,0.0,0.15657744,0.15657744,11,2828,643665,472.77205955422505,0.00403886,0.9283751770853996,1776.3504881858826,472.77205955422505,95.95
23.440508,0.0,0.14988375,0.14988375,11,2839,646827,460.23568116127626,0.003926445,0.9271877631545067,1782.04758644104,460.23568116127626,94.35
23.444271,0.0,0.1538985,0.1538985,10,2849,649752,458.9401184644115,0.0038169683,0.9504767544567585,1787.805639743805,458.9401184644115,93.25
23.441732,0.0,0.30090904,0.30090904,9,2858,653037,497.5808118313471,0.01444404,0.9221151024103165,1793.5259954929352,497.5808118313471,101.475
23.440609,0.0,0.15606326,0.15606326,10,2868,656070,502.5579904190674,0.004204927,0.9188303798437119,1799.176831483841,502.5579904190674,103.375
23.44173,0.0,0.35284036,0.35284036,11,2879,659178,501.62165259029524,0.014809429,0.9495134763419628,1804.772932767868,501.62165259029524,102.925
23.442888,0.0,0.15009491,0.15009491,10,2889,662223,498.3962930760363,0.0040124897,0.9262880757451057,1810.319287776947,498.3962930760363,103.925
23.448223,0.0,0.13499117,0.13499117,11,2900,665235,461.2504476736228,0.0040461337,0.9405409656465054,1815.9161431789398,461.2504476736228,96.25
23.443926,0.0,0.27910927,0.27910927,11,2911,668307,454.81446581699095,0.01396646,0.9231441989541054,1821.6134178638458,454.81446581699095,94.575
23.446756,0.0,0.26929533,0.26929533,12,2923,671373,435.26389201563745,0.014263612,0.9036029800772667,1827.2545461654663,435.26389201563745,91.375
23.447672,0.0,0.1490148,0.1490148,12,2935,674664,429.7214852606861,0.0039109066,0.9342615455389023,1832.9678039550781,429.7214852606861,89.925
23.446795,0.0,0.15044414,0.15044414,9,2944,677790,455.5579522054635,0.0038475548,0.8978831470012665,1838.637188911438,455.5579522054635,94.625
23.441095,0.0,0.13903642,0.13903642,10,2954,680814,481.27306760645325,0.0039210534,0.926534466445446,1844.2421174049377,481.27306760645325,98.9
23.445963,0.0,0.17809892,0.17809892,11,2965,683883,486.80059310907257,0.004115641,0.857071653008461,1850.0072174072266,486.80059310907257,99.55
23.443052,0.0,0.16572827,0.16572827,10,2975,686733,492.3878163441461,0.004111329,0.885256290435791,1855.6734204292297,492.3878163441461,100.575
23.444742,0.0,0.15161794,0.15161794,11,2986,689625,462.55536961944944,0.003955815,0.886821947991848,1861.4196496009827,462.55536961944944,93.85
23.445639,0.0,0.14496094,0.14496094,11,2997,692553,449.11224830420326,0.0038686504,0.9145742207765579,1867.1021518707275,449.11224830420326,91.3
23.448565,0.0,0.14562121,0.14562121,11,3008,695784,450.4651812325401,0.0039114826,0.9160350784659386,1872.912588596344,450.4651812325401,91.525
23.447733,0.0,0.15782136,0.15782136,10,3018,698910,472.4733219823023,0.0040680007,0.9081567823886871,1878.6411821842194,472.4733219823023,95.425
23.43561,0.0,0.2945762,0.2945762,9,3027,701865,483.72556992919965,0.014831998,0.9171472787857056,1884.4040784835815,483.72556992919965,98.925
23.432295,0.0,0.1470173,0.1470173,10,3037,705036,507.17430555012197,0.004032274,0.9281266182661057,1890.2541584968567,507.17430555012197,104.025
23.428728,0.0,0.37558505,0.37558505,10,3047,708234,510.9148450990031,0.0146901645,0.9025217071175575,1895.9711527824402,510.9148450990031,105.05
23.425554,0.0,0.14857788,0.14857788,12,3059,711468,495.3987169811335,0.0039198147,0.9067589640617371,1901.694121837616,495.3987169811335,102.075
23.425531,0.0,0.14427531,0.14427531,11,3070,714549,482.1274659524668,0.0037879734,0.9270326197147369,1907.5442469120026,482.1274659524668,98.55
23.422688,0.0,0.29534495,0.29534495,11,3081,717561,454.7070042943393,0.014783982,0.9037704318761826,1913.3270418643951,454.7070042943393,92.75
23.422773,0.0,0.14371842,0.14371842,11,3092,720843,461.9611055723508,0.0040359907,0.9299173876643181,1919.0271561145782,461.9611055723508,93.6
23.421062,0.0,0.15223125,0.15223125,9,3101,723813,482.8226917610797,0.003943274,0.9048451036214828,1924.7702836990356,482.8226917610797,98.35
23.417479,0.0,0.15259475,0.15259475,9,3110,726738,501.90933718722306,0.003969428,0.9078810587525368,1930.3160099983215,501.90933718722306,101.575
