meankl,optimgain,TimeElapsed,EpLenMean,entloss,EpTrueRewMean,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,EpThisIter,surrgain,TimestepsSoFar
0.01170388,0.22285219,521.4913763999939,84.95,0.0,413.88386389701657,66.81891,1223,23.780256,0.7666638642549515,12,0.22285219,74779
0.011359586,0.23538512,528.458526134491,84.95,0.0,414.3244261143245,65.30058,1235,23.78538,0.8584693670272827,12,0.23538512,75743
0.0120908525,0.2573009,535.4920670986176,84.8,0.0,414.0298222474874,62.058083,1247,23.789812,0.8161468207836151,12,0.2573009,76745
0.011527512,0.2200503,542.5047311782837,83.15,0.0,403.38341307089433,60.505608,1259,23.786802,0.868459478020668,12,0.2200503,77799
0.011994986,0.24945894,549.5485732555389,84.6,0.0,409.43929387154446,58.471405,1271,23.795004,0.8419600129127502,12,0.24945894,78811
0.011701994,0.5767448,556.608852148056,83.75,0.0,405.8721333282959,59.06966,1285,23.789068,0.7927241772413254,14,0.5767448,79877
0.0123744905,0.2349746,563.6446692943573,81.0,0.0,395.6081060932829,58.15508,1298,23.787535,0.836227223277092,13,0.2349746,80956
0.011324592,0.23016497,570.7360155582428,81.05,0.0,399.99048236489307,57.847595,1311,23.789553,0.8720893263816833,13,0.23016497,82053
0.011834599,0.2915442,577.7182145118713,83.925,0.0,408.03030526507894,59.11474,1323,23.787432,0.8169126808643341,12,0.2915442,83069
0.013038496,0.2658552,584.7976310253143,87.025,0.0,423.38279447925123,57.90409,1334,23.786848,0.8341972529888153,11,0.2658552,84077
0.011351657,0.21327108,591.8082182407379,81.175,0.0,393.2009025555077,52.47628,1349,23.788881,0.8187289386987686,15,0.21327108,85150
0.0114667,0.22729981,598.8173384666443,79.95,0.0,391.84010223471216,51.926476,1362,23.779768,0.764937624335289,13,0.22729981,86186
0.012511581,0.23461667,605.8501033782959,77.8,0.0,380.00718925576666,50.540535,1375,23.764421,0.7573440223932266,13,0.23461667,87253
0.011811044,0.22963345,612.8740372657776,81.5,0.0,401.23846207955387,52.922375,1388,23.76642,0.8194794654846191,13,0.22963345,88354
0.011771977,0.28279305,619.9220950603485,81.075,0.0,398.6584556795314,50.90136,1401,23.76733,0.7987916171550751,13,0.28279305,89358
0.01276465,0.2865927,626.9225780963898,82.55,0.0,409.79226862767916,50.608963,1412,23.757101,0.8454060107469559,11,0.2865927,90319
0.011325668,0.22010899,634.0034165382385,85.025,0.0,422.056825280506,52.088757,1423,23.750795,0.8094907253980637,11,0.22010899,91355
0.01122352,0.23642644,641.0076174736023,86.55,0.0,437.0013784528568,52.227196,1435,23.746073,0.865715891122818,12,0.23642644,92342
0.012328609,0.25248814,648.033203125,90.55,0.0,453.091168376928,52.822754,1445,23.730307,0.8071805089712143,10,0.25248814,93294
