EpLenMean,TimestepsSoFar,EpTrueRewMean,TimeElapsed,meankl,optimgain,EpThisIter,entropy,EpisodesSoFar,EpRewMean,entloss,ev_tdlam_before,surrgain
486.25,718956,1416.696577531597,1029.4783008098602,0.012896407,0.108201034,3,7.024654,720,471.1107,0.0,0.9567676670849323,0.108201034
501.3,721956,1453.6031365108092,1033.840832233429,0.009668279,0.102174245,1,7.02159,721,480.83487,0.0,0.02585899829864502,0.102174245
509.25,725007,1468.0604703457036,1038.2103328704834,0.010146204,0.099094555,2,7.047072,723,484.0713,0.0,0.9385441765189171,0.099094555
517.2,726696,1484.3153461017812,1042.5450294017792,0.011444619,0.10523966,1,7.0204296,724,488.14496,0.0,0.6486258804798126,0.10523966
524.075,730095,1515.963227269877,1046.8892979621887,0.012660377,0.1260129,3,6.9771104,727,495.4759,0.0,0.9444119110703468,0.1260129
538.675,733836,1554.4387970356152,1051.2840414047241,0.009804298,0.085638076,2,6.982131,729,506.63272,0.0,0.6404115855693817,0.085638076
546.9,735369,1579.8615977193463,1055.606627702713,0.010634031,0.123454615,1,6.9483657,730,515.05,0.0,0.8836934864521027,0.123454615
561.075,738369,1612.8503454838508,1060.1783905029297,0.011397481,0.08663473,1,6.9168096,731,522.80566,0.0,-0.0089033842086792,0.08663473
563.25,741042,1619.5862910308806,1064.4887342453003,0.010175908,0.13696751,1,6.9141808,732,525.39197,0.0,0.825856164097786,0.13696751
577.625,744756,1654.6675804148435,1068.891572713852,0.009971359,0.115514204,2,6.909302,734,538.14355,0.0,0.9252031370997429,0.115514204
580.825,748881,1672.2833633008315,1073.2794897556305,0.009671828,0.0869081,2,6.891432,736,543.76495,0.0,0.6584801971912384,0.0869081
584.925,750390,1687.8473257132741,1077.6722466945648,0.010039369,0.11931045,1,6.8539596,737,548.27466,0.0,0.9375057853758335,0.11931045
605.825,753390,1752.2311757045093,1082.0563426017761,0.010213926,0.08941674,1,6.835435,738,567.70685,0.0,-0.18431591987609863,0.08941674
605.825,756390,1751.5185568259142,1086.444709777832,0.011672194,0.08800992,1,6.830199,739,567.3849,0.0,0.18005973100662231,0.08800992
595.05,760164,1717.2270227304984,1090.8219368457794,0.010131061,0.09665467,3,6.8243394,742,557.61707,0.0,0.9602410942316055,0.09665467
585.975,763785,1705.0120394973098,1095.1597023010254,0.011259,0.13075636,3,6.799272,745,558.0326,0.0,0.945256058126688,0.13075636
586.825,767670,1699.6399293916627,1099.5440793037415,0.009692963,0.1012157,2,6.7889977,747,554.8107,0.0,0.8126775175333023,0.1012157
582.9,770604,1673.0009733890752,1103.9795105457306,0.011227109,0.097008966,2,6.7731314,749,544.70685,0.0,0.8363583236932755,0.097008966
582.9,773604,1666.2652491733947,1108.316376209259,0.010081234,0.09592983,1,6.744978,750,544.7158,0.0,-0.011572837829589844,0.09592983
589.45,775188,1682.1184666285549,1112.6337225437164,0.010095838,0.09918846,1,6.7454185,751,549.0573,0.0,0.9224245473742485,0.09918846
588.175,780528,1691.3727856927806,1116.92684841156,0.012863096,0.104577914,3,6.742314,754,551.9717,0.0,0.6864120066165924,0.104577914
570.45,783750,1629.9620707939246,1121.2701647281647,0.011897964,0.12311471,3,6.7059755,757,534.81793,0.0,0.9437842592597008,0.12311471
578.8,787461,1646.6054111059407,1125.6369152069092,0.0133751985,0.094713315,2,6.712708,759,539.34827,0.0,0.6925141215324402,0.094713315
591.5,789936,1690.4635431729766,1130.0071024894714,0.010267667,0.13791923,1,6.70398,760,554.1779,0.0,0.8751674145460129,0.13791923
575.5,794067,1664.4518023552396,1134.3628344535828,0.009447028,0.1014859,3,6.701543,763,546.9144,0.0,0.9241337403655052,0.1014859
