entropy,EpThisIter,entloss,ev_tdlam_before,TimeElapsed,EpRewMean,surrgain,optimgain,EpisodesSoFar,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean
3.7012637,1,0.0,0.9425094835460186,625.1499285697937,2697.183416882119,0.0752699,0.0752699,443,0.008888665,2697.183416882119,534027,909.1
3.677887,1,0.0,0.951634269207716,628.819638967514,2654.242367167506,0.05455003,0.05455003,444,0.00829103,2654.242367167506,535251,896.45
3.6864927,1,0.0,-0.17636466026306152,632.4590003490448,2666.0978473355926,0.045593318,0.045593318,445,0.008713702,2666.0978473355926,538251,902.9
3.6910093,1,0.0,-0.008182525634765625,636.1899378299713,2711.3927198167125,0.045908533,0.045908533,446,0.008837681,2711.3927198167125,541251,918.325
3.718382,2,0.0,0.8119198232889175,639.7860720157623,2644.332332224911,0.06046985,0.06046985,448,0.008157751,2644.332332224911,543462,895.35
3.7193217,1,0.0,0.8866186067461967,643.5609068870544,2591.367007795037,0.09285957,0.09285957,449,0.01019444,2591.367007795037,544314,877.45
3.7272258,1,0.0,0.051338791847229004,647.1506292819977,2588.9504159426547,0.05160879,0.05160879,450,0.008852974,2588.9504159426547,547314,877.45
3.7391684,2,0.0,0.9213370606303215,650.9050345420837,2509.4916559947874,0.058336943,0.058336943,452,0.008167544,2509.4916559947874,550209,851.575
3.7083356,1,0.0,0.022984981536865234,654.6199841499329,2511.655661069436,0.041304328,0.041304328,453,0.008040625,2511.655661069436,553209,851.575
3.6989522,1,0.0,0.4064105749130249,658.2801394462585,2500.705885367389,0.05244443,0.05244443,454,0.008645183,2500.705885367389,555711,847.425
3.7083979,1,0.0,0.82704658806324,662.0164043903351,2460.911075011666,0.055100773,0.055100773,455,0.008394832,2460.911075011666,557115,835.175
3.7091048,2,0.0,0.6761254370212555,665.7661046981812,2385.371132041869,0.05707051,0.05707051,457,0.00872741,2385.371132041869,560340,812.05
3.749605,1,0.0,0.13805550336837769,669.5445415973663,2387.2403181944783,0.044593707,0.044593707,458,0.008371367,2387.2403181944783,563340,812.05
3.74903,1,0.0,0.5986771881580353,673.2657554149628,2387.6295532485556,0.060136147,0.060136147,459,0.009060291,2387.6295532485556,566340,812.05
