entloss,surrgain,EpLenMean,EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,TimeElapsed,EpThisIter,EpRewMean,ev_tdlam_before,entropy,meankl,optimgain
0.0,0.06005221,218.975,250.81128463039727,186,57828,91.58441138267517,5,163.18932,0.9425316154956818,8.187026,0.006276901,0.06005221
0.0,0.07622462,218.975,264.9180430036548,191,61260,96.00065994262695,5,159.87454,0.9498838372528553,8.152661,0.0060688546,0.07622462
0.0,0.06900188,238.7,291.53434448397576,193,64656,100.4152901172638,2,169.80093,0.9745899457484484,8.184982,0.005938427,0.06900188
0.0,0.07116667,246.85,313.2296746898174,197,68301,104.79201793670654,4,172.05528,0.9696093201637268,8.168394,0.0066212444,0.07116667
0.0,0.05539554,250.825,332.67748196804234,202,71658,109.13602209091187,5,172.08109,0.9499846585094929,8.130071,0.0055667427,0.05539554
0.0,0.07595311,254.7,347.1341620917194,206,75132,113.51039290428162,4,171.91649,0.9610413908958435,8.134459,0.0057712244,0.07595311
0.0,0.06354031,260.425,352.9020433387386,210,78192,117.89911913871765,4,170.84323,0.9143433645367622,8.197619,0.005440649,0.06354031
0.0,0.067002416,266.15,360.37108343208524,214,81654,122.25360178947449,4,170.19963,0.9368841201066971,8.176453,0.006111415,0.067002416
0.0,0.0864083,279.05,372.3326547119955,216,84717,126.62725400924683,2,174.03818,0.9125744700431824,8.179506,0.0064562196,0.0864083
0.0,0.070106,280.2,367.86994103026547,220,87507,131.0274064540863,4,170.22568,0.9378564544022083,8.167481,0.0054982225,0.070106
0.0,0.06307188,283.3,378.9674248138698,224,90534,135.4244260787964,4,171.9521,0.9419607818126678,8.183841,0.0057580234,0.06307188
0.0,0.06022292,276.075,360.7790866078034,230,93921,139.8110728263855,6,163.06075,0.9293189197778702,8.201857,0.006013672,0.06022292
0.0,0.082686916,263.575,351.2578442469379,233,96285,144.27846717834473,3,157.448,0.9471208974719048,8.178878,0.0057069054,0.082686916
0.0,0.08681014,262.35,354.44722789747937,237,99783,148.96545100212097,4,157.01337,0.9203431680798531,8.189561,0.006059292,0.08681014
0.0,0.08115057,264.95,361.5948712743975,241,102984,153.49484729766846,4,159.92877,0.9140210598707199,8.22815,0.0063969796,0.08115057
0.0,0.08188945,266.025,357.12039076767303,245,106488,157.93282556533813,4,158.3813,0.926669716835022,8.20184,0.0068368604,0.08188945
0.0,0.06285751,270.075,365.10644521064785,248,108798,162.34358024597168,3,161.38242,0.9389490447938442,8.222538,0.0056020743,0.06285751
0.0,0.07113083,268.875,388.5861641759845,252,112098,166.77632236480713,4,167.62991,0.9151154160499573,8.198056,0.006322693,0.07113083
0.0,0.073870614,259.925,389.42931078846584,256,115908,171.19181752204895,4,165.0737,0.9256351664662361,8.180849,0.006023093,0.073870614
0.0,0.08692629,267.625,402.75544721975547,259,118935,175.53224730491638,3,169.6827,0.9342224970459938,8.151548,0.0064841122,0.08692629
0.0,0.07734587,268.725,412.63434665590523,263,122241,179.87634086608887,4,169.95157,0.9523627050220966,8.13423,0.0061323578,0.07734587
0.0,0.07543023,277.225,429.58689401051595,267,125574,184.2500627040863,4,177.15408,0.8735001534223557,8.124222,0.0061488966,0.07543023
0.0,0.087237716,286.625,459.10933715481326,270,128316,188.67068886756897,3,188.60527,0.8480580449104309,8.14172,0.005708794,0.087237716
0.0,0.0769387,291.7,475.99142669598587,273,131289,193.0245852470398,3,191.97214,0.9192788824439049,8.125598,0.0061183833,0.0769387
0.0,0.10128498,299.225,496.31154596465024,275,133932,197.3850998878479,2,201.68651,0.5848119258880615,8.108095,0.0065016826,0.10128498
0.0,0.096622564,305.15,506.38601624146213,277,136401,201.7857313156128,2,204.05101,0.7826346009969711,8.053207,0.006590767,0.096622564
0.0,0.090003684,315.95,527.3708009323434,279,139275,206.15377807617188,2,210.46341,0.8926709592342377,8.047073,0.0058188727,0.090003684
0.0,0.08283011,319.475,535.6254026137788,282,142107,210.53455901145935,3,212.9331,0.8859356716275215,8.026916,0.006280926,0.08283011
0.0,0.091241926,333.8,564.6925190938011,284,145833,214.960275888443,2,222.00883,0.8351621478796005,8.034682,0.0064609824,0.091241926
0.0,0.09251459,343.775,595.5075501317685,287,149226,219.3417251110077,3,232.11002,0.4827614426612854,8.027164,0.0063165375,0.09251459
0.0,0.08868328,352.725,608.2520582102626,289,152028,223.7183632850647,2,234.17148,0.8364179730415344,8.027648,0.0070632603,0.08868328
0.0,0.103657186,369.55,644.0941742898741,291,155586,228.12492537498474,2,245.91153,0.7194777131080627,8.0259285,0.0060575125,0.103657186
0.0,0.10471986,378.55,663.7728586140996,293,158586,232.5081136226654,2,252.82462,0.8427447825670242,8.039322,0.0065136105,0.10471986
0.0,0.078294635,386.4,684.5984149129174,297,163680,236.9126763343811,4,259.18826,0.7305139601230621,8.038331,0.0067238123,0.078294635
0.0,0.081418514,397.175,706.7952847258848,300,167484,241.32185053825378,3,264.95956,0.8439857512712479,8.0433235,0.006557053,0.081418514
0.0,0.10774219,402.85,726.007012967388,302,170034,245.6840443611145,2,273.16364,0.7134048342704773,8.027892,0.006490158,0.10774219
0.0,0.095643714,418.8,755.4830733214712,304,173334,250.04785108566284,2,284.06635,0.931555986404419,8.009151,0.0070648184,0.095643714
0.0,0.092485264,425.625,775.7725531949092,307,176649,254.44728875160217,3,290.3574,0.5852929651737213,8.011291,0.0063653877,0.092485264
0.0,0.10456831,430.325,782.0779227262012,309,179199,258.8215260505676,2,292.68378,0.8004883825778961,8.003475,0.0057282364,0.10456831
0.0,0.08116928,428.875,780.1622583331033,312,181935,263.18672347068787,3,292.33466,0.7606151401996613,8.013676,0.008074295,0.08116928
0.0,0.118341655,421.45,764.4384178941903,315,184506,267.57962012290955,3,285.17105,0.8526399284601212,8.028626,0.0073310873,0.118341655
0.0,0.094318405,422.65,773.7122879240299,317,187119,271.9297561645508,2,288.86786,0.8673663884401321,8.011292,0.0068839737,0.094318405
0.0,0.09378524,427.625,789.9346653046471,319,190590,276.28644704818726,2,294.05054,0.8385488539934158,7.994458,0.006661473,0.09378524
0.0,0.13615264,432.5,803.7442838791712,322,194007,280.66062927246094,3,302.24448,0.81550233066082,8.0056305,0.007562978,0.13615264
0.0,0.0908625,417.25,784.6859177031174,324,195903,285.03340673446655,2,297.62167,0.8519997447729111,7.9884005,0.0065109553,0.0908625
0.0,0.08068445,427.2,791.880108300255,326,199026,289.5234136581421,2,298.91766,0.9188351929187775,7.971009,0.006784728,0.08068445
