EpLenMean,EpTrueRewMean,surrgain,EpisodesSoFar,TimeElapsed,entropy,TimestepsSoFar,EpRewMean,EpThisIter,meankl,entloss,optimgain,ev_tdlam_before
200.0,200.0,0.011387323,1862,1613.2801554203033,0.5160773,342964,112.01561,5,0.0073134713,0.0,0.011387323,0.09450137615203857
200.0,200.0,0.014750732,1867,1617.5795321464539,0.5543395,343964,146.74248,5,0.009140685,0.0,0.014750732,0.044821739196777344
200.0,200.0,0.015248491,1872,1622.1649405956268,0.52929044,344964,179.97481,5,0.009627046,0.0,0.015248491,0.06715172529220581
200.0,200.0,0.009215236,1877,1626.6710658073425,0.5306558,345964,220.5408,5,0.006095609,0.0,0.009215236,0.16994553804397583
196.9,196.9,0.011029877,1883,1631.6330461502075,0.5151563,347040,247.02104,6,0.006073132,0.0,0.011029877,0.3122475743293762
196.9,196.9,0.007343254,1888,1635.7237317562103,0.52065057,348040,261.42413,5,0.0073478413,0.0,0.007343254,0.7166654169559479
196.9,196.9,0.010443086,1893,1640.1467235088348,0.52339864,349040,267.75247,5,0.0067639216,0.0,0.010443086,0.8633438944816589
196.9,196.9,0.016331404,1898,1644.5817415714264,0.5496281,350040,267.1288,5,0.006178163,0.0,0.016331404,0.9076497182250023
196.9,196.9,0.0107552465,1903,1650.0511796474457,0.514673,351040,250.6146,5,0.008583411,0.0,0.0107552465,0.9436704032123089
196.9,196.9,0.007110441,1909,1655.528094291687,0.52872705,352240,219.31999,6,0.0066792364,0.0,0.007110441,0.9645697884261608
196.9,196.9,0.015888399,1914,1660.2819108963013,0.53545624,353240,190.73724,5,0.007695235,0.0,0.015888399,0.9629653804004192
196.9,196.9,0.0130658895,1919,1664.9160182476044,0.54771817,354240,157.5582,5,0.007110824,0.0,0.0130658895,0.9773910101503134
200.0,200.0,0.01970353,1924,1670.0161781311035,0.54926354,355240,145.03629,5,0.009257026,0.0,0.01970353,0.9674934819340706
200.0,200.0,0.011060938,1929,1675.0967853069305,0.5481848,356240,137.60281,5,0.00921692,0.0,0.011060938,0.9425722137093544
200.0,200.0,0.0074713696,1934,1681.5044133663177,0.5363558,357240,138.86679,5,0.007031153,0.0,0.0074713696,0.4140169620513916
200.0,200.0,0.01263004,1939,1688.4366161823273,0.4973413,358240,143.99016,5,0.009060171,0.0,0.01263004,0.2014392614364624
200.0,200.0,0.007269048,1944,1693.440506696701,0.48352802,359240,144.68991,5,0.008538008,0.0,0.007269048,0.38028544187545776
200.0,200.0,0.0052394406,1950,1698.7994661331177,0.52679706,360440,141.22855,6,0.0070638917,0.0,0.0052394406,0.6115584373474121
200.0,200.0,0.0061979564,1955,1704.4921860694885,0.49754,361440,134.59103,5,0.005391271,0.0,0.0061979564,0.3066824674606323
200.0,200.0,0.009478103,1960,1710.0824708938599,0.51222026,362440,127.729576,5,0.009154475,0.0,0.009478103,0.47046732902526855
200.0,200.0,0.017639033,1965,1715.5626089572906,0.4830233,363440,123.10913,5,0.008534761,0.0,0.017639033,0.377888023853302
200.0,200.0,0.015454534,1970,1721.1508176326752,0.5038692,364440,121.77446,5,0.009373784,0.0,0.015454534,0.49584561586380005
200.0,200.0,0.017592294,1975,1726.9946060180664,0.51021725,365440,136.35136,5,0.008449251,0.0,0.017592294,-0.015297651290893555
200.0,200.0,0.01088592,1980,1732.6724338531494,0.5232413,366440,143.28543,5,0.007270682,0.0,0.01088592,0.3237820267677307
199.675,199.675,0.010044867,1985,1738.022795677185,0.5071285,367427,150.85513,5,0.008479623,0.0,0.010044867,0.5296411216259003
199.4,199.4,0.01130963,1991,1743.0219523906708,0.5247474,368616,164.10356,6,0.0076094894,0.0,0.01130963,0.8468960821628571
199.125,199.125,0.01002527,1996,1748.821368932724,0.5554538,369605,171.95517,5,0.009449894,0.0,0.01002527,0.9253331869840622
