EpLenMean,EpTrueRewMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,optimgain,entloss,TimestepsSoFar,entropy,meankl,EpThisIter,EpRewMean,surrgain
713.225,2176.834676062396,663,1085.0109329223633,0.5730767548084259,0.0885636,0.0,757083,6.3252993,0.009787252,2,692.90625,0.0885636
725.875,2218.282398755903,664,1089.4469571113586,0.04060518741607666,0.06882229,0.0,760083,6.3266745,0.012067474,1,703.7992,0.06882229
716.3,2192.9043555571516,665,1093.873581647873,0.971667954698205,0.1184359,0.0,761517,6.333744,0.009627951,1,695.2824,0.1184359
691.8,2109.6280617132757,667,1098.2508478164673,0.15071332454681396,0.0975835,0.0,764577,6.302045,0.010131918,2,670.5246,0.0975835
705.85,2151.245420624016,668,1102.6223125457764,-0.010957956314086914,0.09295647,0.0,767577,6.2522597,0.009928169,1,681.1542,0.09295647
721.925,2192.368808975391,669,1106.9822351932526,0.3594388961791992,0.07697916,0.0,770577,6.2524266,0.008963881,1,691.5287,0.07697916
705.725,2147.0485371321915,670,1111.3171825408936,0.9578475281596184,0.102960885,0.0,771633,6.2683873,0.010780488,1,677.41,0.102960885
698.875,2135.1204722572134,673,1115.714548587799,0.7694221287965775,0.09505367,0.0,776796,6.254701,0.0100522665,3,673.78625,0.09505367
707.775,2166.0555823307113,674,1120.0498585700989,0.4637146592140198,0.114519194,0.0,779796,6.2647524,0.009731436,1,682.71436,0.114519194
688.125,2100.265074055476,676,1124.455399274826,0.8350636959075928,0.11669923,0.0,781758,6.2430844,0.012335645,2,663.94055,0.11669923
705.7,2156.3054731700568,677,1128.916235923767,0.5636391043663025,0.10242448,0.0,784758,6.2906065,0.011268564,1,678.6877,0.10242448
699.825,2136.7089844277366,678,1133.322734117508,0.6671415269374847,0.13517746,0.0,786207,6.270465,0.010480009,1,673.4252,0.13517746
713.125,2182.3844032051056,679,1137.744865655899,0.9288886487483978,0.15079646,0.0,788886,6.2426744,0.011002041,1,687.10004,0.15079646
706.7,2162.1474736728487,680,1142.1288273334503,0.9480754770338535,0.12920034,0.0,791115,6.299137,0.0105946325,1,682.0854,0.12920034
695.15,2119.0584640711304,681,1146.545526266098,0.8182530403137207,0.0943273,0.0,792336,6.275101,0.009722666,1,669.36584,0.0943273
665.0,2020.7559537188645,684,1150.9541342258453,0.7344750165939331,0.10334562,0.0,796608,6.261983,0.009876146,3,642.70337,0.10334562
669.425,2039.159599436642,685,1155.3737885951996,0.832982212305069,0.27155194,0.0,797910,6.2661557,0.0103196055,1,647.5416,0.27155194
669.425,2042.3485037991086,686,1159.7629430294037,0.085837721824646,0.08479778,0.0,800910,6.280211,0.009772551,1,647.59625,0.08479778
677.275,2072.201219342796,687,1164.1206650733948,0.9204921275377274,0.104885876,0.0,803160,6.277775,0.010022744,1,656.1692,0.104885876
686.525,2108.0930063004744,688,1168.5171329975128,0.9114546254277229,0.1566488,0.0,805260,6.2528124,0.00938446,1,666.007,0.1566488
677.675,2078.0653074323213,690,1172.9519884586334,0.6419086158275604,0.090631425,0.0,808728,6.288105,0.010526597,2,654.40594,0.090631425
