entloss,optimgain,TimestepsSoFar,meankl,entropy,EpTrueRewMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpisodesSoFar,surrgain,EpRewMean,EpLenMean
0.0,0.15857543,703782,0.004191314,23.38597,531.3928275667311,0.8877575621008873,11,1312.4138424396515,2926,0.15857543,102.41421,104.35
0.0,0.1542681,706704,0.004121394,23.383055,535.9318504986641,0.8993207588791847,9,1318.224906206131,2935,0.1542681,104.533325,105.35
0.0,0.16372657,710076,0.0040678475,23.384272,540.1300195948672,0.9178548827767372,10,1323.9450104236603,2945,0.16372657,105.1058,104.875
0.0,0.15483254,713067,0.004279557,23.386782,537.1483246793653,0.916020080447197,10,1329.749140739441,2955,0.15483254,104.94907,103.95
0.0,0.17872497,716196,0.0040224986,23.386293,548.5965701981984,0.9039312973618507,9,1335.531221151352,2964,0.17872497,106.87058,107.45
0.0,0.13823827,719622,0.0037899585,23.38006,579.2641023242077,0.8342201113700867,9,1341.2066676616669,2973,0.13823827,114.65405,113.8
0.0,0.1570572,722367,0.0040926985,23.380453,569.7812999725307,0.850267767906189,8,1346.8776640892029,2981,0.1570572,114.27014,112.875
0.0,0.1433618,725346,0.0038513318,23.380388,562.4294695276831,0.8789033815264702,10,1352.7058999538422,2991,0.1433618,114.96256,112.55
0.0,0.14979248,728409,0.0039247614,23.379948,574.2551937618516,0.8374456763267517,8,1358.613070487976,2999,0.14979248,116.53445,115.225
0.0,0.24498938,731547,0.014115765,23.376642,533.3324837301811,0.8907431662082672,11,1364.3535277843475,3010,0.24498938,108.56565,108.0
0.0,0.16348402,734538,0.0039182724,23.378195,527.6160377698759,0.8849288821220398,9,1370.106921672821,3019,0.16348402,107.61025,105.325
0.0,0.14638424,737748,0.003843356,23.378826,535.1491416299519,0.8858245760202408,11,1375.8611595630646,3030,0.14638424,107.13725,106.45
0.0,0.15110014,740529,0.00376738,23.377926,530.0130345441623,0.8938481584191322,8,1381.5326173305511,3038,0.15110014,106.746864,104.625
0.0,0.15247749,743481,0.0038343125,23.378582,546.9814412122508,0.9131498113274574,9,1387.3276226520538,3047,0.15247749,107.3221,107.7
0.0,0.16475444,746382,0.0040318267,23.379316,525.6097012966662,0.9056662246584892,10,1393.0231566429138,3057,0.16475444,99.80046,102.675
0.0,0.15070556,749445,0.0038894124,23.376286,556.6154164772304,0.8893269672989845,8,1398.7156248092651,3065,0.15070556,105.09336,108.75
0.0,0.15240481,752433,0.004176826,23.378153,557.418369088797,0.9051262587308884,9,1404.4717772006989,3074,0.15240481,104.02114,109.6
0.0,0.2864564,755427,0.01459699,23.386053,558.2686802016807,0.8534927070140839,8,1410.2616522312164,3082,0.2864564,106.22483,111.55
0.0,0.15200573,758508,0.0041725743,23.389402,591.32026126166,0.9141254797577858,8,1416.08353805542,3090,0.15200573,112.09657,118.175
0.0,0.18981722,761751,0.004506867,23.392645,598.7036090750806,0.9076051712036133,10,1421.8312995433807,3100,0.18981722,116.609085,119.3
0.0,0.14848971,764919,0.0040404806,23.390932,596.6430394989959,0.8710135668516159,9,1427.7299618721008,3109,0.14848971,115.29763,119.4
0.0,0.15271968,767775,0.0041596945,23.390543,591.6821170786567,0.8971682116389275,9,1433.5269083976746,3118,0.15271968,113.51459,117.05
0.0,0.27456188,770913,0.014905876,23.390215,546.9592376476076,0.9225431606173515,10,1439.3450889587402,3128,0.27456188,107.6688,108.75
0.0,0.13712125,774042,0.0038937237,23.3867,526.2420177054236,0.8505949825048447,11,1445.1506342887878,3139,0.13712125,102.59825,104.65
0.0,0.14890158,776913,0.004100748,23.38452,523.5031999986988,0.8953650146722794,9,1450.9718306064606,3148,0.14890158,102.7679,103.95
0.0,0.15198436,780012,0.004428716,23.38501,525.5495809944379,0.934448815882206,9,1456.6606757640839,3157,0.15198436,102.43758,104.325
0.0,0.14265098,783144,0.0039634407,23.386393,527.0023400919773,0.9045911803841591,10,1462.3541209697723,3167,0.14265098,102.675064,104.175
0.0,0.14742258,786273,0.0038962285,23.387873,530.8359460962031,0.8892629593610764,11,1468.1460855007172,3178,0.14742258,105.86316,104.675
0.0,0.1421468,789543,0.0040591005,23.388588,544.4496632796527,0.8985252380371094,9,1473.9648594856262,3187,0.1421468,105.142784,107.225
0.0,0.14040914,792678,0.0037598743,23.387712,551.416974133743,0.9166538268327713,9,1479.740177154541,3196,0.14040914,106.29924,108.4
0.0,0.14362562,795687,0.0041313795,23.387434,560.4617804581894,0.9009652063250542,9,1485.58722281456,3205,0.14362562,106.55084,109.625
0.0,0.2958246,798867,0.014606313,23.387213,559.000846563433,0.9038646519184113,11,1491.3501172065735,3216,0.2958246,104.0918,109.7
0.0,0.15549615,801813,0.0040375968,23.383627,546.3019538584751,0.9114958643913269,9,1497.1082146167755,3225,0.15549615,102.967285,107.625
0.0,0.14831904,805059,0.003996967,23.378496,543.7644132909032,0.8930116146802902,9,1502.8988673686981,3234,0.14831904,102.610596,107.975
0.0,0.14878008,807969,0.0039305263,23.378414,567.3796714786107,0.9320608973503113,8,1508.6730802059174,3242,0.14878008,106.55581,112.375
0.0,0.14730868,811434,0.0038696306,23.37866,570.2311723908272,0.9023883491754532,11,1514.402509212494,3253,0.14730868,106.703995,111.825
0.0,0.15866643,814644,0.004291432,23.37842,581.6379057690876,0.9204107373952866,10,1520.137183189392,3263,0.15866643,109.88924,113.7
0.0,0.15229966,817701,0.0040870314,23.378725,554.2051245757874,0.901148110628128,10,1525.868712902069,3273,0.15229966,105.72793,108.25
0.0,0.25967455,820824,0.014160063,23.372784,522.6445973434204,0.8721237033605576,10,1531.6677238941193,3283,0.25967455,100.50822,102.825
0.0,0.14903921,823878,0.0040457724,23.369078,525.4253104889051,0.9126077219843864,10,1537.3907532691956,3293,0.14903921,103.45982,103.7
0.0,0.14317048,826941,0.003903945,23.367514,513.5423722791842,0.9126794710755348,10,1543.0987665653229,3303,0.14317048,101.44435,102.475
0.0,0.15964699,829998,0.004066459,23.365948,512.7521139616722,0.889168493449688,10,1549.0073537826538,3313,0.15964699,100.90477,102.475
0.0,0.32318157,833514,0.014471217,23.365072,539.854823269817,0.8985108956694603,9,1554.8499245643616,3322,0.32318157,104.36021,107.925
0.0,0.15675223,836751,0.0044329325,23.363932,566.9463410117612,0.8961459323763847,9,1560.6784381866455,3331,0.15675223,106.51811,112.3
0.0,0.17529054,839919,0.004181234,23.364435,577.5976030221874,0.8844916597008705,9,1566.440426826477,3340,0.17529054,107.93877,114.3
0.0,0.15644857,842640,0.0040483726,23.363523,606.1496767213846,0.8911342322826385,8,1572.2657465934753,3348,0.15644857,113.76874,119.425
0.0,0.1634117,845490,0.004169894,23.362799,586.8539482390202,0.9179193079471588,9,1578.0329711437225,3357,0.1634117,112.323975,115.2
0.0,0.17953324,848685,0.0040822336,23.363848,566.934659233633,0.8838022500276566,10,1583.9153208732605,3367,0.17953324,112.56482,111.75
0.0,0.16042173,851724,0.004309899,23.357664,549.1745203503394,0.8582365810871124,9,1589.6451227664948,3376,0.16042173,110.954445,107.725
0.0,0.13779649,854901,0.0037931134,23.354086,541.6414454832808,0.9041491895914078,10,1595.3896675109863,3386,0.13779649,107.28937,107.05
0.0,0.17872211,857943,0.0041026296,23.35148,539.266250152708,0.8964340090751648,9,1601.1135008335114,3395,0.17872211,104.541725,107.7
