surrgain,TimestepsSoFar,ev_tdlam_before,EpRewMean,meankl,entropy,EpTrueRewMean,EpLenMean,entloss,optimgain,EpThisIter,TimeElapsed,EpisodesSoFar
0.06473635,635211,0.9967860255856067,158.39229,0.010912763,2.4091618,657.5974188131505,216.6,0.0,0.06473635,5,886.448813199997,586
0.06298143,638424,0.7861790806055069,156.61917,0.011017662,2.363719,644.0646259549908,212.425,0.0,0.06298143,6,890.852032661438,592
0.07517685,641988,0.9499625824391842,156.24426,0.010791211,2.3419616,652.4419248355027,214.775,0.0,0.07517685,5,895.2479124069214,597
0.05436697,645579,0.9899870427325368,158.47672,0.01020146,2.2799277,663.7443381349024,217.8,0.0,0.05436697,5,899.6094110012054,602
0.056876257,648870,0.9524521231651306,159.00586,0.011517946,2.2933457,669.4582834552766,219.275,0.0,0.056876257,5,903.9472439289093,607
0.07467998,652044,0.9282073155045509,161.52423,0.009977562,2.2687814,688.4954099754939,225.325,0.0,0.07467998,4,908.3071599006653,611
0.06892444,654942,0.9882783479988575,162.82607,0.010814217,2.24467,690.9806435931138,226.25,0.0,0.06892444,4,912.7358179092407,615
0.06690025,657723,0.9897374585270882,162.472,0.010357628,2.225925,689.6217599238608,225.9,0.0,0.06690025,4,917.1102833747864,619
0.055610113,660951,0.9395145028829575,162.33426,0.010313767,2.1860654,690.0951882536825,225.475,0.0,0.055610113,5,921.489467382431,624
0.060473148,663864,0.9945429372601211,162.103,0.010161554,2.167436,692.9203635501576,227.25,0.0,0.060473148,4,925.8646545410156,628
0.068566754,666990,0.9323612079024315,166.19858,0.010204931,2.1460438,713.8443385215079,232.525,0.0,0.068566754,5,930.2292749881744,633
0.06692612,670089,0.9017827734351158,165.8269,0.01022039,2.1555483,701.9622556862872,228.6,0.0,0.06692612,5,934.562126159668,638
0.07275541,673623,0.9938675309531391,163.96548,0.009251462,2.12561,696.6672926596863,227.625,0.0,0.07275541,5,938.9477734565735,643
