EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
435,0.0,3.5041788,0.048731133,1,666.3837068080902,559101,2627.762160893943,-0.21089255809783936,0.00864314,0.048731133,2627.762160893943,915.775
436,0.0,3.5009394,0.045091175,1,670.043142080307,562101,2635.3585427057433,0.0333402156829834,0.009623621,0.045091175,2635.3585427057433,915.775
438,0.0,3.4746096,0.052044947,2,673.7929856777191,567189,2658.5733480065387,0.7781701683998108,0.008931618,0.052044947,2658.5733480065387,919.05
439,0.0,3.4729898,0.05623711,1,677.5670051574707,569370,2644.3781539548772,0.9352187886834145,0.008660512,0.05623711,2644.3781539548772,912.225
440,0.0,3.4549272,0.050307516,1,681.2153885364532,572136,2647.20834313057,0.009920239448547363,0.009429701,0.050307516,2647.20834313057,911.55
441,0.0,3.4513173,0.051376153,1,684.9134044647217,575136,2651.8600491605384,0.651716411113739,0.00944481,0.051376153,2651.8600491605384,911.55
442,0.0,3.477356,0.042506136,1,688.6127729415894,578136,2659.8092166930264,-0.013769388198852539,0.008768468,0.042506136,2659.8092166930264,911.55
443,0.0,3.4904501,0.05630322,1,692.3915016651154,580377,2650.717580814723,0.9754024930298328,0.008562327,0.05630322,2650.717580814723,905.225
444,0.0,3.5258245,0.04018876,1,696.1104793548584,583377,2657.758347974793,-0.01621222496032715,0.009637982,0.04018876,2657.758347974793,905.225
445,0.0,3.5323553,0.054662067,1,699.7989881038666,586377,2660.3367344221297,0.008708655834197998,0.009347601,0.054662067,2660.3367344221297,905.225
446,0.0,3.5294104,0.039600704,1,703.4691541194916,589377,2664.753185852531,-0.01739513874053955,0.009091454,0.039600704,2664.753185852531,905.225
447,0.0,3.5692832,0.067165956,1,707.1550369262695,591048,2636.3742169386933,0.9540709815919399,0.008683588,0.067165956,2636.3742169386933,894.15
448,0.0,3.542753,0.045535542,1,710.8917875289917,594048,2642.2174890749,-0.0076334476470947266,0.00868909,0.045535542,2642.2174890749,894.15
449,0.0,3.5383687,0.052627347,1,714.6503319740295,596541,2665.7088480944744,0.9184775277972221,0.00817869,0.052627347,2665.7088480944744,901.8
450,0.0,3.5483024,0.035505608,1,718.4266984462738,599541,2708.1282950201785,0.006135463714599609,0.007864933,0.035505608,2708.1282950201785,915.55
451,0.0,3.5704265,0.045212775,1,722.1217985153198,602541,2717.010850371169,-0.0035477876663208008,0.008556891,0.045212775,2717.010850371169,915.55
452,0.0,3.5623248,0.042691685,1,725.8461847305298,605541,2721.3846816830874,0.008316636085510254,0.009720651,0.042691685,2721.3846816830874,915.55
453,0.0,3.557402,0.051193837,1,729.589848279953,608541,2729.6323450897316,-0.10549235343933105,0.009934148,0.051193837,2729.6323450897316,915.55
454,0.0,3.5384436,0.072384104,1,733.3043205738068,610443,2711.1985223203214,0.9475362934172153,0.00861749,0.072384104,2711.1985223203214,906.4
455,0.0,3.5498266,0.0647312,1,736.9584331512451,613443,2716.633334291599,0.5422719120979309,0.009714529,0.0647312,2716.633334291599,906.4
