EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
567.1374749728985,0.8929012268781662,933288,112.125,0.0042291037,0.16269037,9,23.283182,0.16269037,3612,0.0,1736.059604883194,106.0244
574.638084186607,0.8988321647047997,936450,113.925,0.014724057,0.3462643,9,23.28263,0.3462643,3621,0.0,1741.6827766895294,106.19208
580.5482479939225,0.8499801307916641,939231,115.5,0.0046150833,0.16262719,8,23.279806,0.16262719,3629,0.0,1747.3525912761688,106.80267
575.2507952998596,0.9102965220808983,942579,114.15,0.0041328305,0.14637521,10,23.280767,0.14637521,3639,0.0,1753.086776971817,106.60889
546.4279048452606,0.8941225707530975,945429,109.575,0.0038163457,0.14354806,10,23.280743,0.14354806,3649,0.0,1758.8492951393127,103.01394
541.3909841625152,0.9013036116957664,948477,107.65,0.0038666313,0.15468961,9,23.279787,0.15468961,3658,0.0,1764.5895111560822,102.72829
550.5952253693966,0.855358749628067,951993,109.45,0.0039928034,0.15689848,10,23.279558,0.15689848,3668,0.0,1770.2489895820618,105.36361
544.3645676491635,0.8861218765377998,955080,108.85,0.0037540975,0.14506978,9,23.277592,0.14506978,3677,0.0,1775.9597697257996,104.522995
578.6013975945182,0.9031656011939049,957957,115.175,0.0037656482,0.14259422,8,23.277079,0.14259422,3685,0.0,1781.539708852768,110.76914
576.677775197992,0.9084080383181572,960657,114.65,0.01458478,0.31308615,9,23.278543,0.31308615,3694,0.0,1787.1158864498138,110.08705
583.8196889743152,0.8892553523182869,963912,117.25,0.003847281,0.15339494,8,23.280111,0.15339494,3702,0.0,1792.7514605522156,112.04746
573.5461624297974,0.8809190914034843,966846,114.125,0.004056814,0.14628902,9,23.278254,0.14628902,3711,0.0,1798.3560328483582,109.249466
569.9853112218904,0.8841580525040627,969852,114.375,0.0040383246,0.14628473,9,23.276041,0.14628473,3720,0.0,1803.9456555843353,108.7354
564.5212034123216,0.9186381250619888,972948,112.75,0.003999544,0.15325406,10,23.27637,0.15325406,3730,0.0,1809.5426745414734,107.465675
552.0697023445373,0.9182135388255119,976032,110.875,0.0040017376,0.1474732,9,23.276611,0.1474732,3739,0.0,1815.1923100948334,105.74547
543.2992511697918,0.867249920964241,979008,108.75,0.0040746015,0.148488,9,23.274477,0.148488,3748,0.0,1820.851330757141,104.75039
567.8875539756358,0.9010699018836021,982164,112.2,0.0039889244,0.15600866,9,23.27637,0.15600866,3757,0.0,1826.4721958637238,109.14128
560.4113872970959,0.9080889150500298,985056,110.05,0.0148635395,0.30279493,9,23.27685,0.30279493,3766,0.0,1832.0315635204315,106.1646
561.1298697432361,0.9266091883182526,987864,109.075,0.00448789,0.16257116,9,23.276188,0.16257116,3775,0.0,1837.4705986976624,104.01237
564.1153674715604,0.9132764041423798,990906,110.2,0.0039702575,0.16089503,9,23.276186,0.16089503,3784,0.0,1842.7043588161469,104.26314
544.7767253581065,0.8856781646609306,993834,106.5,0.0037841734,0.16252947,9,23.272459,0.16252947,3793,0.0,1847.7818276882172,103.107376
545.8088373855102,0.8991049900650978,996717,107.725,0.013949754,0.2847992,9,23.274092,0.2847992,3802,0.0,1852.8369517326355,104.09343
535.1320190264253,0.9102558940649033,1000068,107.175,0.00433961,0.15420127,11,23.276613,0.15420127,3813,0.0,1857.8793992996216,103.61849
