meankl,entropy,EpisodesSoFar,optimgain,entloss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean,EpTrueRewMean,ev_tdlam_before,surrgain,TimestepsSoFar
0.009720668,7.0933094,506,0.08852047,0.0,753.1642363071442,2,681.475,615.22504,2118.6146043680637,0.6154587268829346,0.08852047,516510
0.009806901,7.106306,507,0.11218732,0.0,757.6213536262512,1,698.75,625.6947,2160.6243955938166,0.32114261388778687,0.11218732,519510
0.01025504,7.0821576,508,0.09247729,0.0,761.9161314964294,1,698.75,623.0695,2154.854739319378,-0.29409825801849365,0.09247729,522510
0.008767999,7.076979,509,0.09616491,0.0,766.2978909015656,1,695.475,622.71814,2152.0691323702968,0.8682846277952194,0.09616491,525117
0.008574899,7.072375,511,0.09399392,0.0,770.6804811954498,2,685.65,611.47186,2124.3074383556245,0.42287230491638184,0.09399392,528819
0.009026386,7.0580316,512,0.10465083,0.0,775.1013989448547,1,701.8,626.09106,2177.6645886459446,0.8671858161687851,0.10465083,531771
0.008526421,7.0610337,515,0.08898197,0.0,779.5128543376923,3,701.75,624.1376,2174.6033101139,0.5995298624038696,0.08898197,536964
0.009885824,7.061769,516,0.09015006,0.0,783.9755096435547,1,711.75,630.8236,2204.584885657202,-0.15886139869689941,0.09015006,539964
0.010122378,7.039355,517,0.09909519,0.0,788.3756499290466,1,723.825,640.929,2241.928488616045,-0.18298304080963135,0.09909519,542964
0.009214735,7.0577865,519,0.111658946,0.0,792.7470417022705,2,697.3,605.81995,2107.5313401248086,0.8119997829198837,0.111658946,544803
0.008816543,7.056942,523,0.07513875,0.0,797.1998345851898,4,698.975,607.41895,2113.6867121690775,0.8133935183286667,0.07513875,550341
0.009673141,7.058781,525,0.0870724,0.0,801.6276450157166,2,678.725,589.4508,2040.8415514896278,0.7962879687547684,0.0870724,553911
0.009917902,7.0748277,526,0.109844334,0.0,806.0571746826172,1,674.65,585.5829,2030.9534254844705,0.5948365032672882,0.109844334,556422
0.009316025,7.0801563,527,0.10209507,0.0,810.5150372982025,1,674.65,586.2494,2030.2902858462542,-0.23329460620880127,0.10209507,559422
0.009771343,7.0655646,528,0.08343543,0.0,814.8986968994141,1,674.65,585.65967,2030.6796100172403,-0.0228501558303833,0.08343543,562422
0.008971471,7.0542736,529,0.09028339,0.0,819.251163482666,1,685.8,597.4614,2075.9888939881776,0.7718198150396347,0.09028339,564687
0.012126462,7.043932,532,0.11685495,0.0,823.6373820304871,3,668.575,580.0668,2004.6200172140975,0.8203200995922089,0.11685495,569070
