entloss,entropy,surrgain,EpLenMean,EpisodesSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,meankl,EpRewMean,optimgain,TimestepsSoFar,EpTrueRewMean
0.0,3.3397286,0.053326033,758.875,428,345.4183042049408,2,-0.02358376979827881,0.009526038,2232.51716170911,0.053326033,287352,2232.51716170911
0.0,3.3238213,0.052782774,731.8,431,349.1283526420593,3,0.8981081619858742,0.008470266,2147.1212136591635,0.052782774,291513,2147.1212136591635
0.0,3.353727,0.04361521,740.25,432,352.71446108818054,1,-0.10789918899536133,0.008025546,2177.392047104181,0.04361521,294513,2177.392047104181
0.0,3.3591313,0.061636783,750.0,433,356.28937792778015,1,0.8190243989229202,0.008141965,2212.5003502696304,0.061636783,297075,2212.5003502696304
0.0,3.3441381,0.043100327,750.0,434,359.9482252597809,1,0.026186466217041016,0.008924545,2213.562416780673,0.043100327,300075,2213.562416780673
0.0,3.3298342,0.05277105,750.0,435,363.75595903396606,1,-0.20263361930847168,0.008289101,2217.2303917433555,0.05277105,303075,2217.2303917433555
0.0,3.293274,0.048510633,758.2,436,367.7530868053436,1,-0.3009275197982788,0.008713573,2245.0070675322468,0.048510633,306075,2245.0070675322468
0.0,3.3369968,0.038015448,758.2,437,371.5510845184326,1,0.02963203191757202,0.00857581,2243.828278769687,0.038015448,309075,2243.828278769687
0.0,3.3648074,0.057309203,738.575,440,375.2496135234833,3,0.45687341690063477,0.008228978,2184.429307280249,0.057309203,312315,2184.429307280249
0.0,3.380829,0.04771817,753.625,441,379.1183867454529,1,0.4150853753089905,0.007566956,2227.418734107887,0.04771817,315315,2227.418734107887
0.0,3.3807986,0.0506664,743.275,443,382.88128113746643,2,0.908865824341774,0.007850162,2198.8294002595585,0.0506664,318864,2198.8294002595585
0.0,3.367148,0.04518999,737.675,445,386.6296298503876,2,0.634423702955246,0.008544894,2176.603899163849,0.04518999,322905,2176.603899163849
0.0,3.359048,0.04366591,737.675,446,390.4308772087097,1,0.07902604341506958,0.007576949,2186.4417071184234,0.04366591,325905,2186.4417071184234
0.0,3.3871677,0.049599744,739.05,448,394.1202862262726,2,0.8900885283946991,0.007906021,2182.092476630921,0.049599744,329457,2182.092476630921
0.0,3.3843472,0.06419162,743.275,449,397.8000679016113,1,0.9191971942782402,0.008470479,2198.441338829977,0.06419162,332337,2198.441338829977
0.0,3.3682182,0.042997323,751.5,450,401.5382151603699,1,0.037842392921447754,0.00870046,2220.1072385085804,0.042997323,335337,2220.1072385085804
0.0,3.3795793,0.042458475,753.975,451,405.273775100708,1,0.06149458885192871,0.008560369,2222.044971091857,0.042458475,338337,2222.044971091857
0.0,3.3833096,0.047758494,744.9,453,409.0511043071747,2,0.004753470420837402,0.00802719,2195.0788214661175,0.047758494,341943,2195.0788214661175
0.0,3.447996,0.044693045,744.9,454,412.8154487609863,1,-0.013441205024719238,0.008613775,2192.404334869423,0.044693045,344943,2192.404334869423
0.0,3.4174106,0.05977214,736.0,455,416.5644097328186,1,-0.010976791381835938,0.008761763,2166.9658295225677,0.05977214,346875,2166.9658295225677
0.0,3.4132073,0.0597468,736.0,456,420.26059126853943,1,-0.022938132286071777,0.0075216647,2162.047832129624,0.0597468,349875,2162.047832129624
0.0,3.4011009,0.056313694,736.0,457,423.97713017463684,1,0.09304553270339966,0.0083470745,2154.4369061697007,0.056313694,352875,2154.4369061697007
0.0,3.3885493,0.053006217,767.775,459,427.6894931793213,2,0.08150780200958252,0.007908005,2245.7454641145555,0.053006217,358875,2245.7454641145555
0.0,3.4294722,0.047379963,774.4,460,431.376184463501,1,-0.05397915840148926,0.008968078,2262.4025307588186,0.047379963,361875,2262.4025307588186
0.0,3.4618006,0.066705,769.875,461,435.07023906707764,1,0.9489380083978176,0.008548381,2247.10038583146,0.066705,363507,2247.10038583146
0.0,3.43032,0.04599021,733.35,464,438.80050230026245,3,0.45394885540008545,0.008989722,2137.754583893907,0.04599021,366165,2137.754583893907
0.0,3.401519,0.04547078,744.2,466,442.58329129219055,2,0.09021544456481934,0.0078117466,2163.3167580430213,0.04547078,371067,2163.3167580430213
0.0,3.4039912,0.04465012,724.1,468,446.2804787158966,2,0.16165870428085327,0.0077978494,2091.8890596634274,0.04465012,374244,2091.8890596634274
0.0,3.4140553,0.053074487,730.025,470,449.95151472091675,2,0.9165836870670319,0.008140913,2105.045845863008,0.053074487,377754,2105.045845863008
0.0,3.4607866,0.04533667,743.675,471,453.60959219932556,1,-0.02886486053466797,0.00808561,2144.1133915184737,0.04533667,380754,2144.1133915184737
0.0,3.4552379,0.04928758,743.675,472,457.2804672718048,1,-0.18364334106445312,0.007977497,2136.1557026539367,0.04928758,383754,2136.1557026539367
0.0,3.431822,0.04290489,747.325,473,461.05442905426025,1,0.03722703456878662,0.0085027255,2134.8291024500345,0.04290489,386754,2134.8291024500345
