EpisodesSoFar,surrgain,meankl,TimestepsSoFar,EpLenMean,entloss,EpTrueRewMean,EpRewMean,ev_tdlam_before,entropy,EpThisIter,TimeElapsed,optimgain
514,0.13789886,0.009367412,123466,291.325,0.0,761.6746526038886,178.55757,0.9019791409373283,7.12361,4,519.671902179718,0.13789886
518,0.13580063,0.008171471,124511,291.125,0.0,762.4083975763909,177.78586,0.7436927855014801,7.1101685,4,523.9784739017487,0.13580063
523,0.09987375,0.009084758,125564,283.0,0.0,740.9301376265637,171.96463,0.750115156173706,7.0545516,5,528.3257627487183,0.09987375
527,0.114154756,0.0087935245,126641,276.925,0.0,730.1868354828584,170.22734,0.9087495505809784,7.0674305,4,532.700820684433,0.114154756
530,0.11811099,0.008508093,127422,275.2,0.0,732.0803232114129,171.18524,0.8617520034313202,7.069689,3,537.1112446784973,0.11811099
533,0.13684501,0.008926744,128466,271.175,0.0,726.5404137252324,168.43661,0.8011212646961212,7.0695662,3,541.4972898960114,0.13684501
536,0.103495024,0.009410871,129460,275.225,0.0,739.6724776463499,170.52248,0.8799630552530289,7.0615406,3,545.8621320724487,0.103495024
540,0.10583502,0.009036839,130507,275.7,0.0,738.5682965365608,169.73698,0.8538246601819992,7.054994,4,550.2277128696442,0.10583502
542,0.11135125,0.008275991,131547,286.075,0.0,770.6924892747868,178.09341,0.7032144069671631,7.0552964,2,554.5674116611481,0.11135125
546,0.11678553,0.010343609,132500,284.2,0.0,761.6214937773453,174.13425,0.8484955728054047,7.0709844,4,558.9346978664398,0.11678553
550,0.11430748,0.008556398,133647,287.075,0.0,775.9715086579182,176.48845,0.8284444659948349,7.062941,4,563.2821033000946,0.11430748
553,0.09886563,0.0088258255,134579,286.275,0.0,780.5857798848356,177.53633,0.7763542383909225,7.028487,3,567.6175446510315,0.09886563
556,0.13213234,0.008889629,135735,291.1,0.0,800.7701003722414,180.46976,0.8381137251853943,7.0260587,3,571.9566407203674,0.13213234
560,0.11146012,0.009405032,136740,293.375,0.0,811.6590623128777,181.29166,0.8940951526165009,7.0234513,4,576.3122453689575,0.11146012
564,0.104605965,0.008855947,137875,303.375,0.0,847.8157188581035,190.93024,0.9214742630720139,6.995609,4,580.6479880809784,0.104605965
566,0.17136815,0.0099850595,138646,305.925,0.0,866.273184371196,195.76628,0.8058768510818481,6.972182,2,584.9793758392334,0.17136815
570,0.123004444,0.009270358,139480,301.45,0.0,852.7333788113792,192.58377,0.9314617961645126,6.9461017,4,589.3326840400696,0.123004444
573,0.10667203,0.009209012,140486,300.5,0.0,846.8938403975608,191.49446,0.8857784643769264,6.950255,3,593.70676445961,0.10667203
576,0.11592421,0.008734365,141516,301.4,0.0,856.2046602811915,194.14194,0.8689172267913818,6.9724293,3,598.0310792922974,0.11592421
577,0.14040676,0.008954043,141723,295.55,0.0,836.859681378262,189.84332,0.6687725186347961,6.952213,1,602.3522481918335,0.14040676
580,0.1143796,0.008682802,142987,312.0,0.0,883.6737992120161,200.48164,0.7551136314868927,6.8914194,3,606.7247784137726,0.1143796
583,0.100642025,0.009196494,144004,305.6,0.0,862.443245493947,195.0238,0.7524869441986084,6.908979,3,611.0447916984558,0.100642025
586,0.09969209,0.008948136,144959,311.475,0.0,882.0280883274456,200.39641,0.8503685742616653,6.8937244,3,615.3899924755096,0.09969209
590,0.09860087,0.0089196805,145831,304.6,0.0,860.5815933373797,195.31702,0.907331183552742,6.895155,4,619.720983505249,0.09860087
591,0.09574388,0.008637218,146831,320.95,0.0,889.0378704947791,199.41586,-0.021731972694396973,6.9166117,1,624.1009418964386,0.09574388
594,0.110802814,0.0091763185,147601,315.25,0.0,877.0127973524719,196.1589,0.8801803588867188,6.918156,3,628.4266245365143,0.110802814
598,0.111505195,0.009603616,149065,319.65,0.0,896.0160513404044,199.59055,0.7967013567686081,6.9209123,4,632.823844909668,0.111505195
600,0.10150692,0.008482349,149708,324.2,0.0,909.589778085818,202.54688,0.9248237907886505,6.9376836,2,637.1765143871307,0.10150692
603,0.09905119,0.008453353,150769,328.0,0.0,907.6091817626697,199.7408,0.7875781804323196,6.9373775,3,641.5231611728668,0.09905119
607,0.09834896,0.008906873,152021,330.1,0.0,912.8410464560969,198.72672,0.9039034992456436,6.9149795,4,645.8751938343048,0.09834896
610,0.108660355,0.009053272,153254,344.35,0.0,955.1992108569532,205.51973,0.8735658079385757,6.896196,3,650.2536218166351,0.108660355
614,0.11674884,0.009329445,154775,347.75,0.0,960.3073921232663,204.62904,0.867995098233223,6.9235272,4,654.5799460411072,0.11674884
619,0.10510228,0.010256892,155983,337.6,0.0,938.8705305287855,196.09244,0.8461440056562424,6.91429,5,658.9199340343475,0.10510228
623,0.09978521,0.009093296,157051,326.175,0.0,922.8743007411788,191.8071,0.9000815972685814,6.894671,4,663.2737212181091,0.09978521
628,0.13841534,0.0103247445,158108,318.175,0.0,899.9433999543023,184.94722,0.8524446785449982,6.878066,5,667.5970757007599,0.13841534
631,0.11272787,0.00941942,159082,306.275,0.0,882.416572532883,181.78372,0.7864918857812881,6.8784657,3,671.9461052417755,0.11272787
635,0.11413354,0.009553671,160013,287.925,0.0,822.4955117598195,167.85999,0.8466893434524536,6.8577127,4,676.3178884983063,0.11413354
638,0.114318855,0.009391785,161184,302.975,0.0,868.4928940304169,176.29807,0.7914616763591766,6.861756,3,680.6740345954895,0.114318855
640,0.1057366,0.008891907,162588,322.0,0.0,922.9407482234861,185.29536,0.8027810603380203,6.8383822,2,684.9927372932434,0.1057366
644,0.0921132,0.009497553,163842,316.45,0.0,921.5447834841237,184.29414,0.881769485771656,6.741943,4,689.320827960968,0.0921132
646,0.110855676,0.009719688,164661,323.9,0.0,951.6750484310021,189.64035,0.8263809829950333,6.7415776,2,693.6363451480865,0.110855676
649,0.11608759,0.009746687,165704,317.275,0.0,932.0532353510287,186.13603,0.7265062034130096,6.7217546,3,697.9347689151764,0.11608759
652,0.10238014,0.009229396,166791,313.175,0.0,934.7803213987718,187.48276,0.8682279586791992,6.6899276,3,702.2209146022797,0.10238014
654,0.12373721,0.0094628,167869,327.35,0.0,970.9130513877775,193.25476,0.7182354629039764,6.7143383,2,706.5239315032959,0.12373721
658,0.113843784,0.01027332,168967,329.85,0.0,974.87644941029,192.87996,0.9153862595558167,6.7036734,4,710.8138077259064,0.113843784
661,0.12629272,0.0091794,170283,342.425,0.0,1012.361768003973,201.3292,0.8644219487905502,6.6901197,3,715.1253070831299,0.12629272
664,0.13938534,0.009853303,171310,352.225,0.0,1052.3339271697755,210.28604,0.8772968873381615,6.6715527,3,719.4218187332153,0.13938534
667,0.1152516,0.010776245,172084,353.825,0.0,1056.7879007269726,209.13834,0.9017015174031258,6.6576676,3,723.7125804424286,0.1152516
669,0.12849353,0.010146038,173006,364.5,0.0,1083.947022702184,213.3483,0.7552932947874069,6.592388,2,728.0762577056885,0.12849353
672,0.10651089,0.010922428,173944,366.35,0.0,1094.8456454546679,215.1152,0.885070338845253,6.607976,3,732.3916795253754,0.10651089
674,0.1099255,0.010766177,174447,366.475,0.0,1097.9557266606314,215.18198,0.8914541602134705,6.566941,2,736.6877794265747,0.1099255
677,0.10148828,0.009964209,175216,365.075,0.0,1087.336409416069,211.77751,0.8965699970722198,6.5680723,3,741.0155811309814,0.10148828
680,0.11717667,0.009281984,176055,336.675,0.0,1012.2019554561251,199.3411,0.7488624155521393,6.5699654,3,745.3668057918549,0.11717667
682,0.11406903,0.010784574,177380,352.625,0.0,1069.8241506271395,212.06172,0.8479475975036621,6.545533,2,749.7013559341431,0.11406903
685,0.107977,0.009696507,178464,355.15,0.0,1081.499679697972,213.31332,0.9014254286885262,6.5463305,3,754.0378549098969,0.107977
688,0.11795874,0.010030329,179619,360.25,0.0,1110.219995860578,218.98433,0.8437755405902863,6.5300727,3,758.3601040840149,0.11795874
691,0.10914599,0.0086302925,180624,355.875,0.0,1091.3408034605552,213.45259,0.9165280982851982,6.54236,3,762.7028911113739,0.10914599
694,0.09789534,0.009381637,181732,346.575,0.0,1066.3829665768626,207.30673,0.8958847224712372,6.5200195,3,767.010087966919,0.09789534
697,0.10033396,0.008870541,182691,350.375,0.0,1081.4061808289887,208.98984,0.8935370296239853,6.4837503,3,771.3792827129364,0.10033396
699,0.10333206,0.00928148,183252,341.45,0.0,1058.9712604504919,203.75635,0.8741697669029236,6.4321885,2,775.6791081428528,0.10333206
702,0.12391954,0.009765867,184416,342.675,0.0,1056.3053914320203,199.37248,0.8269268870353699,6.398865,3,780.0610976219177,0.12391954
704,0.111403406,0.009547392,185059,343.725,0.0,1057.3662570989313,198.99191,0.7917763441801071,6.397461,2,784.4119699001312,0.111403406
705,0.11259235,0.008933013,185941,357.525,0.0,1098.701481244796,207.47002,0.85817451775074,6.37384,1,788.7662916183472,0.11259235
706,0.087100655,0.010044815,186409,363.125,0.0,1096.8469923985642,207.09622,0.8373301923274994,6.3384395,1,793.1001658439636,0.087100655
709,0.11512047,0.009695055,188049,376.075,0.0,1153.0531623121994,220.80875,0.9090156406164169,6.351089,3,797.4017689228058,0.11512047
710,0.13413146,0.0107938005,188691,382.5,0.0,1170.701977233813,225.09439,0.8505201637744904,6.341731,1,801.7157001495361,0.13413146
713,0.13381213,0.0104227215,189822,388.225,0.0,1186.4280930665122,227.36324,0.9196301400661469,6.3400283,3,806.0026791095734,0.13381213
714,0.13662317,0.009297267,190533,402.15,0.0,1230.2083879494296,235.6562,0.8638141453266144,6.305283,1,810.3241591453552,0.13662317
715,0.11779019,0.009367188,190865,404.125,0.0,1240.8965379005826,237.27495,0.5678876638412476,6.264408,1,814.6237490177155,0.11779019
717,0.10922943,0.009972628,191663,411.175,0.0,1262.997207042617,241.54941,0.7716296166181564,6.2574315,2,818.9016542434692,0.10922943
718,0.119653255,0.009743952,192407,422.7,0.0,1295.756680618861,247.72136,0.8153301179409027,6.2733145,1,823.1974949836731,0.119653255
