TimestepsSoFar,entropy,EpThisIter,EpRewMean,EpisodesSoFar,meankl,entloss,EpLenMean,ev_tdlam_before,TimeElapsed,EpTrueRewMean,surrgain,optimgain
3024,24.126785,45,18.60651,45,0.007240423,0.0,22.4,0.5848332345485687,7.20604681968689,106.39928717427684,0.13258614,0.13258614
6129,24.135319,42,14.932155,87,0.0072711157,0.0,24.625,0.34343063831329346,13.447060108184814,115.53260092422815,0.16783702,0.16783702
9192,24.119217,38,14.452204,125,0.0072084377,0.0,26.925,0.3687911629676819,19.645903825759888,127.71725254333346,0.1660733,0.1660733
12324,24.124104,33,17.066128,158,0.007332354,0.0,30.625,0.48567914962768555,25.91743564605713,144.90409771149507,0.14097914,0.14097914
15483,24.048586,34,16.644257,192,0.0071482398,0.0,31.8,0.35411208868026733,32.25528645515442,150.02742372793023,0.1545403,0.1545403
18489,24.039326,30,16.879345,222,0.0075191646,0.0,31.85,0.5491856336593628,38.5682258605957,150.02792376834753,0.16854697,0.16854697
21600,24.046146,24,25.005402,246,0.0075376956,0.0,39.6,0.39657437801361084,44.93679618835449,187.605248023504,0.1640935,0.1640935
24726,24.015545,22,30.59079,268,0.007595267,0.0,45.075,0.5390343368053436,51.38016963005066,216.50796643034224,0.1641327,0.1641327
27792,23.994205,25,29.619516,293,0.0075439727,0.0,42.9,0.41901302337646484,57.64247179031372,208.2624301711688,0.18375957,0.18375957
30846,23.995852,21,31.762716,314,0.0074433573,0.0,44.3,0.4941226840019226,64.0032114982605,212.9192948658555,0.16208059,0.16208059
33960,23.958982,20,39.41931,334,0.007682347,0.0,50.2,0.5542380511760712,70.51998472213745,239.65651586737303,0.16079454,0.16079454
36888,23.926739,17,42.634087,351,0.0076643396,0.0,53.75,0.5180847942829132,76.97018218040466,255.16120391547497,0.16706815,0.16706815
39957,23.890072,18,44.86373,369,0.008076706,0.0,57.875,0.5517473220825195,83.35068011283875,279.1179121247116,0.18179733,0.18179733
43014,23.870136,17,43.213253,386,0.008510803,0.0,58.325,0.6255744099617004,89.77478766441345,284.68093430405827,0.17225862,0.17225862
46077,23.833088,16,44.52049,402,0.008241159,0.0,62.55,0.5941978096961975,96.23529243469238,308.39010576032626,0.1735006,0.1735006
49290,23.807684,17,44.82721,419,0.008290277,0.0,62.625,0.5711270570755005,102.67516541481018,306.1213852588363,0.20549823,0.20549823
52311,23.782248,14,45.35661,433,0.008829284,0.0,64.7,0.7357838153839111,109.05916142463684,313.2092974391271,0.1856265,0.1856265
55278,23.769205,17,45.924152,450,0.009072027,0.0,64.05,0.6007680892944336,115.52396941184998,316.5509670492303,0.1852157,0.1852157
58389,23.765871,16,44.069744,466,0.009843077,0.0,64.1,0.7897751182317734,121.96569514274597,315.5961732496074,0.18434323,0.18434323
61605,23.75651,15,45.342266,481,0.008353589,0.0,65.325,0.6249370872974396,128.33313989639282,320.8631537675918,0.21427557,0.21427557
64812,23.750727,17,45.53316,498,0.008260386,0.0,66.575,0.7820073217153549,134.70551180839539,326.4222984585844,0.17939925,0.17939925
67920,23.748701,15,42.672356,513,0.009520306,0.0,65.275,0.7865919321775436,141.1474630832672,319.60750194425634,0.21150942,0.21150942
71049,23.737871,16,41.402306,529,0.009018137,0.0,65.175,0.7607763111591339,147.68737149238586,319.4640274483198,0.21880174,0.21880174
74112,23.741049,14,47.34078,543,0.009582842,0.0,69.3,0.7486890256404877,154.1477632522583,337.9647959405103,0.19580866,0.19580866
77019,23.758055,15,46.242928,558,0.008594397,0.0,68.2,0.558461457490921,160.60305094718933,331.2069918024114,0.18110201,0.18110201
80241,23.758137,14,50.291183,572,0.008986176,0.0,71.725,0.7449356317520142,167.09611797332764,349.6859833385135,0.18414609,0.18414609
83358,23.728777,16,43.68469,588,0.009103217,0.0,67.875,0.6854288578033447,173.60407733917236,332.25852423515505,0.17787811,0.17787811
86256,23.747381,12,48.320107,600,0.010168003,0.0,72.9,0.7396673858165741,180.152446269989,357.3071137438812,0.20389193,0.20389193
89403,23.733335,14,46.17565,614,0.009210357,0.0,72.6,0.7624548971652985,186.59689903259277,358.27187991963876,0.20731503,0.20731503
92553,23.74896,15,46.040314,629,0.009363564,0.0,74.1,0.7282734513282776,193.16046500205994,364.5076373478445,0.24973845,0.24973845
95841,23.7278,14,47.016747,643,0.009391675,0.0,74.15,0.7280378341674805,199.69032335281372,364.6398225889823,0.19399253,0.19399253
98862,23.726255,14,51.77677,657,0.010011077,0.0,73.7,0.7550671398639679,206.1220359802246,361.40370301528856,0.2312072,0.2312072
101826,23.729498,14,50.34951,671,0.008861711,0.0,72.25,0.7355238199234009,212.5283646583557,354.370318212598,0.18613899,0.18613899
104958,23.684893,15,48.344723,686,0.009429308,0.0,70.3,0.7716158628463745,218.97638487815857,346.74369059988044,0.24813926,0.24813926
107991,23.700682,14,48.20031,700,0.009537099,0.0,69.925,0.8192199766635895,225.5233771800995,348.3175739038659,0.23015618,0.23015618
111126,23.666685,15,48.773155,715,0.01051068,0.0,70.525,0.7649200856685638,231.97724056243896,349.1167613144068,0.21072966,0.21072966
114120,23.670393,15,43.185627,730,0.008750005,0.0,67.95,0.7674182504415512,238.4943540096283,335.1029797668663,0.2036632,0.2036632
117204,23.666914,14,43.737385,744,0.009518876,0.0,70.9,0.8128521591424942,245.01807856559753,346.4832609490943,0.20042393,0.20042393
120336,23.66699,15,41.444702,759,0.009992721,0.0,70.725,0.6422546803951263,251.57215523719788,350.9439220393382,0.21909656,0.21909656
123252,23.67043,11,44.83236,770,0.010647838,0.0,76.1,0.8038018643856049,258.0814414024353,375.78449494655723,0.25416198,0.25416198
126144,23.70135,14,43.165936,784,0.009823815,0.0,74.5,0.7061510682106018,264.60184478759766,370.69946772629055,0.23163596,0.23163596
129213,23.695478,12,46.058315,796,0.010507032,0.0,79.6,0.7407601475715637,271.079660654068,393.1801118285336,0.2865739,0.2865739
