entloss,TimeElapsed,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,surrgain,TimestepsSoFar,EpThisIter,meankl,optimgain,EpTrueRewMean,entropy
0.0,1258.0222878456116,2636,106.025,0.8584703952074051,72.17747,0.15121922,594519,10,0.0037615271,0.15121922,543.5834159139604,23.408869
0.0,1264.7004008293152,2645,101.925,0.8566622138023376,71.577255,0.14543849,597540,9,0.003907727,0.14543849,517.7106724984598,23.411211
0.0,1271.1552500724792,2655,101.85,0.8785873576998711,70.65382,0.14620525,600387,10,0.0038903607,0.14620525,523.8100551906707,23.409113
0.0,1277.7502014636993,2664,106.475,0.8277505338191986,74.85732,0.34159535,603621,9,0.013406142,0.34159535,542.9960053490761,23.414312
0.0,1284.2345654964447,2674,104.325,0.8711726516485214,71.20268,0.31883532,606468,10,0.01453438,0.31883532,534.5292223099159,23.414066
0.0,1290.7990171909332,2684,103.0,0.8514675945043564,69.94271,0.2835621,609675,10,0.013711765,0.2835621,522.457037191796,23.416506
0.0,1297.3641662597656,2694,106.15,0.900068461894989,72.97508,0.14053619,612924,10,0.0038885274,0.14053619,533.78364307465,23.411642
0.0,1303.982524394989,2704,102.375,0.8619122356176376,69.83501,0.25953454,615906,10,0.014052122,0.25953454,514.5608946589442,23.419939
0.0,1310.6763508319855,2714,102.775,0.8675405979156494,69.91956,0.25926673,618801,10,0.013175379,0.25926673,513.4272754594662,23.423098
0.0,1317.658463716507,2723,103.375,0.7342598736286163,70.40547,0.3549004,621711,9,0.014270153,0.3549004,521.7806482569594,23.420084
0.0,1324.4421463012695,2734,99.625,0.8999423086643219,67.6782,0.30659232,624879,11,0.0145051805,0.30659232,507.4227001941208,23.41618
0.0,1331.11754488945,2743,102.65,0.829518124461174,68.1931,0.27296153,627945,9,0.014818244,0.27296153,527.7996364022508,23.411379
0.0,1337.9188160896301,2754,101.85,0.8391057252883911,67.26042,0.29840124,631023,11,0.0141132455,0.29840124,522.5824350115993,23.414862
0.0,1344.6802926063538,2764,100.05,0.8494733273983002,65.83819,0.27611998,634038,10,0.01323585,0.27611998,508.6928162637635,23.415365
0.0,1351.3823492527008,2774,102.125,0.8659709542989731,66.485985,0.28375256,637134,10,0.01440847,0.28375256,517.7043357068118,23.41266
0.0,1358.0816297531128,2785,98.55,0.8915774002671242,64.5075,0.28727853,640422,11,0.014709133,0.28727853,496.20742511093266,23.409357
0.0,1364.6557383537292,2795,101.0,0.8806157410144806,66.51622,0.16593522,643461,10,0.0038550782,0.16593522,508.2604474672582,23.40943
0.0,1371.4216532707214,2806,100.225,0.8347135633230209,64.099464,0.3024124,646677,11,0.014756056,0.3024124,502.88707955258997,23.406
0.0,1378.0512161254883,2817,98.025,0.8205079287290573,62.275654,0.31689626,649914,11,0.013689035,0.31689626,488.6276802531489,23.408468
0.0,1384.7035539150238,2827,98.725,0.8473909944295883,64.579315,0.28410465,653118,10,0.014587399,0.28410465,490.7026773981247,23.405743
