EpThisIter,EpLenMean,EpTrueRewMean,TimeElapsed,optimgain,entropy,entloss,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,EpRewMean
6,172.45,172.45,880.2428283691406,0.008292228,0.4952351,0.0,0.008292228,0.008524967,0.0010990500450134277,189321,1101,240.5669
7,171.625,171.625,885.117213010788,0.02107795,0.49008447,0.0,0.02107795,0.009727916,0.013730287551879883,190456,1108,262.82983
6,170.7,170.7,889.4725301265717,0.011125586,0.4949314,0.0,0.011125586,0.0062658824,0.27631258964538574,191409,1114,269.10602
6,172.1,172.1,893.657509803772,0.0063966354,0.49394047,0.0,0.0063966354,0.006125058,0.4679182171821594,192465,1120,254.90305
6,169.95,169.95,897.7746093273163,0.01227772,0.495537,0.0,0.01227772,0.0075155674,0.44231486320495605,193479,1126,244.9465
6,168.825,168.825,901.6991062164307,0.013085428,0.49302685,0.0,0.013085428,0.005999552,0.49055707454681396,194548,1132,209.8357
5,170.825,170.825,906.3849158287048,0.0029114261,0.48242044,0.0,0.0029114261,0.0049675973,0.48673009872436523,195436,1137,178.2492
6,172.225,172.225,911.4158644676208,0.0051272362,0.45851988,0.0,0.0051272362,0.0062165596,0.43903839588165283,196569,1143,154.86008
5,176.525,176.525,915.4525244235992,0.011413867,0.4758749,0.0,0.011413867,0.007565285,0.37179845571517944,197517,1148,138.03606
6,180.425,180.425,919.6375463008881,0.009010078,0.45622206,0.0,0.009010078,0.0060961237,0.35081326961517334,198626,1154,126.93044
5,183.45,183.45,924.028697013855,0.008822454,0.4710325,0.0,0.008822454,0.0048934864,0.13928544521331787,199605,1159,127.57768
5,187.35,187.35,928.6175608634949,0.0152172875,0.4877564,0.0,0.0152172875,0.00811422,0.28598570823669434,200605,1164,133.16545
5,190.025,190.025,933.2352409362793,0.009091192,0.51663935,0.0,0.009091192,0.007497634,0.3593463897705078,201605,1169,140.35709
5,191.425,191.425,938.0117044448853,0.010065755,0.48368594,0.0,0.010065755,0.007668702,0.3074958920478821,202605,1174,145.22672
5,194.775,194.775,942.5436909198761,0.006930869,0.4882192,0.0,0.006930869,0.008600621,0.3401945233345032,203605,1179,154.40254
5,197.025,197.025,946.7163393497467,0.009798866,0.5433383,0.0,0.009798866,0.008459382,0.35733598470687866,204605,1184,159.50354
6,198.75,198.75,952.0852980613708,0.011159248,0.5544675,0.0,0.011159248,0.010284758,0.38021421432495117,205805,1190,163.0848
5,197.45,197.45,956.8023400306702,0.01068693,0.5248668,0.0,0.01068693,0.008018259,0.2838096618652344,206722,1195,162.89255
5,197.925,197.925,961.7485489845276,0.007276493,0.514871,0.0,0.007276493,0.007320011,0.31315821409225464,207722,1200,158.39896
5,197.925,197.925,966.0960602760315,0.0130019775,0.55739176,0.0,0.0130019775,0.008810875,0.18919044733047485,208722,1205,150.59537
