EpRewMean,surrgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,entloss,TimeElapsed,meankl,TimestepsSoFar,entropy
39.849598,0.078359395,0.9556231833994389,6,292,0.078359395,221.4,383.85326138740163,0.0,1025.1738295555115,0.0064848517,124458,7.890708
38.603367,0.09156493,0.9345149174332619,5,297,0.09156493,213.425,379.8222257485025,0.0,1050.2368233203888,0.0076297745,127485,7.895249
37.962067,0.097129695,0.9658403769135475,5,302,0.097129695,213.35,381.20896353595947,0.0,1076.656592130661,0.007862841,130740,7.8784184
37.79143,0.104735434,0.9249286204576492,5,307,0.104735434,213.45,383.1976154907613,0.0,1102.3906025886536,0.0076377625,133785,7.8931875
38.1524,0.10264294,0.9385942742228508,5,312,0.10264294,215.6,391.48987353973826,0.0,1128.4774231910706,0.007352815,137046,7.8795547
38.566216,0.08658748,0.9393515512347221,3,315,0.08658748,215.775,403.7969732163441,0.0,1153.1123883724213,0.00816366,139917,7.876385
38.555206,0.14815272,0.7290489077568054,4,319,0.14815272,216.05,408.42069852897026,0.0,1179.7448410987854,0.0070213964,142569,7.865894
37.99528,0.10142794,0.9205882772803307,5,324,0.10142794,214.7,407.1399759142869,0.0,1205.495523929596,0.007557681,145710,7.855706
39.010494,0.11542751,0.7765997648239136,5,329,0.11542751,220.675,419.9720373629656,0.0,1231.446171283722,0.007996859,149253,7.847344
39.779152,0.10367441,0.9235176518559456,4,333,0.10367441,225.275,426.9571018933405,0.0,1255.77449965477,0.0078083277,151965,7.85212
39.395744,0.16341786,0.8543653935194016,5,338,0.16341786,226.8,423.0471283540369,0.0,1282.275960445404,0.007907218,155334,7.8535852
40.51832,0.11468977,0.8563980162143707,6,344,0.11468977,224.35,427.9241225958278,0.0,1307.6688735485077,0.0077710305,158892,7.8476944
39.902153,0.08142932,0.8834785521030426,5,349,0.08142932,225.45,429.12258434742273,0.0,1333.4729719161987,0.0073569445,162102,7.8437643
38.498055,0.10261336,0.8582386076450348,5,354,0.10261336,218.975,410.3138680143702,0.0,1358.1349806785583,0.0077859256,164901,7.8443065
38.429535,0.08991693,0.7857833951711655,5,359,0.08991693,213.05,402.4395368782972,0.0,1384.62965965271,0.0071836226,168135,7.8449254
40.145226,0.11694057,0.8680983483791351,5,364,0.11694057,212.6,409.97901840785187,0.0,1409.5488305091858,0.008201103,171222,7.855121
39.680824,0.13213152,0.785479411482811,5,369,0.13213152,207.8,399.5734672718685,0.0,1435.78000998497,0.007285532,174189,7.8515244
38.920692,0.07980956,0.9173715114593506,5,374,0.07980956,208.45,399.20591959678893,0.0,1460.2185928821564,0.007189723,177393,7.84407
42.315647,0.13853855,0.6733303070068359,4,378,0.13853855,210.325,408.09011909818685,0.0,1486.9513828754425,0.0069097155,180573,7.8249707
46.70259,0.10353365,0.7498428523540497,5,383,0.10353365,217.8,428.3069676496249,0.0,1512.1084237098694,0.0078247115,184302,7.81102
48.647392,0.080585495,0.8392952084541321,4,387,0.080585495,216.75,433.5788944527083,0.0,1538.698537826538,0.0072608273,186921,7.824791
54.3662,0.11095059,0.7859055697917938,4,391,0.11095059,223.2,460.65806600265734,0.0,1563.1589133739471,0.007274008,190035,7.829025
59.770184,0.08727151,0.8290092349052429,4,395,0.08727151,231.575,481.44233289584844,0.0,1590.0632469654083,0.0074400445,193284,7.815396
65.27206,0.100457326,0.8695195764303207,4,399,0.100457326,237.25,502.9741392578536,0.0,1615.1419293880463,0.008385192,196605,7.822334
67.78308,0.094164684,0.8553591966629028,4,403,0.094164684,246.325,518.2032522785879,0.0,1641.3082032203674,0.008357068,200151,7.8048706
71.866165,0.089406945,0.8776376247406006,2,405,0.089406945,255.525,540.8989607281255,0.0,1665.5283463001251,0.008013387,202488,7.8023343
75.42191,0.10048499,0.7618658244609833,3,408,0.10048499,262.2,563.1025904254757,0.0,1691.9389307498932,0.007252064,205107,7.808574
79.39022,0.08629526,0.8006313741207123,4,412,0.08629526,267.45,590.8503912137169,0.0,1717.4168481826782,0.007386245,208134,7.80547
83.78814,0.12406248,0.8048758804798126,2,414,0.12406248,273.975,612.8120626077377,0.0,1743.276170015335,0.007884731,210270,7.801713
80.36037,0.101556405,0.8431816250085831,5,419,0.101556405,267.2,601.4602900045804,0.0,1768.2818858623505,0.007980851,213429,7.7909236
82.79649,0.094320685,0.6617950201034546,3,422,0.094320685,280.325,629.5777208511024,0.0,1794.7362627983093,0.007499025,217224,7.8004007
83.046585,0.10527815,0.8714923560619354,3,425,0.10527815,285.275,639.6853206233302,0.0,1820.333627462387,0.0074570794,219882,7.7992544
83.69856,0.08700592,0.7415326833724976,3,428,0.08700592,292.325,647.9903269712202,0.0,1846.2513842582703,0.007724609,222606,7.784146
84.48488,0.089776635,0.8574590981006622,3,431,0.089776635,299.775,671.8214719833402,0.0,1871.2168321609497,0.00781927,226008,7.779301
84.465836,0.0974199,0.8372834622859955,3,434,0.0974199,306.75,691.1457311917957,0.0,1897.0686764717102,0.0070422483,229383,7.7787404
85.30282,0.0906414,0.6856959164142609,3,437,0.0906414,310.975,705.4605522247425,0.0,1922.700183391571,0.008174489,232377,7.7573056
86.9294,0.08976567,0.8630783408880234,2,439,0.08976567,314.375,722.9360042818562,0.0,1948.5964047908783,0.0074146204,234330,7.7529073
89.97603,0.10019757,0.8665473461151123,2,441,0.10019757,324.45,745.3821271265836,0.0,1973.2810921669006,0.007927625,237147,7.73986
86.67633,0.09062162,0.8807512819766998,3,444,0.09062162,317.3,733.6895490234205,0.0,1999.6357290744781,0.008479858,239844,7.7447324
86.44878,0.11221357,0.8524588197469711,3,447,0.11221357,317.275,739.7778548941363,0.0,2024.4648382663727,0.0079736225,242523,7.728454
86.144615,0.09746186,0.9208620339632034,4,451,0.09746186,316.0,731.9768290565898,0.0,2050.6997356414795,0.008099316,245424,7.724984
85.22345,0.09015606,0.8172926306724548,3,454,0.09015606,317.45,738.3987476234428,0.0,2075.340440273285,0.008319756,248364,7.720809
88.219215,0.092929006,0.8708707690238953,3,457,0.092929006,322.775,753.4318935208006,0.0,2101.55197429657,0.0075480696,250911,7.7251215
