TimeElapsed,surrgain,EpLenMean,EpTrueRewMean,entloss,EpThisIter,meankl,optimgain,entropy,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before
1909.2726562023163,0.16144286,599.425,2027.1356741316304,0.0,1,0.012794355,0.16144286,6.1271358,354.51407,450794,1186,0.8456401973962784
1913.5432124137878,0.12101029,618.125,2097.451550566522,0.0,2,0.014250314,0.12101029,6.124042,364.78113,452447,1188,0.8540511131286621
1917.83966588974,0.1779787,626.825,2131.9761689763445,0.0,1,0.013800293,0.1779787,6.1355543,369.59628,453059,1189,0.9156546294689178
1922.0948777198792,0.12025332,638.2,2174.9284528076205,0.0,1,0.011800135,0.12025332,6.140336,375.5316,453990,1190,0.9378022477030754
1926.33833193779,0.12245864,639.325,2174.9234329444553,0.0,1,0.012774347,0.12245864,6.1997676,374.6845,454575,1191,0.919320859014988
1930.5899996757507,0.12116901,650.0,2209.795205569092,0.0,2,0.012516646,0.12116901,6.2236986,380.5468,455673,1193,0.9552185125648975
1934.8028185367584,0.0840432,650.0,2222.6475747732256,0.0,1,0.011643516,0.0840432,6.263912,380.72873,456673,1194,0.04881030321121216
1939.0530652999878,0.10449655,657.825,2251.419722917371,0.0,3,0.014350991,0.10449655,6.2329054,384.1107,458517,1197,0.7272749543190002
1943.369733095169,0.13296947,652.775,2216.130234342364,0.0,1,0.013676115,0.13296947,6.2676954,380.6822,459315,1198,0.8677342385053635
1947.727685213089,0.12704886,651.65,2207.8388786442874,0.0,1,0.013629954,0.12704886,6.223506,378.93707,459675,1199,0.6931222081184387
1952.022570848465,0.08107385,651.65,2170.179069134083,0.0,1,0.012687823,0.08107385,6.186462,377.337,460675,1200,-0.00590205192565918
1956.339103460312,0.12351309,661.625,2219.3354520372086,0.0,1,0.011221649,0.12351309,6.1739655,383.60016,461634,1201,0.9103089347481728
1960.6649448871613,0.12998399,636.225,2124.410871880325,0.0,3,0.012951583,0.12998399,6.15358,370.58414,463003,1204,0.850456178188324
1964.9681811332703,0.09804736,644.575,2152.686246360132,0.0,1,0.013045015,0.09804736,6.093323,375.56433,464003,1205,-0.2612316608428955
