surrgain,optimgain,EpisodesSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpTrueRewMean,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,entloss
0.093785614,0.093785614,363,481.725,7.6773033,573.6445531845093,0.0070585636,888.9871419886861,2,888.9871419886861,300684,0.5173357427120209,0.0
0.091374785,0.091374785,365,498.85,7.6820064,579.5931882858276,0.0071981126,934.7894780926063,2,934.7894780926063,304824,0.7787325978279114,0.0
0.11798968,0.11798968,366,513.125,7.6972194,585.5607717037201,0.008112452,971.3005626835986,1,971.3005626835986,307317,0.897942990064621,0.0
0.12192104,0.12192104,368,501.425,7.701062,591.5318801403046,0.007386786,945.1002644967477,2,945.1002644967477,309771,0.8376763463020325,0.0
0.13348433,0.13348433,370,507.0,7.7210116,597.5378558635712,0.0079513155,957.0717527453771,2,957.0717527453771,313653,0.7086872458457947,0.0
0.09623911,0.09623911,372,492.2,7.714246,603.5580067634583,0.008030793,940.6634594166362,2,940.6634594166362,315447,0.9027926400303841,0.0
0.10564401,0.10564401,374,495.875,7.712753,609.8997910022736,0.008577257,966.405754892679,2,966.405754892679,317556,0.9198035299777985,0.0
0.09975469,0.09975469,375,494.925,7.715817,616.0026569366455,0.008519975,978.8977284882785,1,978.8977284882785,320118,0.8399153053760529,0.0
0.110028476,0.110028476,377,497.225,7.713012,622.0366368293762,0.008342832,992.2466215752972,2,992.2466215752972,323196,0.8866908103227615,0.0
0.12120032,0.12120032,379,485.825,7.71582,628.0827262401581,0.008494828,991.8043699046184,2,991.8043699046184,325848,0.8613436669111252,0.0
0.08032082,0.08032082,381,503.025,7.7274013,634.1281404495239,0.00786502,1034.7112305435094,2,1034.7112305435094,330375,0.7384547293186188,0.0
0.12091552,0.12091552,382,506.225,7.717786,640.1925358772278,0.007798955,1045.6941670124002,1,1045.6941670124002,331638,0.9094234555959702,0.0
0.086275175,0.086275175,385,509.75,7.694409,646.2456016540527,0.007632962,1050.8437899430498,3,1050.8437899430498,334677,0.9200381487607956,0.0
0.08888889,0.08888889,386,518.9,7.6820188,652.328378200531,0.0071628336,1074.4258762620143,1,1074.4258762620143,336282,0.8407995402812958,0.0
0.0964838,0.0964838,387,524.125,7.6834846,658.418016910553,0.007682728,1084.2535962773586,1,1084.2535962773586,339282,0.29221856594085693,0.0
0.092727244,0.092727244,390,520.7,7.6874847,664.6084525585175,0.0077071795,1073.9041071837214,3,1073.9041071837214,343872,0.8798051029443741,0.0
0.11103864,0.11103864,391,523.1,7.6868243,670.9822947978973,0.007791649,1076.6740553470368,1,1076.6740553470368,346434,0.8034423589706421,0.0
0.122527376,0.122527376,394,509.575,7.6850715,677.3291354179382,0.007684369,1046.879118997394,3,1046.879118997394,349641,0.8285063803195953,0.0
0.09684535,0.09684535,396,526.7,7.645065,683.6547644138336,0.008609987,1105.2330141852865,2,1105.2330141852865,354144,0.3911539912223816,0.0
0.09725498,0.09725498,397,535.225,7.6474147,690.0203120708466,0.008318022,1127.0014413684728,1,1127.0014413684728,356415,0.8490778207778931,0.0
0.09828662,0.09828662,398,548.9,7.628051,696.3297634124756,0.0079276925,1152.5206050691252,1,1152.5206050691252,359028,0.8264917582273483,0.0
0.10525069,0.10525069,400,552.375,7.6284146,702.6607716083527,0.008019658,1155.8301927343043,2,1155.8301927343043,362064,0.8283500522375107,0.0
0.0758104,0.0758104,401,570.65,7.633837,708.950278043747,0.00946401,1202.437035228466,1,1202.437035228466,365064,0.0838204026222229,0.0
0.079623476,0.079623476,402,570.65,7.6398444,715.2442350387573,0.007370522,1198.6134650363035,1,1198.6134650363035,368064,0.5231651365756989,0.0
0.1052776,0.1052776,404,567.125,7.6353755,721.5515186786652,0.008014571,1172.0853611029938,2,1172.0853611029938,371568,0.842047393321991,0.0
0.13979414,0.13979414,406,567.45,7.6255364,727.8362407684326,0.008579052,1170.9149068054962,2,1170.9149068054962,375411,0.8394540101289749,0.0
0.109683335,0.109683335,408,573.125,7.630802,734.1643002033234,0.0082628075,1187.563630075591,2,1187.563630075591,378546,0.9090729504823685,0.0
0.11101024,0.11101024,410,569.4,7.604916,740.4569721221924,0.008382431,1180.6644755096975,2,1180.6644755096975,381981,0.9017005637288094,0.0
0.09904658,0.09904658,412,578.975,7.6031365,746.756246805191,0.007540622,1217.745158343524,2,1217.745158343524,384924,0.884799063205719,0.0
0.11773756,0.11773756,414,581.8,7.5868654,753.0946021080017,0.008499459,1230.7706772592032,2,1230.7706772592032,387372,0.7831206917762756,0.0
0.10879058,0.10879058,416,580.0,7.5817256,759.4390294551849,0.00860051,1222.016936763095,2,1222.016936763095,390630,0.8812444508075714,0.0
0.10881058,0.10881058,418,582.625,7.5895233,765.7330090999603,0.008040513,1236.2328973473923,2,1236.2328973473923,394338,0.8779229000210762,0.0
0.09140159,0.09140159,420,566.425,7.5958896,772.0219988822937,0.008727662,1192.5076702397887,2,1192.5076702397887,396819,0.8596594929695129,0.0
0.09960565,0.09960565,423,569.775,7.584244,778.2684180736542,0.008281154,1211.7398482844799,3,1211.7398482844799,400926,0.9108882769942284,0.0
0.10721185,0.10721185,425,579.95,7.588868,784.5106241703033,0.008193413,1242.979181405371,2,1242.979181405371,404271,0.9100004211068153,0.0
0.10089667,0.10089667,427,566.175,7.5910654,790.7867352962494,0.008729452,1233.3889142218454,2,1233.3889142218454,407223,0.8070190995931625,0.0
0.07946806,0.07946806,428,572.0,7.610901,797.0978174209595,0.008588424,1271.8262855674034,1,1271.8262855674034,410223,0.012317299842834473,0.0
0.08378508,0.08378508,429,572.675,7.6008296,803.3958027362823,0.008464726,1276.2133269420726,1,1276.2133269420726,411732,0.8325935304164886,0.0
0.1113731,0.1113731,430,586.625,7.5938106,809.7258348464966,0.010190528,1317.4760818281698,1,1317.4760818281698,414267,0.7673642784357071,0.0
0.10042858,0.10042858,433,594.325,7.5747557,816.0507233142853,0.008355865,1325.1767025417307,3,1325.1767025417307,420075,0.7910023629665375,0.0
0.110112056,0.110112056,434,597.45,7.5809455,822.3751509189606,0.008249902,1339.98673110517,1,1339.98673110517,421335,0.7678618282079697,0.0
0.092524104,0.092524104,436,604.45,7.58302,828.6560316085815,0.0076270485,1358.8889111752287,2,1358.8889111752287,426678,0.5168308913707733,0.0
0.12656954,0.12656954,437,604.125,7.604859,834.9680273532867,0.008975713,1361.2044450430506,1,1361.2044450430506,428910,0.8692966103553772,0.0
0.09947966,0.09947966,440,583.35,7.606384,841.2844665050507,0.008871527,1319.58573679353,3,1319.58573679353,432066,0.8939889520406723,0.0
0.1118759,0.1118759,442,553.6,7.6106114,847.6016449928284,0.009150202,1277.8948582912483,2,1277.8948582912483,434496,0.8436663150787354,0.0
0.11568162,0.11568162,444,549.625,7.5952153,853.9482190608978,0.008399466,1293.5012095289642,2,1293.5012095289642,437523,0.9020106419920921,0.0
0.09704758,0.09704758,447,533.7,7.583495,860.25523853302,0.008335214,1266.5592811152267,3,1266.5592811152267,441201,0.9462593756616116,0.0
0.080418214,0.080418214,448,544.275,7.573136,866.5871987342834,0.008422028,1281.2844405937049,1,1281.2844405937049,443859,0.9402673169970512,0.0
0.108532466,0.108532466,450,545.7,7.558167,872.9081492424011,0.009187818,1296.8416155790005,2,1296.8416155790005,447465,0.8864790871739388,0.0
0.10279368,0.10279368,452,559.375,7.5601964,879.2302882671356,0.008168021,1324.6085030022484,2,1324.6085030022484,452049,0.5984266102313995,0.0
0.124661565,0.124661565,454,562.875,7.551562,885.547384262085,0.010425074,1341.152283908936,2,1341.152283908936,454917,0.9051889181137085,0.0
0.113194264,0.113194264,456,558.25,7.5294833,891.8821840286255,0.009653882,1340.7986116643422,2,1340.7986116643422,457620,0.9090676531195641,0.0
0.10683352,0.10683352,457,559.825,7.527543,898.0870106220245,0.008730786,1360.2488985200685,1,1360.2488985200685,460167,0.8735063374042511,0.0
0.13936852,0.13936852,459,570.425,7.5112467,904.965803861618,0.00874192,1387.791827920379,2,1387.791827920379,463974,0.855303168296814,0.0
0.113743216,0.113743216,460,584.625,7.514343,911.3771424293518,0.010012464,1421.7110511102899,1,1421.7110511102899,466974,0.10622072219848633,0.0
0.09505234,0.09505234,461,575.125,7.5314903,917.6910886764526,0.008319949,1396.264675808717,1,1396.264675808717,467463,0.8282944709062576,0.0
0.08838298,0.08838298,462,585.75,7.539974,923.9525821208954,0.008880212,1429.936067549595,1,1429.936067549595,470463,0.3050246834754944,0.0
0.11359556,0.11359556,464,598.725,7.567745,930.2429959774017,0.0097266985,1470.7484012614027,2,1470.7484012614027,474057,0.7296262383460999,0.0
0.15919971,0.15919971,466,601.625,7.5565643,936.5030755996704,0.008452967,1484.0951809776914,2,1484.0951809776914,477567,0.8432634025812149,0.0
0.10434241,0.10434241,468,582.9,7.550797,942.74649477005,0.009435708,1442.1491125031023,2,1442.1491125031023,480171,0.6769041419029236,0.0
0.14254856,0.14254856,469,585.6,7.553698,949.0112946033478,0.008544098,1457.2516831734451,1,1457.2516831734451,482004,0.7179441452026367,0.0
0.10711579,0.10711579,470,572.6,7.5445547,955.2484242916107,0.009040101,1418.168908369511,1,1418.168908369511,482979,0.7012713253498077,0.0
0.097350255,0.097350255,472,568.35,7.5391226,961.6286227703094,0.0089246165,1432.6229478709247,2,1432.6229478709247,486894,0.8745362311601639,0.0
0.108717486,0.108717486,474,578.875,7.5389557,968.4579093456268,0.009178748,1482.5929682195851,2,1482.5929682195851,490800,0.8184745907783508,0.0
0.11314356,0.11314356,476,575.0,7.548291,974.9957177639008,0.008288726,1467.9671620921708,2,1467.9671620921708,495678,0.864380344748497,0.0
0.110128105,0.110128105,478,573.125,7.5252085,982.0295000076294,0.008814225,1471.9419416746719,2,1471.9419416746719,498738,0.9337060302495956,0.0
0.098367095,0.098367095,481,587.2,7.517335,988.942164182663,0.009137758,1502.9218086953501,3,1502.9218086953501,503391,0.6324975192546844,0.0
0.12423703,0.12423703,482,592.95,7.499447,995.2094969749451,0.008331833,1523.8698426423439,1,1523.8698426423439,505650,0.8395298272371292,0.0
0.10079564,0.10079564,483,607.3,7.482653,1001.5068678855896,0.009079198,1568.471422037185,1,1568.471422037185,508587,0.8992721438407898,0.0
0.11921497,0.11921497,484,608.95,7.4776125,1008.1244785785675,0.008991895,1576.6436344490642,1,1576.6436344490642,510597,0.4309319257736206,0.0
0.14986378,0.14986378,486,615.0,7.465881,1014.4711918830872,0.0079461355,1600.635757478819,2,1600.635757478819,514038,0.7858695983886719,0.0
0.10501537,0.10501537,488,605.6,7.446822,1021.1804168224335,0.009793926,1589.7416819568157,2,1589.7416819568157,516531,0.5666188597679138,0.0
0.10395038,0.10395038,489,605.625,7.439315,1027.9650321006775,0.00980751,1580.3802346246982,1,1580.3802346246982,518871,0.7481464147567749,0.0
0.099346906,0.099346906,491,592.35,7.4128284,1034.5037949085236,0.010067384,1549.7534708468381,2,1549.7534708468381,521547,0.7335053980350494,0.0
0.114510104,0.114510104,492,603.25,7.404313,1040.8849749565125,0.009233924,1591.0708693163663,1,1591.0708693163663,524439,0.8220655918121338,0.0
0.09645562,0.09645562,494,606.725,7.428087,1047.186066865921,0.009193237,1606.6233568013306,2,1606.6233568013306,527724,0.881542444229126,0.0
0.104372576,0.104372576,495,610.65,7.4268794,1053.5232048034668,0.008362252,1608.2829717340362,1,1608.2829717340362,529932,0.8233257234096527,0.0
0.091324866,0.091324866,496,627.6,7.403121,1059.830349445343,0.010564021,1653.8594864381848,1,1653.8594864381848,532932,0.08452486991882324,0.0
0.10813093,0.10813093,498,615.775,7.387879,1066.2019834518433,0.008256394,1635.3961520816113,2,1635.3961520816113,536679,0.840806394815445,0.0
0.079941645,0.079941645,499,630.875,7.3821573,1072.5726962089539,0.00933891,1674.3721801830102,1,1674.3721801830102,539679,0.07886719703674316,0.0
0.10402035,0.10402035,501,640.95,7.3573003,1078.9067316055298,0.0093719615,1718.4322081168916,2,1718.4322081168916,544377,0.8362556397914886,0.0
0.116331175,0.116331175,502,628.675,7.349796,1085.2589302062988,0.009163035,1688.2364637596663,1,1688.2364637596663,545904,0.6690779626369476,0.0
0.10749168,0.10749168,504,626.25,7.343261,1091.6684062480927,0.00929172,1692.6152738476944,2,1692.6152738476944,549207,0.9181725978851318,0.0
0.0938461,0.0938461,505,632.925,7.320634,1098.0028216838837,0.009520575,1713.2178629928717,1,1713.2178629928717,551961,0.843282163143158,0.0
0.06981219,0.06981219,506,622.875,7.319091,1104.3813481330872,0.008317619,1676.4517953916475,1,1676.4517953916475,552312,0.941875483840704,0.0
0.110917315,0.110917315,507,631.125,7.3331256,1110.7160713672638,0.011201528,1700.7018809746755,1,1700.7018809746755,555312,-0.13954448699951172,0.0
0.08792861,0.08792861,509,631.675,7.34288,1117.0497612953186,0.0084422175,1693.1096569642039,2,1693.1096569642039,557805,0.9291867315769196,0.0
0.10516164,0.10516164,511,634.625,7.3558474,1123.4046359062195,0.008700989,1687.7542330363945,2,1687.7542330363945,561588,0.9056310877203941,0.0
0.120439455,0.120439455,512,647.45,7.3704257,1129.739552974701,0.0093760835,1729.7721212131023,1,1729.7721212131023,564588,-0.10026407241821289,0.0
0.102917776,0.102917776,513,654.625,7.3605356,1136.1514201164246,0.008827726,1746.2957175586241,1,1746.2957175586241,567000,0.7631634175777435,0.0
