EpRewMean,entropy,TimeElapsed,optimgain,EpTrueRewMean,EpLenMean,surrgain,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,meankl,entloss,EpThisIter
417.2339,4.2102065,446.45030665397644,0.037998706,819.3589793239349,858.875,0.037998706,323448,-0.15010511875152588,218,0.008279016,0.0,1
416.31992,4.198975,450.6758818626404,0.047527283,819.6528563651489,858.875,0.047527283,326448,0.014397978782653809,219,0.008758597,0.0,1
415.34702,4.2035856,454.9582145214081,0.048317425,819.9248008933479,858.875,0.048317425,329448,-0.00292360782623291,220,0.008002879,0.0,1
415.45697,4.2104564,459.25519490242004,0.056224644,820.0844776669758,858.875,0.056224644,332448,-0.09464514255523682,221,0.007764552,0.0,1
429.46924,4.1951017,463.4899220466614,0.04132804,845.7454041343768,883.35,0.04132804,335448,-0.011647820472717285,222,0.008435415,0.0,1
430.68375,4.203863,467.8104178905487,0.0525503,846.5261432204228,883.35,0.0525503,338448,0.07462799549102783,223,0.0071495837,0.0,1
433.63837,4.2147603,472.1210129261017,0.0671376,853.1165429622815,891.6,0.0671376,341355,-0.13383913040161133,224,0.007491866,0.0,1
425.42838,4.198975,476.4252290725708,0.04743622,836.347698653628,874.925,0.04743622,342354,0.4187561869621277,225,0.009805372,0.0,1
426.50742,4.1784053,480.76469826698303,0.051043354,838.7557892415095,874.925,0.051043354,345354,-0.01753091812133789,226,0.008306507,0.0,1
416.1819,4.1770864,485.04509472846985,0.060914278,815.0155999525163,844.775,0.060914278,347736,0.06241816282272339,228,0.008699257,0.0,2
401.30707,4.186186,489.3506374359131,0.06552842,780.6928029322161,807.925,0.06552842,352314,0.390031099319458,231,0.009868057,0.0,3
402.0561,4.167696,493.6295368671417,0.05427258,781.3753909787024,800.675,0.05427258,357444,-0.04061233997344971,233,0.006950992,0.0,2
404.32758,4.1653423,497.9408390522003,0.052125666,785.8355037586293,800.675,0.052125666,360444,-0.050000667572021484,234,0.008764996,0.0,1
398.42313,4.1702805,502.236852645874,0.055864573,775.6786498434193,788.15,0.055864573,361941,-0.10624289512634277,235,0.006953461,0.0,1
