entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.3165337,56.908913,236067,394.4463616712267,0.012404764,0.8197929561138153,14,523.5568521022797,79.275,0.3165337,1227,23.339579
0.0,0.25876078,57.208656,239223,378.2402967910068,0.012228967,0.7908809632062912,14,530.2532970905304,75.9,0.25876078,1241,23.335772
0.0,0.34895444,58.568665,242340,384.98076398634345,0.01288478,0.8134200274944305,12,536.9731776714325,77.825,0.34895444,1253,23.318441
0.0,0.24288443,61.81941,245292,400.3124152823781,0.010846852,0.8483782857656479,12,543.6724910736084,80.575,0.24288443,1265,23.326658
0.0,0.24547781,62.569923,248154,426.32292171304454,0.012484916,0.8527148365974426,10,550.3568460941315,86.4,0.24547781,1275,23.313494
0.0,0.25722757,65.66437,251229,447.86712036708707,0.011903827,0.8379836231470108,11,557.0278851985931,90.375,0.25722757,1286,23.303448
0.0,0.27780628,64.123024,254214,438.8017149685862,0.011990717,0.8781942203640938,12,563.6555848121643,88.725,0.27780628,1298,23.31053
0.0,0.33180493,59.468445,257331,423.16830392618004,0.0122263525,0.8151021748781204,13,570.2912886142731,85.375,0.33180493,1311,23.309408
0.0,0.2618008,55.491936,260415,406.39835765023673,0.012831695,0.760699138045311,13,577.0055236816406,80.975,0.2618008,1324,23.293192
0.0,0.25169307,54.949593,263430,402.77144239060317,0.012518274,0.8214353024959564,12,583.7441596984863,80.475,0.25169307,1336,23.277754
0.0,0.27475405,55.953682,266418,409.66107669043674,0.013023591,0.8112890273332596,12,590.5499165058136,82.0,0.27475405,1348,23.28752
0.0,0.24550685,55.772938,269610,412.90970194156796,0.011893166,0.8455056846141815,13,597.147696018219,82.525,0.24550685,1361,23.288084
0.0,0.26118124,56.324303,272616,418.12023313708085,0.011868013,0.7810601592063904,12,603.782906293869,83.1,0.26118124,1373,23.284674
0.0,0.26347575,58.941723,275697,425.22416061363174,0.011385243,0.823117196559906,11,610.3933660984039,85.7,0.26347575,1384,23.301737
0.0,0.24900617,61.4959,278598,437.1058995107508,0.013185858,0.8868378773331642,11,617.0337271690369,88.25,0.24900617,1395,23.303791
0.0,0.2662452,59.571033,281823,431.0175463023862,0.013055682,0.8408318161964417,13,623.7995557785034,87.975,0.2662452,1408,23.295717
0.0,0.24146086,57.12306,285024,425.0189476703401,0.012537859,0.8552479892969131,13,630.42999958992,86.05,0.24146086,1421,23.297525
0.0,0.26311377,53.868397,287949,409.6724215439014,0.011691418,0.8557785898447037,12,637.1635358333588,82.675,0.26311377,1433,23.306068
