TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,entloss,EpTrueRewMean,optimgain
567717,836.6802,807.8,796.6332759857178,0.9863450638949871,0.052733675,0.011055442,1,2.0817735,437,0.0,2814.580606530344,0.052733675
572130,840.39294,808.175,801.0269229412079,0.9808027669787407,0.064122155,0.010767393,2,2.0203743,439,0.0,2818.4156872986505,0.064122155
575130,865.9588,829.85,805.3423249721527,-0.011938929557800293,0.049846977,0.011549349,1,1.9745634,440,0.0,2897.811994406248,0.049846977
578130,882.23,847.475,809.7347455024719,0.1797093152999878,0.046358563,0.011227316,1,2.0030482,441,0.0,2955.232558701612,0.046358563
583518,883.0221,847.15,814.1108424663544,0.7661443054676056,0.04402722,0.009750752,2,2.011673,443,0.0,2958.455732546544,0.04402722
586437,891.1752,851.5,818.5086629390717,0.9900293340906501,0.06170454,0.010115767,1,2.0385401,444,0.0,2979.8570295232325,0.06170454
588831,884.60333,846.45,822.8324143886566,0.97331328317523,0.05717542,0.010250958,1,2.0609162,445,0.0,2964.0432733635703,0.05717542
589917,869.65216,830.5,827.1879842281342,0.9891638047993183,0.055764005,0.010859799,1,2.0858767,446,0.0,2913.155531668634,0.055764005
592257,864.4863,826.4,831.603910446167,0.9814419969916344,0.057500787,0.010067215,1,2.0428913,447,0.0,2898.349720903185,0.057500787
595257,869.23694,831.05,835.9295365810394,0.010207831859588623,0.05365961,0.010054218,1,2.1007223,448,0.0,2913.781825335593,0.05365961
601257,868.04065,832.975,840.3271100521088,-0.01832425594329834,0.037274577,0.009881705,2,2.0876455,450,0.0,2916.8234922725396,0.037274577
604257,869.83514,832.975,844.7691495418549,0.9938405519351363,0.053338572,0.010232624,1,2.0345907,451,0.0,2920.6239563486333,0.053338572
607257,884.0096,847.675,849.1770401000977,0.6083559989929199,0.04322444,0.0107406145,1,2.0604897,452,0.0,2969.896019603685,0.04322444
610257,884.9303,847.675,853.5785899162292,0.1341419816017151,0.044882573,0.010209122,1,2.0839403,453,0.0,2972.6170905917106,0.044882573
613236,884.9614,847.5,858.217235326767,0.847322091460228,0.05471977,0.010353648,1,2.046815,454,0.0,2972.9342643210557,0.05471977
614901,877.0656,836.375,862.5469670295715,0.9750958494842052,0.05591385,0.009520082,1,2.0903633,455,0.0,2939.300237240843,0.05591385
617901,878.0568,836.375,867.0388517379761,0.9779599141329527,0.05572837,0.00995165,1,2.0398133,456,0.0,2941.621671895603,0.05572837
622305,888.11035,848.525,871.5515644550323,0.7119806408882141,0.044716515,0.009813316,2,1.9966118,458,0.0,2982.7783323178915,0.044716515
625305,896.44415,858.7,876.0226595401764,0.008924782276153564,0.041025028,0.010491876,1,2.0237398,459,0.0,3016.992734451692,0.041025028
628305,901.6334,865.925,880.545599937439,0.03117203712463379,0.036537226,0.009719973,1,1.9680595,460,0.0,3039.4279776149065,0.036537226
631305,898.3789,865.925,885.0003147125244,0.0003044009208679199,0.047167145,0.010009948,1,1.9797678,461,0.0,3033.732082683353,0.047167145
634305,897.63513,865.925,889.5297610759735,0.05969196557998657,0.04557684,0.010226665,1,1.9883577,462,0.0,3033.709304558359,0.04557684
637305,900.30896,869.75,893.9836356639862,0.11718326807022095,0.038665615,0.010946462,1,1.9812326,463,0.0,3045.0742714788316,0.038665615
640305,899.7884,869.75,898.4514312744141,0.0997551679611206,0.040981576,0.010234001,1,1.9980125,464,0.0,3045.570472885407,0.040981576
643305,900.59827,869.75,902.9422616958618,0.5020532310009003,0.032820553,0.011880018,1,1.971714,465,0.0,3047.577300850395,0.032820553
646215,904.78906,872.85,907.404602766037,0.9932883009314537,0.060392216,0.009893671,1,1.9641908,466,0.0,3058.382860706615,0.060392216
649215,918.0381,884.175,911.8738901615143,-0.0014412403106689453,0.03905135,0.010666797,1,1.9721067,467,0.0,3099.712983237888,0.03905135
649656,902.4211,870.375,916.4066741466522,0.8810943737626076,0.05540573,0.011464912,1,1.9282495,468,0.0,3045.7463938449678,0.05540573
652656,905.46277,874.275,920.8784248828888,-0.02310967445373535,0.037926316,0.010446722,1,1.8979988,469,0.0,3057.9511248711565,0.037926316
656220,886.80585,855.85,925.3119118213654,0.9891547774896026,0.049814917,0.011433642,2,1.8530924,471,0.0,2992.9572060565415,0.049814917
660183,893.8165,864.725,929.7588391304016,0.9479597136378288,0.054192796,0.0095224995,2,1.867733,473,0.0,3021.4028975112556,0.054192796
664044,872.75037,846.9,934.221512556076,0.7085247337818146,0.039823964,0.009689754,2,1.8233196,475,0.0,2959.8285651236715,0.039823964
668334,868.1758,838.475,938.7205085754395,0.9901378061622381,0.05257669,0.0103078,2,1.8796499,477,0.0,2936.4686797728546,0.05257669
671334,871.67267,843.2,943.1743221282959,0.45129895210266113,0.045048445,0.010561797,1,1.8880806,478,0.0,2952.394194412795,0.045048445
674334,876.8551,851.7,947.5996601581573,0.022534966468811035,0.042688575,0.010888118,1,1.8589966,479,0.0,2978.7562275614328,0.042688575
677334,875.21124,851.7,951.9612078666687,0.8625551611185074,0.057630114,0.010127429,1,1.9007537,480,0.0,2980.572288732861,0.057630114
680334,876.56116,851.7,956.2580235004425,0.9768643975257874,0.05422945,0.01084188,1,1.8830904,481,0.0,2985.7181280661966,0.05422945
683334,875.07794,851.7,960.7034687995911,-0.03296017646789551,0.043356966,0.010318326,1,1.9040688,482,0.0,2986.420653723557,0.043356966
686334,877.8905,856.8,965.1023209095001,0.024702608585357666,0.03983123,0.010259571,1,1.8821676,483,0.0,3002.2130752600465,0.03983123
688515,869.38495,850.65,969.4914157390594,0.9716240558773279,0.047038086,0.0097544,1,1.8502237,484,0.0,2977.9117213179425,0.047038086
691515,872.96423,855.7,973.8675901889801,0.82078717648983,0.04936092,0.009965219,1,1.8107139,485,0.0,2994.1622273266958,0.04936092
694515,887.984,871.65,978.2982318401337,-0.03685438632965088,0.035791785,0.0095392335,1,1.8226886,486,0.0,3049.5402778841135,0.035791785
699723,884.45276,870.55,982.6687200069427,0.7771973758935928,0.0448298,0.010559044,2,1.8513336,488,0.0,3046.226962818032,0.0448298
702723,882.86835,870.55,987.0908260345459,0.026687264442443848,0.0395962,0.01075228,1,1.81923,489,0.0,3046.9761198878423,0.0395962
705723,882.48175,870.55,991.4766054153442,-0.011072635650634766,0.03713463,0.012563059,1,1.8653109,490,0.0,3048.650903363574,0.03713463
708723,880.47266,870.55,995.9422235488892,0.01139986515045166,0.03335969,0.012274769,1,1.8705138,491,0.0,3047.306728049465,0.03335969
711723,878.001,870.55,1000.3433406352997,0.025141239166259766,0.026992418,0.0039822813,1,1.7658539,492,0.0,3046.6191961228965,0.026992418
714744,855.8457,845.9,1004.6898956298828,0.9810003954917192,0.053900342,0.010069132,2,1.7450552,494,0.0,2962.1571688448767,0.053900342
716277,854.92694,844.8,1009.148934841156,0.9930360428988934,0.061632484,0.009841723,1,1.6722118,495,0.0,2957.789990095381,0.061632484
719277,853.3297,844.8,1013.6175603866577,0.02825099229812622,0.045172058,0.010614366,1,1.6809223,496,0.0,2956.0474988464275,0.045172058
722277,852.505,844.8,1018.1240305900574,0.0523107647895813,0.041601755,0.011533336,1,1.6928601,497,0.0,2955.5437190255675,0.041601755
723813,853.42725,845.9,1022.5441293716431,0.9861890431493521,0.067424856,0.011272937,1,1.6854203,498,0.0,2957.3123806920808,0.067424856
726813,852.6844,845.9,1027.0425412654877,0.06696999073028564,0.04440367,0.010473235,1,1.6606302,499,0.0,2957.3428655420375,0.04440367
732276,800.44434,791.425,1031.5046570301056,0.7567797303199768,0.052137144,0.010799227,4,1.6333759,503,0.0,2765.4968891333674,0.052137144
736230,755.17834,750.125,1035.9687583446503,0.8017079085111618,0.047962762,0.010621329,3,1.6799926,506,0.0,2613.6252028815056,0.047962762
739365,756.327,747.575,1040.3537428379059,0.9759798869490623,0.060687818,0.010830814,2,1.6692765,508,0.0,2609.8980950023424,0.060687818
741480,752.2082,740.2,1044.8020679950714,0.9788677245378494,0.05522716,0.009875544,1,1.6805457,509,0.0,2587.5867677433316,0.05522716
744540,750.4142,736.0,1049.24125623703,0.9862742703408003,0.06489581,0.0102753695,2,1.7004844,511,0.0,2575.017381642737,0.06489581
747540,758.08167,744.675,1053.7149450778961,0.01934736967086792,0.04011789,0.01056913,1,1.7069049,512,0.0,2604.5233274059783,0.04011789
749244,756.50433,742.175,1058.0930421352386,0.9865281535312533,0.05509962,0.010863302,1,1.7089422,513,0.0,2595.3217731801406,0.05509962
751692,754.16296,737.575,1062.5265944004059,0.9920791340991855,0.054762222,0.01240191,1,1.6997026,514,0.0,2581.4245010416253,0.054762222
756735,768.4568,749.05,1066.9832775592804,0.9351439103484154,0.059665795,0.009845033,2,1.7333789,516,0.0,2626.426887018386,0.059665795
759735,780.46124,761.675,1071.448808670044,-0.039492130279541016,0.05213295,0.011074847,1,1.7118038,517,0.0,2671.4316750711027,0.05213295
763989,764.88513,747.125,1075.7760577201843,0.7373168766498566,0.05992664,0.012650959,2,1.6888385,519,0.0,2619.857755055976,0.05992664
767679,747.14667,727.875,1080.1129837036133,0.9476577192544937,0.06045088,0.009894468,2,1.7232207,521,0.0,2552.4224044759812,0.06045088
770679,746.93207,727.875,1084.5746054649353,0.013909995555877686,0.040321857,0.00958203,1,1.6805724,522,0.0,2552.471941207502,0.040321857
