meankl,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,surrgain,EpThisIter,TimeElapsed,entloss,EpLenMean,entropy,EpRewMean,EpisodesSoFar,optimgain
0.011705947,0.8323890417814255,974197,2473.0482553244137,0.037279,2,14924.626868486404,0.0,683.525,1.4917247,386.1458,1660,0.037279
0.010484712,0.8465294986963272,975576,2325.976341678612,0.056858473,3,14933.879499197006,0.0,643.0,1.4489831,365.9866,1663,0.056858473
0.013195006,0.7808892726898193,976833,2292.699904001784,0.053448875,2,14946.528586864471,0.0,635.2,1.4336444,358.49127,1665,0.053448875
0.010750219,0.8757650479674339,978188,1973.2205386616836,0.04366342,5,14957.99033331871,0.0,544.075,1.4309999,317.05502,1670,0.04366342
0.012836702,0.17343419790267944,979188,2032.2812134346586,0.04205244,1,14967.299134731293,0.0,561.2,1.447693,322.2608,1671,0.04205244
0.009577839,0.8814723715186119,980695,1995.310089073983,0.053909317,3,14976.549336194992,0.0,551.275,1.4793693,310.18524,1674,0.053909317
0.013203456,0.45708388090133667,981695,1991.5545493999198,0.043432362,1,14985.650793790817,0.0,551.275,1.4723341,305.9546,1675,0.043432362
0.011452369,0.9711947236210108,982245,1990.9256951612613,0.061008327,1,14994.78420472145,0.0,551.05,1.4958533,303.32663,1676,0.061008327
0.011805752,0.7994051575660706,983969,2037.664503001178,0.054755237,3,15004.016678094864,0.0,565.7,1.4713744,302.55435,1679,0.054755237
0.011140874,0.046403706073760986,984969,2082.9337815402237,0.044949055,1,15013.02709555626,0.0,578.825,1.4766482,306.67444,1680,0.044949055
