meankl,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,EpThisIter,TimeElapsed,optimgain,EpRewMean,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss
0.012936131,310224,23.089842,0.8551619052886963,0.257871,10,654.2458412647247,0.257871,60.966606,439.38801410307497,90.075,1581,0.0
0.012222889,313164,23.10799,0.8610753118991852,0.25433016,12,660.8223602771759,0.25433016,58.522377,425.01434783626917,87.075,1593,0.0
0.011603877,316014,23.118584,0.8217662870883942,0.28482705,11,667.4614448547363,0.28482705,59.92158,426.24194001643934,86.175,1604,0.0
0.012322679,319194,23.10789,0.717089980840683,0.2625863,11,673.861921787262,0.2625863,62.012096,439.8575564824206,89.25,1615,0.0
0.012837378,322134,23.097895,0.8099822551012039,0.26315308,12,680.5278496742249,0.26315308,59.64513,422.92813648939773,86.525,1627,0.0
0.011370232,325254,23.107912,0.8971924260258675,0.23146419,13,687.1000719070435,0.23146419,59.29554,427.90604511977944,87.8,1640,0.0
0.013404642,328434,23.104168,0.7991893291473389,0.2685683,14,693.7544639110565,0.2685683,55.544456,398.8389350950073,81.425,1654,0.0
0.012292604,331614,23.090597,0.8530936390161514,0.24093452,13,700.3039901256561,0.24093452,58.264107,393.8869733628288,79.0,1667,0.0
0.012062721,334638,23.081293,0.8354875594377518,0.26847607,12,706.9252243041992,0.26847607,59.07334,399.482566052579,80.0,1679,0.0
0.011994527,337752,23.073992,0.7850955426692963,0.25415006,12,713.604819059372,0.25415006,58.20829,410.9322420120234,83.0,1691,0.0
0.012848128,340968,23.067118,0.8550007492303848,0.27238798,13,720.1736421585083,0.27238798,57.377808,419.3201453880259,83.825,1704,0.0
0.012794722,344208,23.065123,0.8138403594493866,0.24980347,11,726.8360917568207,0.24980347,59.662975,432.42333453679703,87.175,1715,0.0
0.013046346,347145,23.06242,0.8177532851696014,0.27845395,10,733.4100739955902,0.27845395,63.739326,463.26611151073837,92.9,1725,0.0
0.011963574,350331,23.065363,0.7990476787090302,0.2668268,13,740.0436987876892,0.2668268,61.32313,447.5099711201563,90.45,1738,0.0
0.01216389,353361,23.069357,0.8840030208230019,0.22127187,11,746.6686091423035,0.22127187,62.12021,455.3763955897606,92.5,1749,0.0
0.012483161,356388,23.059553,0.8467998653650284,0.24659523,11,753.1917185783386,0.24659523,58.6078,449.00937394958544,90.85,1760,0.0
0.012272002,359271,23.059486,0.8400909602642059,0.23173374,11,759.8725543022156,0.23173374,56.86593,430.70884207724373,88.075,1771,0.0
0.011850631,362121,23.06087,0.8311785906553268,0.23700008,10,766.4565012454987,0.23700008,57.548714,442.09895073639944,90.45,1781,0.0
0.012496198,365091,23.062807,0.8293881267309189,0.2732196,12,773.0364289283752,0.2732196,55.165894,425.8115177167659,88.1,1793,0.0
0.012657029,368106,23.065207,0.8064276725053787,0.3544362,12,779.6596612930298,0.3544362,55.58535,424.1547033647703,87.675,1805,0.0
0.012660634,371319,23.0639,0.8483622521162033,0.23953907,12,786.2327485084534,0.23953907,56.56022,432.4516603443693,88.65,1817,0.0
0.012544822,374493,23.060614,0.8648626804351807,0.2417843,13,792.847030878067,0.2417843,52.504112,410.1752895292996,84.225,1830,0.0
0.0123771615,377718,23.049492,0.8518902510404587,0.24184377,13,799.4448096752167,0.24184377,53.89691,413.0526468686019,84.325,1843,0.0
0.012646692,380871,23.041487,0.7895143628120422,0.28526086,11,806.089269399643,0.28526086,55.73468,428.33433335802766,86.425,1854,0.0
0.012440474,383817,23.04075,0.843265488743782,0.25255382,11,812.7444987297058,0.25255382,57.334503,444.83351838793135,88.775,1865,0.0
0.012243393,387150,23.035954,0.750011682510376,0.25563732,13,819.3576946258545,0.25563732,58.027576,449.4277074664491,89.075,1878,0.0
0.012490987,390207,23.036201,0.7831572443246841,0.27644604,12,825.9230668544769,0.27644604,57.598633,433.5262344810873,85.925,1890,0.0
0.012623659,393321,23.031492,0.8544031232595444,0.2332413,12,832.4792873859406,0.2332413,62.585274,435.57312763264673,85.875,1902,0.0
0.012255812,396414,23.040022,0.8024592846632004,0.28391558,10,839.0263457298279,0.28391558,74.33757,455.7909753238565,89.225,1912,0.0
0.01321786,399549,23.036701,0.8456428349018097,0.25324923,10,845.6900334358215,0.25324923,78.05126,481.1867520436408,94.225,1922,0.0
0.014482831,402837,23.035576,0.8074295073747635,0.25617516,14,852.2455978393555,0.25617516,73.97855,464.57031529712987,91.425,1936,0.0
0.012857785,405903,23.043945,0.8583560585975647,0.268214,10,858.8328037261963,0.268214,70.307655,475.39255781413084,94.775,1946,0.0
0.013317378,409023,23.032064,0.7487634122371674,0.31207722,11,865.4452676773071,0.31207722,62.113445,459.4604964488641,90.725,1957,0.0
0.013744311,412317,23.025957,0.7910899221897125,0.32360536,11,871.9906978607178,0.32360536,64.1494,478.3245893231159,95.45,1968,0.0
0.012794181,415458,23.02002,0.7076452076435089,0.26577494,11,878.6386923789978,0.26577494,65.465195,486.523482567875,97.575,1979,0.0
0.014194015,418668,23.025328,0.8395443558692932,0.2834019,12,885.292679309845,0.2834019,68.057884,484.3913698636308,96.85,1991,0.0
0.013565984,422259,23.021156,0.8438135385513306,0.27592328,11,891.9255554676056,0.27592328,68.992516,480.22728255076055,96.55,2002,0.0
0.013519706,425229,23.01491,0.8397535979747772,0.2929666,11,898.4712884426117,0.2929666,69.29995,489.19505260946863,96.675,2013,0.0
0.01279173,428088,23.011066,0.8884275257587433,0.28958502,11,905.0069994926453,0.28958502,67.394516,473.8934695573513,94.3,2024,0.0
0.012977485,431133,23.004555,0.8254674077033997,0.3046649,12,911.6838285923004,0.3046649,60.4416,441.2453745942559,87.1,2036,0.0
0.0134917125,434199,23.000975,0.8545525670051575,0.27714103,11,918.29909324646,0.27714103,57.702248,433.76570858588764,86.95,2047,0.0
0.014249172,437127,22.999672,0.8421388417482376,0.25353643,11,924.8845543861389,0.25353643,59.142273,444.80906980937334,89.375,2058,0.0
0.01350368,440238,23.002924,0.8297079354524612,0.3257196,11,931.7045004367828,0.3257196,59.251793,443.179573609142,89.925,2069,0.0
