EpLenMean,EpThisIter,EpRewMean,entloss,TimestepsSoFar,TimeElapsed,EpTrueRewMean,surrgain,ev_tdlam_before,meankl,EpisodesSoFar,optimgain,entropy
799.65,2,2047.3923573506931,0.0,413067,526.5944559574127,2047.3923573506931,0.08562688,0.929743304848671,0.008265281,453,0.08562688,7.49144
790.85,2,2001.3437080694262,0.0,416982,530.4940836429596,2001.3437080694262,0.086378515,0.9338835254311562,0.008110679,455,0.086378515,7.488477
796.975,1,2017.726628018363,0.0,419982,534.45410323143,2017.726628018363,0.08519072,0.8031258583068848,0.010929249,456,0.08519072,7.481811
806.275,1,2047.848774030423,0.0,422982,538.4115653038025,2047.848774030423,0.0876859,0.3664175868034363,0.008045981,457,0.0876859,7.4712486
786.0,2,1986.8968006171108,0.0,425961,542.332471370697,1986.8968006171108,0.0903908,0.9186974987387657,0.008579861,459,0.0903908,7.4855223
762.25,2,1932.6309454746759,0.0,429111,546.3247518539429,1932.6309454746759,0.09265691,0.8505467176437378,0.008737665,461,0.09265691,7.4584513
762.25,1,1933.4938426801368,0.0,432111,550.2650935649872,1933.4938426801368,0.06537982,0.13663411140441895,0.008279437,462,0.06537982,7.4951916
762.25,1,1926.2550072779027,0.0,435111,554.2769045829773,1926.2550072779027,0.086614184,-0.054335713386535645,0.008940248,463,0.086614184,7.4629974
758.925,1,1925.8329182931477,0.0,437712,558.2656853199005,1925.8329182931477,0.10430085,0.786486029624939,0.00891342,464,0.10430085,7.4720297
766.45,1,1943.7090078281326,0.0,440712,562.1349844932556,1943.7090078281326,0.06592874,0.654794305562973,0.007635804,465,0.06592874,7.4791255
769.475,1,1945.742385367056,0.0,443712,566.1146111488342,1945.742385367056,0.07396886,0.19907838106155396,0.009068319,466,0.07396886,7.457812
759.925,2,1920.152626053039,0.0,447342,570.0700755119324,1920.152626053039,0.104202926,0.7687421143054962,0.008906817,468,0.104202926,7.4150352
767.8,1,1944.7620901770413,0.0,450330,574.0800278186798,1944.7620901770413,0.11568736,0.9215863794088364,0.008214513,469,0.11568736,7.400024
763.75,1,1946.2897290079818,0.0,452844,578.0420434474945,1946.2897290079818,0.09809088,0.8653704971075058,0.00871014,470,0.09809088,7.3912196
761.075,1,1939.5659199985955,0.0,455523,581.9607789516449,1939.5659199985955,0.10723354,0.8925508335232735,0.009154592,471,0.10723354,7.407043
