EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
78.248215,0.867513045668602,172476,393.0460706054901,975,23.57526,0.22759219,0.22759219,0.011066786,13,80.15,505.92304277420044,0.0
80.16437,0.8772626146674156,175593,408.0906845347148,987,23.566633,0.24515855,0.24515855,0.010961578,12,82.25,514.9608626365662,0.0
80.82143,0.8115277886390686,178602,412.5662677819937,999,23.545965,0.24884415,0.24884415,0.010198298,12,83.625,524.0527858734131,0.0
79.283936,0.8665337562561035,181524,412.23039415680495,1011,23.53369,0.21047007,0.21047007,0.010336852,12,83.375,533.1665651798248,0.0
80.15813,0.8458479344844818,184692,407.2592324146468,1024,23.53737,0.22763799,0.22763799,0.010360624,13,84.0,542.2999908924103,0.0
77.69103,0.8548118770122528,187842,386.16429913511604,1038,23.548029,0.19897409,0.19897409,0.010265648,14,78.8,551.4721393585205,0.0
77.81565,0.8074422776699066,190971,386.82523057464914,1051,23.553204,0.26690266,0.26690266,0.011433511,13,78.725,560.6405172348022,0.0
75.44498,0.9088939353823662,194079,384.6597409506545,1064,23.53361,0.20553908,0.20553908,0.0104029495,13,78.225,569.8254702091217,0.0
75.12712,0.8920036852359772,197187,389.99140491662575,1077,23.541094,0.2242601,0.2242601,0.010695319,13,79.35,578.9868061542511,0.0
73.89253,0.809422492980957,200232,383.9248844584228,1090,23.530985,0.2192922,0.2192922,0.010089779,13,78.625,588.1615397930145,0.0
78.91826,0.853758692741394,203187,402.99315847406797,1101,23.534975,0.22967865,0.22967865,0.010885075,11,81.775,597.3950352668762,0.0
78.95941,0.9148287177085876,206310,400.6010639301222,1114,23.542074,0.23546983,0.23546983,0.010881407,13,81.675,606.6392521858215,0.0
84.550995,0.8324533104896545,209436,424.8375762188757,1125,23.543966,0.23054895,0.23054895,0.011177212,11,85.9,615.906984090805,0.0
87.05747,0.8703541457653046,212592,422.69567192295324,1138,23.575014,0.24359933,0.24359933,0.010523751,13,85.45,625.0934247970581,0.0
89.88381,0.7971940040588379,215616,430.73629656051287,1149,23.574465,0.278177,0.278177,0.011160434,11,86.325,634.2007501125336,0.0
89.794174,0.8502082377672195,218595,428.8081982152353,1161,23.567549,0.23653618,0.23653618,0.011169511,12,85.3,643.3919019699097,0.0
89.15881,0.8962127342820168,221745,435.7327705015215,1173,23.569746,0.22657551,0.22657551,0.0108425785,12,86.85,652.5758016109467,0.0
87.75989,0.8569494187831879,224922,440.88394010521426,1185,23.568035,0.24626979,0.24626979,0.010492212,12,87.675,661.6475439071655,0.0
82.22732,0.8501813411712646,227973,436.8028925146058,1196,23.583738,0.21680142,0.21680142,0.011408083,11,87.2,670.7765700817108,0.0
81.81168,0.9010040909051895,231018,447.24228382944113,1208,23.570065,0.2409412,0.2409412,0.010488015,12,89.25,679.887363910675,0.0
81.5623,0.8523348122835159,234180,438.38652898150275,1220,23.579523,0.26311,0.26311,0.0102697825,12,88.3,688.9978582859039,0.0
73.76974,0.8183168172836304,237207,402.57210094655693,1234,23.55174,0.2148072,0.2148072,0.011839936,14,80.8,698.1973102092743,0.0
74.0333,0.8553825616836548,240348,398.6809197481919,1247,23.557783,0.21479777,0.21479777,0.0115744155,13,79.425,707.4411671161652,0.0
72.48234,0.8719130009412766,243198,384.7568233257988,1259,23.558043,0.24141425,0.24141425,0.010982801,12,76.7,716.6083056926727,0.0
80.11824,0.8425420671701431,246336,415.3770014502841,1270,23.551922,0.22836708,0.22836708,0.011951782,11,83.4,725.6818587779999,0.0
81.888,0.8785969689488411,249492,419.87025055709745,1282,23.547688,0.23495875,0.23495875,0.012503611,12,85.05,734.7872378826141,0.0
86.15288,0.8907965049147606,252636,439.66679565166726,1294,23.546648,0.24363104,0.24363104,0.013302371,12,88.725,743.8835806846619,0.0
80.223,0.8762311413884163,255525,424.7666243897023,1306,23.546122,0.2996567,0.2996567,0.012708556,12,85.425,753.0675339698792,0.0
82.15578,0.8565493822097778,258648,421.4705772706931,1318,23.538736,0.22620979,0.22620979,0.012972418,12,85.725,762.2023878097534,0.0
78.24442,0.8466101586818695,261807,400.2184305367814,1331,23.558855,0.25615788,0.25615788,0.011914052,13,82.675,771.2839467525482,0.0
78.47823,0.8921759650111198,264957,406.96838128418204,1344,23.560564,0.24449955,0.24449955,0.0115417605,13,83.675,780.4425959587097,0.0
78.087715,0.89676234126091,268080,401.2786510220323,1356,23.56169,0.28244925,0.28244925,0.01193299,12,82.5,789.5913238525391,0.0
83.14304,0.9009482860565186,271194,416.4341219674162,1368,23.568842,0.22284919,0.22284919,0.01182908,12,84.75,798.7149999141693,0.0
87.234856,0.8328499644994736,274296,422.95672408841546,1380,23.5716,0.27839845,0.27839845,0.011424428,12,85.725,807.8833582401276,0.0
85.272964,0.8821369931101799,277344,421.6240051531048,1392,23.577898,0.22593081,0.22593081,0.01129287,12,85.95,816.9629998207092,0.0
89.12262,0.8038340508937836,280371,441.83146321615186,1402,23.58179,0.2506771,0.2506771,0.012089882,10,90.0,826.0925104618073,0.0
88.35776,0.8895309194922447,283329,441.6771435437937,1413,23.580301,0.24531668,0.24531668,0.01286105,11,89.65,835.1546590328217,0.0
88.61349,0.8977915719151497,286407,437.8341111358779,1426,23.582502,0.23669307,0.23669307,0.012410548,13,88.675,844.2483274936676,0.0
85.16097,0.8691340982913971,289521,418.30951581824195,1439,23.577898,0.23411828,0.23411828,0.012666249,13,83.875,853.3135368824005,0.0
87.01289,0.8519198149442673,292548,420.58931186269336,1450,23.572042,0.2911905,0.2911905,0.012401693,11,83.625,862.4441995620728,0.0
92.48485,0.8609687089920044,295506,439.15567319519397,1460,23.568338,0.2554319,0.2554319,0.012022583,10,87.725,871.8114264011383,0.0
95.972946,0.8485627919435501,298671,452.68084961099913,1471,23.564274,0.23204893,0.23204893,0.011358316,11,90.525,880.9764411449432,0.0
99.229385,0.836846336722374,301641,473.52798228753255,1482,23.558596,0.26551223,0.26551223,0.011408238,11,94.75,890.1011617183685,0.0
95.87309,0.8846113756299019,304737,465.8021365075043,1493,23.559574,0.2651698,0.2651698,0.012359209,11,93.475,899.2710709571838,0.0
88.45643,0.897698387503624,307917,430.2199919628785,1506,23.55695,0.27297217,0.27297217,0.012635943,13,86.875,908.3974289894104,0.0
88.47292,0.8755878359079361,311103,431.0398003325703,1518,23.54881,0.31620097,0.31620097,0.012060657,12,87.2,918.0420777797699,0.0
