TimestepsSoFar,EpRewMean,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,meankl,EpThisIter,EpLenMean,optimgain,TimeElapsed,surrgain,entropy
497470,121.429344,2669,199.45,0.8054402321577072,0.0,0.00786297,5,199.45,0.0045439973,2398.8699803352356,0.0045439973,0.4305234
498670,120.297165,2675,199.65,0.7763151228427887,0.0,0.006606674,6,199.65,0.0069292216,2403.8303728103638,0.0069292216,0.44605267
499670,117.19324,2680,199.775,0.7383964955806732,0.0,0.0069087436,5,199.775,0.007011877,2409.125568628311,0.007011877,0.44597223
500670,113.2796,2685,199.8,0.6570742726325989,0.0,0.006604148,5,199.8,0.007846517,2413.9503905773163,0.007846517,0.44745624
501670,108.107956,2690,199.8,0.7531736791133881,0.0,0.0068741236,5,199.8,0.009312736,2418.518940925598,0.009312736,0.41401
502670,105.72368,2695,199.8,0.17373305559158325,0.0,0.006377314,5,199.8,0.0068948893,2424.251395225525,0.0068948893,0.45498228
503670,101.738014,2700,200.0,0.4287419319152832,0.0,0.008498155,5,200.0,0.013242283,2429.031452178955,0.013242283,0.4301213
504670,98.33818,2705,200.0,0.27093297243118286,0.0,0.004637138,5,200.0,0.0075395536,2434.2758390903473,0.0075395536,0.44467682
505670,99.25984,2710,200.0,0.6365480124950409,0.0,0.00789845,5,200.0,0.0075710006,2439.897221803665,0.0075710006,0.38138914
506870,96.78814,2716,200.0,0.39868640899658203,0.0,0.008690065,6,200.0,0.010235309,2444.6213998794556,0.010235309,0.38895592
507870,102.7135,2721,200.0,0.5936790704727173,0.0,0.0076932604,5,200.0,0.013696767,2449.624984264374,0.013696767,0.40440208
508870,104.848145,2726,200.0,0.2305470108985901,0.0,0.008209111,5,200.0,0.009313626,2454.207602262497,0.009313626,0.34686977
509870,105.831665,2731,200.0,0.2563857436180115,0.0,0.0042607016,5,200.0,0.008878632,2458.8463084697723,0.008878632,0.36125627
510870,111.50745,2736,200.0,0.7414307296276093,0.0,0.0065226653,5,200.0,0.0091421865,2463.360058069229,0.0091421865,0.40021205
511870,113.83706,2741,200.0,0.39400213956832886,0.0,0.008792554,5,200.0,0.0075577023,2468.5388288497925,0.0075577023,0.3563633
512870,114.85905,2746,200.0,0.5858877599239349,0.0,0.007668563,5,200.0,0.0055752806,2475.1942126750946,0.0055752806,0.3593029
513870,117.495766,2751,200.0,0.3538215756416321,0.0,0.006403479,5,200.0,0.006980459,2479.656538963318,0.006980459,0.33753487
515070,119.66429,2757,200.0,0.42468178272247314,0.0,0.008031074,6,200.0,0.005841531,2484.296014547348,0.005841531,0.31953132
