TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,surrgain,EpLenMean,entloss,TimeElapsed,optimgain,EpisodesSoFar,meankl,EpThisIter,EpTrueRewMean
175977,-0.004174947738647461,941.2123,3.9150631,0.033018176,942.525,0.0,198.1547646522522,0.033018176,171,0.0068679336,1,973.9439489655178
178977,0.060530245304107666,938.3522,3.9219074,0.028493598,942.525,0.0,201.75169777870178,0.028493598,172,0.008380738,1,973.136934166585
181977,-0.010631203651428223,950.61017,3.914947,0.04842852,956.0,0.0,205.41974902153015,0.04842852,173,0.008116302,1,986.4237023197508
184977,0.010773777961730957,949.137,3.9446125,0.047500663,956.0,0.0,209.22764945030212,0.047500663,174,0.006138608,1,985.9584692891298
187977,-0.017290711402893066,947.2966,3.9281902,0.03591563,956.0,0.0,212.95503640174866,0.03591563,175,0.0075637735,1,985.6230156037775
190977,0.0015889406204223633,945.81854,3.89176,0.028518714,956.0,0.0,216.79441905021667,0.028518714,176,0.008584035,1,985.7138831789605
193977,0.023820817470550537,943.5156,3.8521059,0.038259722,956.0,0.0,220.5623517036438,0.038259722,177,0.00859721,1,985.4976655084884
196977,-0.004605531692504883,941.48926,3.8221433,0.03991974,956.0,0.0,224.4447250366211,0.03991974,178,0.009600605,1,985.3164921493792
202977,-0.0015969276428222656,938.7664,3.8135908,0.04744777,956.0,0.0,228.37020134925842,0.04744777,180,0.007308939,2,984.2591513157306
205977,0.0011015534400939941,943.5182,3.8532393,0.031243153,962.775,0.0,232.29632544517517,0.031243153,181,0.0077224546,1,990.6211584651592
208977,-0.00041735172271728516,942.4127,3.8183918,0.034659326,962.775,0.0,236.23957872390747,0.034659326,182,0.007493089,1,991.5291510632848
211977,0.0025145411491394043,941.6004,3.8127685,0.046259224,962.775,0.0,240.0719871520996,0.046259224,183,0.007914392,1,991.4761060587318
214977,0.02348846197128296,939.9305,3.844093,0.030940607,962.775,0.0,243.88410782814026,0.030940607,184,0.008120462,1,991.7286840215359
217977,-0.027543306350708008,955.6343,3.8200135,0.047260676,979.7,0.0,247.71693301200867,0.047260676,185,0.0075571407,1,1008.4659158152114
220977,0.028326690196990967,954.4971,3.863489,0.031743616,979.7,0.0,251.44575667381287,0.031743616,186,0.0076520024,1,1008.1076003855545
223977,-0.07352602481842041,952.8281,3.8147273,0.04367282,979.7,0.0,255.20279216766357,0.04367282,187,0.007897738,1,1007.8950032968681
226977,0.0050768256187438965,951.7529,3.8188193,0.04096841,979.7,0.0,258.94049096107483,0.04096841,188,0.0073821014,1,1007.3134060375457
229977,0.010739564895629883,954.2572,3.8531492,0.031028444,982.625,0.0,262.7015845775604,0.031028444,189,0.008581133,1,1010.9950567605747
232977,0.014009356498718262,953.1764,3.8400273,0.044039313,982.625,0.0,266.61277651786804,0.044039313,190,0.0067192465,1,1010.7715208190609
235977,-0.016472935676574707,951.6906,3.8385394,0.0517501,982.625,0.0,270.3655490875244,0.0517501,191,0.007283788,1,1010.1014276639646
238977,-0.00499725341796875,950.7869,3.8160708,0.04632237,982.625,0.0,274.13001561164856,0.04632237,192,0.0071394644,1,1009.7398391826089
241977,-0.006523728370666504,949.8262,3.8254335,0.030343145,982.625,0.0,277.98995304107666,0.030343145,193,0.008391408,1,1008.8285882186201
244977,-0.017366766929626465,948.66846,3.82727,0.032420766,982.625,0.0,281.7218737602234,0.032420766,194,0.0077407747,1,1008.9719778498695
247977,-7.62939453125e-05,949.1205,3.8689556,0.04078313,982.625,0.0,285.498991727829,0.04078313,195,0.0097471,1,1008.2072339258299
250977,-8.428096771240234e-05,951.4961,3.8918216,0.032058038,985.625,0.0,289.2647452354431,0.032058038,196,0.009580467,1,1011.1027551643995
254247,0.06876868009567261,942.1494,3.8854907,0.068561286,977.25,0.0,293.0598201751709,0.068561286,198,0.007609972,2,1003.9128265712159
257247,-0.012670040130615234,941.41486,3.9232183,0.031797547,977.25,0.0,296.79101300239563,0.031797547,199,0.008233041,1,1004.0476172786824
262950,0.09912258386611938,937.7723,3.9333491,0.06121067,974.775,0.0,300.5860538482666,0.06121067,201,0.0080973115,2,1001.3393359351157
264870,0.20591813325881958,929.02136,3.9674702,0.047374494,965.775,0.0,304.4147319793701,0.047374494,202,0.0075865355,1,992.0892617619933
