EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,surrgain,TimestepsSoFar,TimeElapsed,meankl,entloss,EpRewMean,entropy,EpThisIter,optimgain
482,2004.1374582192384,0.014805972576141357,775.0,0.046961777,437751,532.4792819023132,0.00874739,0.0,2004.1374582192384,3.7595193,1,0.046961777
483,2064.249517352917,-0.11699581146240234,796.425,0.046402894,440751,536.149445772171,0.008391141,0.0,2064.249517352917,3.7796874,1,0.046402894
484,2090.513693811549,-0.030109405517578125,807.55,0.041221537,443751,539.8193535804749,0.008555166,0.0,2090.513693811549,3.761873,1,0.041221537
485,2118.552629756587,0.07963347434997559,816.075,0.04660607,446751,543.3998894691467,0.009458664,0.0,2118.552629756587,3.7318192,1,0.04660607
486,2115.362942850977,0.08682984113693237,816.075,0.054864608,449751,546.9994463920593,0.008291552,0.0,2115.362942850977,3.71332,1,0.054864608
487,2180.3862234524363,-0.12286174297332764,837.875,0.05565182,452751,550.5854065418243,0.0080151,0.0,2180.3862234524363,3.742067,1,0.05565182
488,2180.2853412266477,-0.054300546646118164,837.875,0.038592573,455751,554.1832256317139,0.009211505,0.0,2180.2853412266477,3.6880107,1,0.038592573
490,2225.4101104212955,0.4185493588447571,855.925,0.044451457,460824,557.8042554855347,0.008315776,0.0,2225.4101104212955,3.670624,2,0.044451457
491,2233.416598883309,-0.07669734954833984,855.925,0.04288777,463824,561.3932735919952,0.008289276,0.0,2233.416598883309,3.668245,1,0.04288777
492,2277.46419778237,0.038248658180236816,873.075,0.050388876,466824,565.0294201374054,0.009003298,0.0,2277.46419778237,3.6678448,1,0.050388876
493,2330.90221197812,-0.04134416580200195,893.175,0.041836012,469824,568.6301455497742,0.008768149,0.0,2330.90221197812,3.6629658,1,0.041836012
494,2341.137602277436,-0.0784691572189331,898.075,0.05280186,472824,572.2923982143402,0.007640701,0.0,2341.137602277436,3.6262903,1,0.05280186
495,2346.385435373045,0.05661571025848389,898.075,0.03579796,475824,576.0341482162476,0.007888903,0.0,2346.385435373045,3.63642,1,0.03579796
496,2398.9115855985992,0.04633510112762451,917.325,0.042693965,478824,579.6723079681396,0.008626858,0.0,2398.9115855985992,3.61924,1,0.042693965
498,2419.8008916181584,0.6788932979106903,922.0,0.055315576,483108,583.2430973052979,0.0090815695,0.0,2419.8008916181584,3.6161115,2,0.055315576
502,2230.2362109747546,0.6934345066547394,848.725,0.058166884,486315,586.8320071697235,0.009425581,0.0,2230.2362109747546,3.5373838,4,0.058166884
503,2238.5850972735925,-0.07644855976104736,852.725,0.04779598,489315,590.3641419410706,0.0099768005,0.0,2238.5850972735925,3.5619512,1,0.04779598
505,2222.1005901832086,0.6497909426689148,844.45,0.04742617,492798,594.0293924808502,0.00920486,0.0,2222.1005901832086,3.4953303,2,0.04742617
506,2221.058701317058,0.013446211814880371,844.45,0.060099345,495798,597.6042902469635,0.009133189,0.0,2221.058701317058,3.476898,1,0.060099345
508,2280.2776244900065,0.003759443759918213,864.625,0.046294175,501798,601.1763875484467,0.0074416194,0.0,2280.2776244900065,3.4959712,2,0.046294175
509,2336.3496995810665,-0.002989053726196289,883.025,0.045371868,504798,604.8386716842651,0.009633765,0.0,2336.3496995810665,3.507926,1,0.045371868
511,2292.6062381901716,0.6517406404018402,863.7,0.049838185,508479,608.439460515976,0.009452704,0.0,2292.6062381901716,3.5647502,2,0.049838185
512,2295.6158647141483,0.08870542049407959,863.7,0.04716225,511479,612.1256976127625,0.009951312,0.0,2295.6158647141483,3.5521538,1,0.04716225
513,2300.246805542017,0.15742242336273193,863.7,0.05810856,514479,615.7204732894897,0.008396636,0.0,2300.246805542017,3.521177,1,0.05810856
515,2259.479200769264,0.07292056083679199,847.65,0.04799161,518553,619.3309609889984,0.009453902,0.0,2259.479200769264,3.4646013,2,0.04799161
516,2263.0285093202,0.12085223197937012,847.65,0.04912927,521553,622.9689881801605,0.008654453,0.0,2263.0285093202,3.4447415,1,0.04912927
517,2229.5057883978834,0.9367184638977051,836.125,0.052693926,523086,626.5309493541718,0.0077237394,0.0,2229.5057883978834,3.4681158,1,0.052693926
