EpThisIter,meankl,EpisodesSoFar,TimestepsSoFar,TimeElapsed,entropy,EpRewMean,ev_tdlam_before,EpTrueRewMean,EpLenMean,surrgain,optimgain,entloss
8,0.0058170278,8409,862631,6044.406447887421,22.829414,75.48026,0.838098332285881,680.6695076238382,135.775,0.18348771,0.18348771,0.0
8,0.005449351,8417,863689,6051.540172576904,22.82617,72.60486,0.8584374934434891,647.5444014865599,128.8,0.17829631,0.17829631,0.0
9,0.006159948,8426,864681,6058.715764284134,22.823248,74.350296,0.8872998654842377,633.0602314222717,125.725,0.1941177,0.1941177,0.0
8,0.0056222193,8434,865559,6065.919080495834,22.82324,70.872635,0.8263013660907745,579.9844734502758,116.975,0.20481208,0.20481208,0.0
8,0.004492805,8442,866551,6073.099523067474,22.807596,69.117065,0.9103801026940346,586.9453225549462,117.275,0.14885628,0.14885628,0.0
10,0.0057746237,8452,867603,6080.220252990723,22.809147,69.670876,0.9152920469641685,573.6986826560508,114.775,0.1791818,0.1791818,0.0
9,0.005577385,8461,868765,6087.632903575897,22.807442,71.720055,0.8460386693477631,584.1505482480081,116.625,0.18842992,0.18842992,0.0
9,0.0051983977,8470,869863,6094.849285125732,22.8121,72.974304,0.8937141820788383,605.344945172324,120.6,0.17327368,0.17327368,0.0
8,0.0054346537,8478,870981,6101.958190202713,22.81208,74.73169,0.8687742948532104,616.883768996784,123.15,0.17430106,0.17430106,0.0
8,0.0057774745,8486,872036,6109.0810487270355,22.81379,76.63163,0.8708535879850388,645.8411349531921,127.325,0.2050519,0.2050519,0.0
9,0.0049938713,8495,873052,6116.056505441666,22.813053,75.81438,0.9267800971865654,647.3143270441288,127.9,0.17109922,0.17109922,0.0
9,0.0060796486,8504,874153,6123.2661871910095,22.815428,72.60268,0.899118572473526,638.912412100213,127.175,0.15825437,0.15825437,0.0
8,0.004912554,8512,875141,6130.420267343521,22.816826,72.155136,0.8733834028244019,627.5806176089363,124.4,0.16834885,0.16834885,0.0
8,0.0048444876,8520,876210,6137.628840208054,22.81518,73.07289,0.8668381571769714,633.0539162841573,126.05,0.16874087,0.16874087,0.0
10,0.0057812044,8530,877306,6144.720350980759,22.81364,71.70073,0.9177752286195755,608.0561712889514,121.325,0.17965962,0.17965962,0.0
9,0.006551486,8539,878339,6151.771297931671,22.813704,71.34239,0.8978404775261879,595.8979297345243,118.425,0.18651763,0.18651763,0.0
9,0.005682147,8548,879383,6158.854027271271,22.812994,69.44725,0.9121073931455612,600.2911985547141,117.675,0.18770781,0.18770781,0.0
10,0.005453511,8558,880478,6166.045139074326,22.814373,67.780495,0.8786747604608536,596.3889892735804,115.1,0.18985075,0.18985075,0.0
8,0.0054444764,8566,881477,6173.203877925873,22.813301,69.35472,0.9252392426133156,588.6984441209354,115.1,0.16917908,0.16917908,0.0
9,0.005182661,8575,882473,6180.3409633636475,22.813742,68.72478,0.8746678829193115,607.0061874676869,118.05,0.18047246,0.18047246,0.0
8,0.006171776,8583,883426,6187.448241949081,22.812012,68.950584,0.9156093001365662,593.3647063835807,115.7,0.19819537,0.19819537,0.0
9,0.0058272136,8592,884472,6194.589597940445,22.809813,68.784035,0.8975072577595711,586.9807722909158,115.425,0.18097255,0.18097255,0.0
8,0.0056372685,8600,885483,6201.759745359421,22.812498,71.094444,0.9216640293598175,597.0500532105922,118.575,0.1652119,0.1652119,0.0
9,0.0056127952,8609,886522,6208.81392121315,22.807863,71.28252,0.840537503361702,590.8245732704975,117.225,0.18242095,0.18242095,0.0
9,0.005645016,8618,887611,6215.994911670685,22.80835,71.40936,0.9125335514545441,594.1603155674368,118.875,0.17829265,0.17829265,0.0
8,0.0054903156,8626,888582,6223.161814689636,22.809103,70.261665,0.9339803159236908,611.1632579504533,121.15,0.17812306,0.17812306,0.0
9,0.0059685507,8635,889547,6230.372510433197,22.808659,65.77434,0.8709465563297272,595.2692754442064,116.25,0.19017646,0.19017646,0.0
9,0.0051643644,8644,890516,6237.637239217758,22.80941,62.200794,0.9075666218996048,590.9511327963133,114.925,0.1713678,0.1713678,0.0
8,0.005441794,8652,891598,6244.849390268326,22.810038,62.91405,0.876288428902626,599.3812811323129,116.3,0.1825229,0.1825229,0.0
8,0.0062038135,8660,892632,6251.985872030258,22.812431,64.92901,0.784052774310112,622.1635560189712,120.375,0.19726774,0.19726774,0.0
8,0.005527995,8668,893720,6259.22499871254,22.814518,66.74187,0.8880939930677414,618.6315526375563,121.25,0.18366772,0.18366772,0.0
7,0.005181102,8675,894634,6266.443497419357,22.8138,71.269104,0.8600934743881226,641.5974013805096,127.175,0.18409026,0.18409026,0.0
7,0.005257842,8682,895513,6273.6479613780975,22.81175,75.065575,0.807281032204628,657.0287376389344,130.525,0.1856167,0.1856167,0.0
10,0.005448201,8692,896544,6280.801437139511,22.811703,70.30314,0.8427602499723434,616.9166137182135,123.65,0.1746117,0.1746117,0.0
8,0.0058382857,8700,897521,6287.945725917816,22.808659,68.81251,0.8390231132507324,607.3154614705545,122.225,0.17205559,0.17205559,0.0
8,0.0057075666,8708,898558,6295.109112024307,22.809103,68.21358,0.9047818034887314,608.4497635179289,120.95,0.19735543,0.19735543,0.0
9,0.005307044,8717,899618,6302.2928030490875,22.806414,65.31929,0.8958704769611359,605.538245411817,118.125,0.17787397,0.17787397,0.0
8,0.0061361725,8725,900535,6309.434808254242,22.8068,65.510185,0.8544067889451981,606.0043860254758,118.425,0.20422035,0.20422035,0.0
7,0.006082386,8732,901556,6316.600020170212,22.800314,71.30709,0.8171171396970749,640.6080193610202,125.3,0.21229562,0.21229562,0.0
8,0.0054783905,8740,902618,6323.808550357819,22.80436,73.940895,0.9085130244493484,645.6751923695576,127.425,0.20539698,0.20539698,0.0
8,0.0046670362,8748,903601,6331.084694623947,22.802717,72.6054,0.8676431775093079,624.9304806162033,126.075,0.14961565,0.14961565,0.0
8,0.0055972496,8756,904658,6338.325387239456,22.799078,75.001175,0.8333692401647568,625.866169757403,128.75,0.18885893,0.18885893,0.0
9,0.004696605,8765,905667,6345.583332777023,22.793211,74.76972,0.8605948239564896,616.3003965980595,128.3,0.1631116,0.1631116,0.0
7,0.004814163,8772,906567,6352.840627908707,22.790277,71.196106,0.862681433558464,600.8168286728275,125.275,0.16834939,0.16834939,0.0
7,0.0054905843,8779,907538,6359.979396343231,22.78979,71.05022,0.8263074159622192,605.4789666723187,126.45,0.18528603,0.18528603,0.0
7,0.00550835,8786,908733,6367.271204948425,22.78615,74.345215,0.8245798200368881,645.6003895401207,133.5,0.18095675,0.18095675,0.0
10,0.005402671,8796,909776,6374.496561765671,22.782894,72.65078,0.9179312884807587,626.8257996944724,127.95,0.18690331,0.18690331,0.0
11,0.005436048,8807,910911,6381.725295305252,22.781733,72.59111,0.8659612536430359,622.5675551755573,125.475,0.16778895,0.16778895,0.0
8,0.0053111124,8815,911929,6388.906338214874,22.781654,76.01906,0.828324630856514,623.9681803869622,126.05,0.17003462,0.17003462,0.0
