optimgain,EpTrueRewMean,EpLenMean,ev_tdlam_before,entropy,EpRewMean,EpThisIter,meankl,TimeElapsed,surrgain,EpisodesSoFar,entloss,TimestepsSoFar
0.045256484,916.4487866590047,862.35,0.024678289890289307,3.928742,484.68008,2,0.0076353797,212.2197825908661,0.045256484,137,0.0,145002
0.059368003,908.5918282231885,852.2,0.09956538677215576,3.90296,474.66382,2,0.00789597,216.4927463531494,0.059368003,139,0.0,149784
0.05825413,878.0182013588013,819.725,0.5225928723812103,3.9114761,453.26727,3,0.0067963153,220.70892667770386,0.05825413,142,0.0,154887
0.04585966,877.8361903473266,819.725,-0.028481006622314453,3.9102187,450.85382,1,0.005818698,224.921954870224,0.04585966,143,0.0,157887
0.04047525,878.0148720875088,819.725,-0.006958365440368652,3.9175491,448.6665,1,0.0072495416,229.1074938774109,0.04047525,144,0.0,160887
0.05686645,878.9082758247545,819.725,0.033973515033721924,3.9323196,446.92096,1,0.0074407016,233.34773659706116,0.05686645,145,0.0,163887
0.047945835,878.7719809319499,819.725,-0.05048203468322754,3.9300783,445.67944,1,0.0076199165,237.5790159702301,0.047945835,146,0.0,166887
0.055002227,879.1718649919379,819.725,0.05527079105377197,3.925621,444.4272,1,0.0062373793,241.88172960281372,0.055002227,147,0.0,169887
0.04090388,878.7314091249925,819.725,-0.018080711364746094,3.9306273,442.7354,1,0.006712122,246.06389927864075,0.04090388,148,0.0,172887
0.056865625,878.687812128935,819.725,0.03470653295516968,3.9162524,441.3786,1,0.0073630502,250.2845344543457,0.056865625,149,0.0,175887
0.0437379,878.5306186734476,819.725,-0.13880467414855957,3.9112184,440.4501,1,0.0067487797,254.42438912391663,0.0437379,150,0.0,178887
0.044189565,878.3795517589973,819.725,0.05019199848175049,3.8727968,439.28632,1,0.006331837,258.6400785446167,0.044189565,151,0.0,181887
0.048689455,884.9731732677343,824.7,0.021646440029144287,3.8469174,441.00336,2,0.0075371093,262.865446805954,0.048689455,153,0.0,185685
0.049849395,850.1524097716978,794.95,0.39772361516952515,3.849577,423.70068,3,0.0066466006,267.10113072395325,0.049849395,156,0.0,188925
0.043821298,832.6704497398047,776.225,0.618434876203537,3.8471699,413.88052,2,0.00788218,271.30916452407837,0.043821298,158,0.0,192678
0.061265685,827.5348022393824,768.825,0.9842043034732342,3.872351,410.66827,1,0.0071364585,275.4846408367157,0.061265685,159,0.0,194790
0.04002221,827.2709072249697,768.825,0.04113733768463135,3.8615117,409.84747,1,0.007818392,279.66013407707214,0.04002221,160,0.0,197790
0.049981814,827.1032320840517,768.825,-0.012966036796569824,3.8520794,408.7226,1,0.0074635623,283.8925521373749,0.049981814,161,0.0,200790
