optimgain,EpisodesSoFar,meankl,TimeElapsed,EpTrueRewMean,surrgain,entloss,EpLenMean,EpRewMean,TimestepsSoFar,EpThisIter,entropy,ev_tdlam_before
0.060257655,295,0.0071989913,440.7142231464386,2200.2472417294653,0.060257655,0.0,654.9,840.68085,318627,2,3.2089326,0.6822129786014557
0.047924913,297,0.009045412,444.8861265182495,2202.004169340525,0.047924913,0.0,656.6,839.50574,322305,2,3.2269568,0.7076334655284882
0.042434335,298,0.008600252,449.0692684650421,2224.6652219955695,0.042434335,0.0,664.925,846.2627,325305,1,3.2529578,0.025642871856689453
0.03852809,299,0.00878571,453.28777837753296,2238.1310133495044,0.03852809,0.0,670.9,849.93604,328305,1,3.2443216,-0.027463793754577637
0.04948149,300,0.008608168,457.4517397880554,2238.300729436938,0.04948149,0.0,671.6,848.5885,331137,1,3.2341385,0.9498049393296242
0.044144597,301,0.008873885,461.6958680152893,2236.4682708087644,0.044144597,0.0,672.975,848.0231,334137,1,3.22876,0.5865253806114197
0.04230032,302,0.009908071,465.9092984199524,2235.0748436335807,0.04230032,0.0,672.975,848.96545,337137,1,3.21402,-0.004833102226257324
0.039166696,303,0.01058423,470.0036370754242,2273.9871961111503,0.039166696,0.0,684.875,863.47156,340137,1,3.2296524,-0.021007061004638672
0.06628115,305,0.00956675,474.1271104812622,2254.50233182413,0.06628115,0.0,678.3,860.10236,343431,2,3.2533867,0.979806337505579
0.04627888,307,0.008444366,478.24559903144836,2233.2482862702586,0.04627888,0.0,672.0,855.9745,347268,2,3.2576206,0.7169572710990906
0.040526982,308,0.00884407,482.40412998199463,2273.8680050979992,0.040526982,0.0,683.825,872.5257,350268,1,3.2081628,0.000572502613067627
0.04878455,309,0.008832242,486.45832920074463,2330.319504193933,0.04878455,0.0,700.7,895.6613,353268,1,3.2604678,0.015849053859710693
0.049356602,310,0.009133382,490.66032099723816,2384.818181576383,0.049356602,0.0,717.175,915.9129,356268,1,3.2473164,0.007863521575927734
0.04919369,311,0.010082855,494.76105785369873,2405.21371287772,0.04919369,0.0,724.05,926.0137,359268,1,3.2629418,0.11373388767242432
0.041939545,312,0.009099898,498.956600189209,2408.251208082648,0.041939545,0.0,724.05,930.0033,362268,1,3.235129,0.14578813314437866
0.053734623,313,0.00887148,503.1726405620575,2414.0487220812015,0.053734623,0.0,724.05,934.8213,365268,1,3.2522206,0.8810300752520561
0.04326773,314,0.009996957,507.34706020355225,2417.994831603116,0.04326773,0.0,724.05,935.75305,368268,1,3.2531204,0.02042299509048462
0.043045476,316,0.009345214,511.5793173313141,2368.0819725099027,0.043045476,0.0,707.925,918.74475,372333,2,3.2867105,0.7188702523708344
0.060120016,317,0.009246525,515.7029139995575,2378.1063249893186,0.060120016,0.0,710.15,920.8885,373689,1,3.2398148,0.9856510572135448
0.04987631,319,0.009476883,519.9267456531525,2451.130717069204,0.04987631,0.0,729.975,946.37854,379341,2,3.1999297,0.9595858603715897
0.04708367,320,0.010047803,524.1673936843872,2493.0682608985408,0.04708367,0.0,742.575,959.11975,382341,1,3.167635,0.552880048751831
0.03884286,322,0.009679541,528.4236426353455,2487.03122062379,0.03884286,0.0,740.875,953.70966,386604,2,3.1547217,0.7084416151046753
0.06303934,324,0.009178747,532.5988097190857,2454.982587979782,0.06303934,0.0,730.75,940.804,389187,2,3.0846658,0.983751567080617
0.04604451,325,0.010176051,536.7960031032562,2457.78443909434,0.04604451,0.0,730.75,940.7689,392187,1,3.128817,0.6001297831535339
0.051578406,327,0.010006793,541.059987783432,2525.3033690437887,0.051578406,0.0,749.3,966.9745,396129,2,3.1279087,0.7343960702419281
0.060552437,328,0.009358105,545.3577737808228,2533.488657006869,0.060552437,0.0,749.3,970.21405,399129,1,3.1590557,0.8097656816244125
0.04473317,330,0.009198937,549.637567281723,2620.510776357999,0.04473317,0.0,772.25,1001.318,404604,2,3.1437702,0.7487636208534241
0.05590696,332,0.00962123,553.9234547615051,2648.20639719541,0.05590696,0.0,780.5,1012.2072,407286,2,3.0572512,0.655973345041275
0.043785706,333,0.009028756,558.165575504303,2712.7404096028777,0.043785706,0.0,798.55,1036.3733,410286,1,3.1017687,0.597413957118988
0.048761114,334,0.009637382,562.373414516449,2705.772183633173,0.048761114,0.0,793.3,1035.6073,412656,1,3.0808618,0.9705183058977127
0.052128844,336,0.00964995,566.524468421936,2684.6462125323987,0.052128844,0.0,784.5,1027.2965,415767,2,3.021543,0.9803564436733723
0.05943639,338,0.01046907,570.6773340702057,2689.678242675104,0.05943639,0.0,781.7,1030.7034,419109,2,2.9429095,0.9674711562693119
0.045483626,339,0.00929641,574.8716247081757,2697.783790603709,0.045483626,0.0,781.7,1033.5262,422109,1,2.8983378,0.6182684302330017
0.053777955,340,0.010450492,579.0360383987427,2709.256822685524,0.053777955,0.0,783.1,1038.7135,425109,1,2.8908286,0.880535364151001
0.03839291,341,0.009885473,583.2058253288269,2713.627798107146,0.03839291,0.0,783.1,1039.1724,428109,1,2.9254177,-0.0009961128234863281
0.035557285,342,0.0103253275,587.3463196754456,2720.7712625835347,0.035557285,0.0,783.1,1040.6986,431109,1,2.8942158,0.0574040412902832
0.047238715,343,0.012205381,591.5533246994019,2724.435706260145,0.047238715,0.0,783.1,1039.3851,434109,1,2.9111125,0.5504532754421234
0.04953242,345,0.0110686235,595.8246030807495,2730.5857041196577,0.04953242,0.0,787.225,1036.4413,437898,2,2.901436,0.7363909184932709
0.04801654,346,0.009876514,600.0121886730194,2733.197550482456,0.04801654,0.0,787.225,1034.1132,440898,1,2.8814385,-0.03702342510223389
0.043569252,347,0.009111629,604.3158054351807,2795.532878270116,0.043569252,0.0,805.25,1055.9003,443898,1,2.8692117,0.007919490337371826
0.043391295,348,0.010562399,608.585578918457,2796.7698147780256,0.043391295,0.0,805.25,1053.1033,446898,1,2.8878868,-0.0015083551406860352
0.059356246,349,0.00984372,612.8170838356018,2773.0006431133434,0.059356246,0.0,797.725,1042.4622,448995,1,2.8234334,0.9754779823124409
0.060076065,351,0.0102447895,617.0993556976318,2687.302616552809,0.060076065,0.0,770.625,1009.5132,451743,2,2.7624214,0.9907069075852633
0.042758852,353,0.009542802,621.3091971874237,2688.1113169665027,0.042758852,0.0,770.625,1006.0166,457743,2,2.7573135,-0.010598897933959961
0.04237889,354,0.009155519,625.5437746047974,2690.4853008373634,0.04237889,0.0,770.625,1006.3672,460743,1,2.8170862,-0.004504084587097168
0.04130306,355,0.010319332,629.7154715061188,2691.761551182484,0.04130306,0.0,770.625,1006.43945,463743,1,2.770438,0.4117174744606018
0.040337607,356,0.009799898,633.94158244133,2745.6154155136583,0.040337607,0.0,786.75,1025.1816,466743,1,2.7889402,0.3932475447654724
0.057402425,359,0.011184543,638.2298300266266,2690.5920282069615,0.057402425,0.0,771.625,1000.85077,471936,3,2.7847621,0.9717621430754662
0.054809853,360,0.010362816,642.4731707572937,2667.9217802224766,0.054809853,0.0,764.2,993.52344,474045,1,2.766329,0.9494857378304005
0.055080827,362,0.009711376,646.6737837791443,2656.111121589313,0.055080827,0.0,759.775,988.51624,477777,2,2.771251,0.9105169624090195
0.04759211,363,0.011160988,650.8476731777191,2699.465008357992,0.04759211,0.0,772.3,1004.59454,480777,1,2.7145388,0.9515596143901348
0.04036399,364,0.010107328,655.0746939182281,2752.5841137634757,0.04036399,0.0,788.25,1023.7098,483777,1,2.7192085,-0.0869513750076294
0.06401096,366,0.01163492,659.286060333252,2699.253988233191,0.06401096,0.0,772.675,1003.2191,487908,2,2.7156038,0.919909156858921
0.086414054,367,0.0104189105,663.4810411930084,2713.7024620259863,0.086414054,0.0,776.625,1007.1071,489324,1,2.7752075,0.9827357474714518
0.03432589,368,0.009814999,667.7325870990753,2710.7199987437734,0.03432589,0.0,776.625,1006.5674,492324,1,2.7467353,0.02565312385559082
0.05148477,370,0.010610015,671.9707357883453,2690.354227586761,0.05148477,0.0,770.975,998.9614,497121,2,2.675027,0.9744143318384886
0.056641523,372,0.00892585,676.2031285762787,2712.5295921934794,0.056641523,0.0,779.425,1004.9105,500817,2,2.729207,0.769728496670723
0.053737488,374,0.009711858,680.4874947071075,2640.2847537458306,0.053737488,0.0,758.95,977.884,503730,2,2.6741025,0.9342251345515251
0.051816754,377,0.010863591,684.6906116008759,2661.6159719526813,0.051816754,0.0,766.775,986.8712,509106,3,2.5992646,0.8017303347587585
0.046539202,378,0.009906974,688.9053106307983,2684.7604671650274,0.046539202,0.0,774.975,996.1388,512106,1,2.6350315,0.02116227149963379
0.056669667,379,0.010145115,693.11736369133,2638.5691915791003,0.056669667,0.0,761.275,979.7933,513462,1,2.5703428,0.9709834046661854
0.039893053,380,0.013550932,697.3984332084656,2636.1892603780566,0.039893053,0.0,761.275,980.2582,516462,1,2.5995765,-0.006550312042236328
0.034807637,381,0.011181684,701.6498658657074,2635.8347034615535,0.034807637,0.0,761.275,981.21747,519462,1,2.5831575,0.014244318008422852
0.05093328,382,0.009679244,705.8912963867188,2608.234292879253,0.05093328,0.0,753.125,972.6742,521484,1,2.580219,0.9678638018667698
0.048879765,383,0.009392343,710.1809918880463,2609.2565111548715,0.048879765,0.0,751.85,974.5239,524331,1,2.5773287,0.9596381932497025
0.03875225,384,0.009579515,714.4544014930725,2613.7018131848486,0.03875225,0.0,751.85,975.41895,527331,1,2.576214,0.005629003047943115
0.05600011,386,0.00984914,718.725145816803,2582.02316027476,0.05600011,0.0,741.65,965.8053,529896,2,2.6123238,0.9705329220741987
0.039560143,387,0.009521043,722.9620440006256,2584.52544980497,0.039560143,0.0,741.65,965.8307,532896,1,2.6167295,-0.05378067493438721
0.06848198,390,0.0108382385,727.2022919654846,2490.444558542658,0.06848198,0.0,713.95,932.5094,536154,3,2.6476247,0.9825103022158146
